subref	form	norm	lemma	tag	curated
1@DE	DE	de			n
1@EPISTOLA	EPISTOLA	epistola			n
1@PINYTI	PINYTI	pinyti			n
1@AD	AD	ad			n
1@DIONYSIUM	DIONYSIUM	dionysium			n
1@Hoc	Hoc	hoc			n
1@scribit	scribit	scribit			n
1@Eusebius	Eusebius	eusebius			n
1@lib	lib	lib			n
1@iv	iv	iv			n
1@Hist	Hist	hist			n
1@c[3]	c	c			n
1@23	23	23			n
1@πρὸς	πρὸς	πρός			n
1@ἣν	ἣν	ἥν			n
1@Dionysii	Dionysii	dionysii			n
1@epistolam	epistolam	epistolam			n
1@de	de	de			n
1@quæ	quæ	quæ			n
1@supra	supra	supra			n
1@ὁ	ὁ	ὁ			n
1@Πινυτὸς	Πινυτὸς	πινυτός			n
1@ἀντιγράφων	ἀντιγράφων	ἀντιγράφων			n
1@θαυμάζει	θαυμάζει	θαυμάζει			n
1@μὲν	μὲν	μέν			n
1@καὶ	καὶ	καί			n
1@ἀποδέχεται	ἀποδέχεται	ἀποδέχεται			n
1@τὸν	τὸν	τόν			n
1@Διονύσιον	Διονύσιον	διονύσιον			n
1@ἀντιπαρακαλεῖ	ἀντιπαρακαλεῖ	ἀντιπαρακαλεῖ			n
1@δὲ	δὲ	δέ			n
1@a[3]	a	a			n
1@στεῤῥοτέρας	στεῤῥοτέρας	στεῤῥοτέρας			n
1@ἤδη	ἤδη	ἤδη			n
1@ποτὲ	ποτὲ	ποτέ			n
1@μεταδιδόναι	μεταδιδόναι	μεταδιδόναι			n
1@τροφῆς	τροφῆς	τροφῆς			n
1@τελειοτέροις	τελειοτέροις	τελειοτέροις			n
1@γράμμασιν	γράμμασιν	γράμμασιν			n
1@εἰσαῦθις	εἰσαῦθις	εἰσαῦθις			n
1@τὸν[2]	τὸν	τόν			n
1@παῤ	παῤ	παῤ			n
1@αὐτῷ	αὐτῷ	αὐτῷ			n
1@λαὸν	λαὸν	λαόν			n
1@ὑποθρέψαντα	ὑποθρέψαντα	ὑποθρέψαντα			n
1@ὡς	ὡς	ὡς			n
1@μὴ	μὴ	μή			n
1@διατέλους	διατέλους	διατέλους			n
1@τοῖς	τοῖς	τοῖς			n
1@γαλακτώδεσιν	γαλακτώδεσιν	γαλακτώδεσιν			n
1@ἐνδιατρίβοντες	ἐνδιατρίβοντες	ἐνδιατρίβοντες			n
1@λόγοις	λόγοις	λόγοις			n
1@τῇ	τῇ	τῇ			n
1@νηπιώδει	νηπιώδει	νηπιώδει			n
1@ἀγωγῇ	ἀγωγῇ	ἀγωγῇ			n
1@λάθοιεν	λάθοιεν	λάθοιεν			n
1@καταγηράσαντες	καταγηράσαντες	καταγηράσαντες			n
1@δι[4]	δι	δι			n
1@ἧς	ἧς	ἧς			n
1@ἐπιστολῆς	ἐπιστολῆς	ἐπιστολῆς			n
1@καὶ[2]	καὶ	καί			n
1@ἡ	ἡ	ἡ			n
1@τοῦ	τοῦ	τοῦ			n
1@Πινυτοῦ	Πινυτοῦ	πινυτοῦ			n
1@περὶ	περὶ	περί			n
1@τὴν	τὴν	τήν			n
1@πίστιν	πίστιν	πίστιν			n
1@ὀρθοδοξία	ὀρθοδοξία	ὀρθοδοξία			n
1@τε[5]	τε	τέ			n
1@καὶ[3]	καὶ	καί			n
1@φροντὶς	φροντὶς	φροντίς			n
1@τῆς	τῆς	τῆς			n
1@τῶν	τῶν	τῶν			n
1@ὑπηκόων	ὑπηκόων	ὑπηκόων			n
1@ὡφελείας	ὡφελείας	ὡφελείας			n
1@τό	τό	τό			n
1@τε[6]	τε	τέ			n
1@λόγιον	λόγιον	λόγιον			n
1@καὶ[4]	καὶ	καί			n
1@ἡ[2]	ἡ	ἡ			n
1@περὶ[2]	περὶ	περί			n
1@τὰ	τὰ	τά			n
1@θεῖα	θεῖα	θεῖα			n
1@σύνεσις	σύνεσις	σύνεσις			n
1@ὡς[2]	ὡς	ὡς			n
1@δι[5]	δι	δι			n
1@ἀκριβεστάτης	ἀκριβεστάτης	ἀκριβεστάτης			n
1@ἀναδείκνυται	ἀναδείκνυται	ἀναδείκνυται			n
1@εἰκόνος	εἰκόνος	εἰκόνος			n
1@Cum	Cum	cum			n
1@epistolæ	epistolæ	epistolæ			n
1@respondens	respondens	respondens			n
1@postea	postea	postea			n
1@Pinytus	Pinytus	pinytus			n
1@admiratione	admiratione	admiratione			n
1@quidem	quidem	quidem			n
1@ac	ac	ac			n
1@laudibus	laudibus	laudibus			n
1@effert	effert	effert			n
1@imprimis	imprimis	imprimis			n
1@Dionysium	Dionysium	dionysium			n
1@sed	sed	sed			n
1@tamen	tamen	tamen			n
1@hortatur	hortatur	hortatur			n
1@ut	ut	ut			n
