subref	form	norm	lemma	tag	curated
1@ΠΕΡΙ	ΠΕΡΙ	περι			n
1@ΠΝΕΥΜΑΤΟΣ	ΠΝΕΥΜΑΤΟΣ	πνευματος			n
1@ΤΙΣ	ΤΙΣ	τὶς			n
1@ἡ	ἡ	ἡ	ὁ		n
1@τοῦ	τοῦ	τοῦ	ὁ		n
1@ἐμφύτου	ἐμφύτου	ἐμφύτου	ἔμφυτος		n
1@πνεύματος	πνεύματος	πνεύματος	πνεῦμα		n
1@διαμονή	διαμονή	διαμονή			n
1@καὶ	καὶ	καί	καί		n
1@τίς	τίς	τίς	τις		n
1@ἡ[2]	ἡ	ἡ	ὁ		n
1@αὔξησις	αὔξησις	αὔξησις	αὔξησις		n
1@Ὁρῶμεν	Ὁρῶμεν	ὁρῶμεν			n
1@γὰρ	γὰρ	γάρ	γάρ		n
1@ὅτι	ὅτι	ὅτι	ὅτι2		n
1@πλέον	πλέον	πλέον	πολύς		n
1@καὶ[2]	καὶ	καί	καί		n
1@ἰσχυρότερον	ἰσχυρότερον	ἰσχυρότερον	ἰσχυρός		n
1@γίνεται	γίνεται	γίνεται	γίγνομαι		n
1@καὶ[3]	καὶ	καί	καί		n
1@καθ	καθ	καθ			n
1@ἡλικίας	ἡλικίας	ἡλικίας	ἡλικία		n
1@μεταβολὴν	μεταβολὴν	μεταβολήν	μεταβολή		n
1@καὶ[4]	καὶ	καί	καί		n
1@κατὰ	κατὰ	κατά	κατά		n
1@διάθεσιν	διάθεσιν	διάθεσιν	διάθεσις		n
1@σώματος	σώματος	σώματος	σῶμα		n
1@Ἢ	Ἢ	ἤ			n
1@ὡς	ὡς	ὡς	ὡς		n
1@τἆλλα	τἆλλα	τἆλλα	ἄλλος		n
1@μέρη	μέρη	μέρη	μέρος		n
1@προσγινομένου	προσγινομένου	προσγινομένου			n
1@τινός	τινός	τινός			n
1@Προσγίνεται	Προσγίνεται	προσγίνεται			n
1@δὲ	δὲ	δέ	δέ		n
1@τροφὴ	τροφὴ	τροφή	τροφή		n
1@τοῖς	τοῖς	τοῖς	ὁ		n
1@ἐμψύχοις	ἐμψύχοις	ἐμψύχοις			n
1@ὥστε	ὥστε	ὥστε	ὥστε		n
1@ταύτην	ταύτην	ταύτην	οὗτος		n
1@σκεπτέον	σκεπτέον	σκεπτέον	σκοπέω		n
1@ποία	ποία	ποία	ποιός		n
1@τε[3]	τε	τέ	τε		n
1@καὶ[5]	καὶ	καί	καί		n
1@πόθεν	πόθεν	πόθεν	πόθεν		n
1@Δύο	Δύο	δύο			n
1@δὴ	δὴ	δή	δή		n
1@τρόποι	τρόποι	τρόποι	τρόπος		n
1@δι[3]	δι	δι			n
1@ὧν	ὧν	ὧν	διά		n
1@γίνεται[3]	γίνεται	γίνεται	γίγνομαι		n
1@ἢ	ἢ	ἤ	τίη		n
1@διὰ	διὰ	διά	διά		n
1@τῆς	τῆς	τῆς	ὁ		n
1@ἀναπνοῆς	ἀναπνοῆς	ἀναπνοῆς	ἀναπνοή		n
1@ἢ[2]	ἢ	ἤ	τίη		n
1@διὰ[2]	διὰ	διά	διά		n
1@τῆς[2]	τῆς	τῆς	ὁ		n
1@κατὰ[2]	κατὰ	κατά	κατά		n
1@τὴν	τὴν	τήν	ὁ		n
1@τῆς[3]	τῆς	τῆς	ὁ		n
1@τροφῆς	τροφῆς	τροφῆς	τροφή		n
1@προσφορὰν	προσφορὰν	προσφοράν	προσφορά		n
1@πέψεως	πέψεως	πέψεως	πέψις		n
1@καθάπερ	καθάπερ	καθάπερ	καθά		n
1@τοῖς[2]	τοῖς	τοῖς	ὁ		n
1@ἄλλοις	ἄλλοις	ἄλλοις	ἄλλος		n
1@Τούτων	Τούτων	τούτων	οὗτος		n
1@ἴσως	ἴσως	ἴσως	ἴσος		n
1@οὐχ	οὐχ	οὐ	οὐ		n
1@ἧττον	ἧττον	ἧττον	ἥσσων		n
1@ἂν	ἂν	ἄν	ἐάν		n
1@οὐχ[2]	οὐχ	οὐ	οὐ		n
1@οὕτω	οὕτω	οὕτω	οὕτως		n
1@δόξειεν	δόξειεν	δόξειεν	δοκέω		n
1@διὰ[3]	διὰ	διά	διά		n
1@τῆς[4]	τῆς	τῆς	ὁ		n
1@τροφῆς[2]	τροφῆς	τροφῆς	τροφή		n
1@σῶμα	σῶμα	σῶμα	σῶμα		n
1@γὰρ[2]	γὰρ	γάρ	γάρ		n
1@ὑπὸ	ὑπὸ	ὑπό	ὑπό		n
1@σώματος[2]	σώματος	σώματος	σῶμα		n
1@τρέφεται	τρέφεται	τρέφεται	τρέφω		n
1@τὸ	τὸ	τό	ὁ		n
1@δὲ[2]	δὲ	δέ	δέ		n
1@πνεῦμα	πνεῦμα	πνεῦμα			n
1@σῶμα[2]	σῶμα	σῶμα	σῶμα		n
1@Τίς	Τίς	τίς			n
1@οὖν	οὖν	οὖν	οὖν		n
1@ὁ	ὁ	ὁ	ὁ		n
1@τρόπος	τρόπος	τρόπος	τρόπος		n
1@Ἢ[2]	Ἢ	ἤ			n
1@δῆλον	δῆλον	δῆλον	δῆλος		n
1@ὡς[2]	ὡς	ὡς	ὡς		n
1@ἐκ	ἐκ	ἐκ	ἐκ		n
1@τῆς[5]	τῆς	τῆς	ὁ		n
1@φλεβὸς	φλεβὸς	φλεβός	φλέψ		n
1@ὁλκῇ	ὁλκῇ	ὁλκῇ	ὁλκή		n
1@τινὶ	τινὶ	τινί			n
1@καὶ[6]	καὶ	καί	καί		n
1@πέψει	πέψει	πέψει	πέσσω		n
1@Τὸ	Τὸ	τό			n
1@γὰρ[3]	γὰρ	γάρ	γάρ		n
1@αἷμα	αἷμα	αἷμα	αἷμα		n
1@ἡ[4]	ἡ	ἡ	ὁ		n
