subref	form	norm	lemma	tag	curated
1.1@Τῆς	Τῆς	τῆς	ὁ		n
1.1@Ῥωμαϊκῆς	Ῥωμαϊκῆς	ῥωμαϊκῆς	Ῥωμαϊκός		n
1.1@βασιλείας	βασιλείας	βασιλείας	βασίλεια		n
1.1@ἐν	ἐν	ἐν	ἐν		n
1.1@προοιμίοις	προοιμίοις	προοιμίοις	προοίμιον		n
1.1@οὐδὲν	οὐδὲν	οὐδέν	οὐδείς		n
1.1@ἐγένετο	ἐγένετο	ἐγένετο	γίγνομαι		n
1.1@μεῖόν	μεῖόν	μεῖον			n
1.1@τε	τε	τέ	τε		n
1.1@καὶ	καὶ	καί	καί		n
1.1@ταπεινότερον	ταπεινότερον	ταπεινότερον	ταπεινός		n
1.1@τῇ	τῇ	τῇ	ὁ		n
1.1@δὲ[2]	δὲ	δέ	δέ		n
1.1@κατὰ	κατὰ	κατά	κατά		n
1.1@μικρὸν	μικρὸν	μικρόν	μικρός		n
1.1@αὐξήσει	αὐξήσει	αὐξήσει	αὐξάνω		n
1.1@καὶ[2]	καὶ	καί	καί		n
1.1@ταῖς	ταῖς	ταῖς	ὁ		n
1.1@ἀεὶ	ἀεὶ	ἀεί	ἀεί		n
1.1@προσθήκαις	προσθήκαις	προσθήκαις			n
1.1@κατὰ[2]	κατὰ	κατά	κατά		n
1.1@τὴν	τὴν	τήν	ὁ		n
1.1@οἰκουμένην	οἰκουμένην	οἰκουμένην	οἰκέω		n
1.1@ἅπασαν	ἅπασαν	ἅπασαν	ἅπας		n
1.1@οὐδὲν[2]	οὐδὲν	οὐδέν			n
1.1@οὔτε	οὔτε	οὔτε	οὔτε		n
1.1@μεῖζον	μεῖζον	μεῖζον	μέγας		n
1.1@οὔτε[2]	οὔτε	οὔτε	οὔτε		n
1.1@δυνατώτερον	δυνατώτερον	δυνατώτερον	δυνατός		n
1.1@ἡ	ἡ	ἡ	ὁ		n
1.1@μνήμη	μνήμη	μνήμη	μνήμη		n
1.1@τῶν	τῶν	τῶν	ὁ		n
1.1@ἀνθρώπων	ἀνθρώπων	ἀνθρώπων	ἄνθρωπος		n
1.1@φέρει	φέρει	φέρει	φέρω		n
1.1@ταύτης	ταύτης	ταύτης	οὗτος		n
1.1@τὴν[2]	τὴν	τήν	ὁ		n
1.1@πρώτην	πρώτην	πρώτην	πρῶτος		n
1.1@κρηπῖδα	κρηπῖδα	κρηπῖδα	κρηπίς		n
1.1@κατεβάλετο	κατεβάλετο	κατεβάλετο	καταβάλλω		n
1.1@Ῥωμύλος	Ῥωμύλος	ῥωμύλος	Ῥωμύλος		n
1.1@ὃς	ὃς	ὅς	ὅς		n
1.1@ἐκ	ἐκ	ἐκ	ἐκ		n
1.1@Ῥέας	Ῥέας	ῥέας			n
1.1@Σιλβίας	Σιλβίας	σιλβίας			n
1.1@οὕτω	οὕτω	οὕτω	οὕτως		n
1.1@καλουμένης	καλουμένης	καλουμένης	καλέω		n
1.1@Ἑστιακῆς	Ἑστιακῆς	ἑστιακῆς			n
1.1@παρθένου	παρθένου	παρθένου			n
1.1@τῷ	τῷ	τῷ	τῷ		n
