subref	form	norm	lemma	tag	curated
5@Μανιχαῖος	Μανιχαῖος	μανιχαῖος			n
5@ἀπόστολος	ἀπόστολος	ἀπόστολος			n
5@Ἰησοῦ	Ἰησοῦ	ἰησοῦ	Ἰησοῦς		n
5@Χριστοῦ	Χριστοῦ	χριστοῦ			n
5@καὶ	καὶ	καί	καί		n
5@οἱ	οἱ	οἱ	ὁ		n
5@σὺν	σὺν	σύν	σύν		n
5@ἐμοὶ	ἐμοὶ	ἐμοί			n
5@πάντες	πάντες	πάντες	πᾶς		n
5@ἅγιοι	ἅγιοι	ἅγιοι	ἅγιος		n
5@κοὶ	κοὶ	κοί			n
5@παρθένοι	παρθένοι	παρθένοι			n
5@Μαρκέλλῳ	Μαρκέλλῳ	μαρκέλλῳ	Μάρκελλος		n
5@τέκνῳ	τέκνῳ	τέκνῳ			n
5@ἀγαπητῷ	ἀγαπητῷ	ἀγαπητῷ	ἀγαπητός		n
5@χάρις	χάρις	χάρις	χάρις		n
5@ἔλεος	ἔλεος	ἔλεος			n
5@εἰρήνη	εἰρήνη	εἰρήνη	εἰρήνη		n
5@ἀπὸ	ἀπὸ	ἀπό	ἀπό		n
5@θεοῦ	θεοῦ	θεοῦ	θεός		n
5@πατρὸς	πατρὸς	πατρός	πατήρ		n
5@καὶ[2]	καὶ	καί	καί		n
5@κυρίου	κυρίου	κυρίου			n
5@ἡμῶν	ἡμῶν	ἡμῶν	ἐγώ		n
5@Ἰησοῦ[2]	Ἰησοῦ	ἰησοῦ	Ἰησοῦς		n
5@Χριστοῦ[2]	Χριστοῦ	χριστοῦ			n
5@καὶ[3]	καὶ	καί	καί		n
5@ἡ[2]	ἡ	ἡ	ὁ		n
5@ΑCM	ΑCM	αcm			n
5@und	und	und			n
5@Epiph	Epiph	epiph			n
5@25	25	25			n
5@27	27	27			n
5@1	1	1			n
5@animus	animus	animus			n
5@animose	animose	animose			n
5@M[2]	M	m			n
5@stuabat	stuabat	stuabat			n
5@Α[2]	Α	α			n
5@utramnam	utramnam	utramnam			n
5@C[2]	C	c			n
5@ad	ad	ad			n
5@eum	eum	eum			n
5@pergeret	pergeret	pergeret			n
5@ex	ex	ex			n
5@se[2]	se	se			n
5@ad[2]	ad	ad			n
5@eum[2]	eum	eum			n
5@pergeret[2]	pergeret	pergeret			n
5@C[3]	C	c			n
5@per[3]	per	per			n
5@se[3]	se	se			n
5@ageret	ageret	ageret			n
5@ad[3]	ad	ad			n
5@eum[3]	eum	eum			n
5@Μ[3]	Μ	μ			n
5@p[6]	p	p			n
5@s[6]	s	s			n
5@ad[4]	ad	ad			n
5@eum[4]	eum	eum			n
5@ageret[2]	ageret	ageret			n
5@M2	M2	m2			n
5@3	3	3			n
5@ingressum	ingressum	ingressum			n
5@A	A	a			n
5@aliquid	aliquid	aliquid			n
5@M[4]	M	m			n
5@4	4	4			n
5@versutioribus	versutioribus	versutioribus			n
5@es[2]	es	es			n
5@folgt	folgt	folgt			n
5@in[2]	in	in			n
5@Α[3]	Α	α			n
5@eine	eine	eine			n
5@Ras	Ras	ras			n
5@von	von	von			n
5@drei	drei	drei			n
5@Buchst	Buchst	buchst			n
5@5[2]	5	5			n
5@adda	adda	adda			n
5@C[4]	C	c			n
5@qui[2]	qui	qui			n
5@instructus	instructus	instructus			n
5@vielleicht	vielleicht	vielleicht			n
5@eine[2]	eine	eine			n
5@Glosse	Glosse	glosse			n
5@zu	zu	zu			n
5@adda[2]	adda	adda			n
5@Τύρβων	Τύρβων	τύρβων			n
5@Epiphanius	Epiphanius	epiphanius			n
5@addam	addam	addam			n
5@adda[4]	adda	adda			n
5@Α[4]	Α	α			n
5@6	6	6			n
5@acceptam	acceptam	acceptam			n
5@eam	eam	eam			n
5@die	die	die			n
5@beiden	beiden	beiden			n
5@m[13]	m	m			n
5@Zeichen	Zeichen	zeichen			n
5@durchstrichen	durchstrichen	durchstrichen			n
5@C2	C2	c2			n
5@7[2]	7	7			n
5@manen	manen	manen			n
5@Α[5]	Α	α			n
5@manne	manne	manne			n
5@C[6]	C	c			n
5@praeceptum	praeceptum	praeceptum			n
5@fuerat	fuerat	fuerat			n
5@C[7]	C	c			n
5@8	8	8			n
5@curso	curso	curso			n
5@Α[6]	Α	α			n
5@9	9	9			n
5@et[5]	et	et			n
5@Α[7]	Α	α			n
5@10	10	10			n
5@ad[9]	ad	ad			n
5@M[5]	M	m			n
5@11	11	11			n
5@intruxerat	intruxerat	intruxerat			n
5@Α[8]	Α	α			n
