subref	form	norm	lemma	tag	curated
1@τα	τα	τα			n
1@παλαια	παλαια	παλαια			n
1@επιτηδευματα	επιτηδευματα	επιτηδευματα			n
1@omitted	omitted	omitted			n
1@in	in	in			n
1@most	most	most			n
1@mss	mss	mss			n
1@τῶν	τῶν	τῶν			n
1@εἰσιόντων	εἰσιόντων	εἰσιόντων			n
1@εἰς	εἰς	εἰς			n
1@τὰ	τὰ	τά			n
1@συσσίτια	συσσίτια	συσσίτια			n
1@ἑκάστῳ	ἑκάστῳ	ἑκάστῳ			n
1@δεικνύων	δεικνύων	δεικνύων			n
1@ὁ	ὁ	ὁ			n
1@πρεσβύτατος	πρεσβύτατος	πρεσβύτατος			n
1@τὰς	τὰς	τάς			n
1@θύρας	θύρας	θύρας			n
1@διὰ	διὰ	διά			n
1@τούτων	τούτων	τούτων			n
1@φησίν	φησίν	φησίν			n
1@οὐδεὶς	οὐδεὶς	οὐδείς			n
1@ἐξέρχεται	ἐξέρχεται	ἐξέρχεται			n
1@λόγος	λόγος	λόγος			n
2@δοκιμαζομένου	δοκιμαζομένου	δοκιμαζομένου			n
2@μάλιστα	μάλιστα	μάλιστα			n
2@παρʼ	παρʼ	παρʼ			n
2@αὐτοῖς	αὐτοῖς	αὐτοῖς			n
2@τοῦ	τοῦ	τοῦ			n
2@μέλανος	μέλανος	μέλανος			n
2@λεγομένου	λεγομένου	λεγομένου			n
2@ζωμοῦ	ζωμοῦ	ζωμοῦ			n
2@ὥστε	ὥστε	ὥστε			n
2@μὴ	μὴ	μή			n
2@κρεαδίου	κρεαδίου	κρεαδίου			n
2@δεῖσθαι	δεῖσθαι	δεῖσθαι			n
2@τοὺς	τοὺς	τούς			n
2@πρεσβυτέρους	πρεσβυτέρους	πρεσβυτέρους			n
2@παραχωρεῖν	παραχωρεῖν	παραχωρεῖν			n
2@δὲ	δὲ	δέ			n
2@τοῖς[2]	τοῖς	τοῖς			n
2@νεανίσκοις	νεανίσκοις	νεανίσκοις			n
2@τοῖς[3]	τοῖς	τοῖς			n
2@νεανίσκοις[2]	νεανίσκοις	νεανίσκοις			n
2@Turnebus	Turnebus	turnebus			n
2@as	as	as			n
2@in	in	in			n
2@the	the	the			n
2@Life	Life	life			n
2@of	of	of			n
2@Lycurgus	Lycurgus	lycurgus			n
2@chap	chap	chap			n
2@xii	xii	xii			n
2@τοὺς[2]	τοὺς	τούς			n
2@νεανίσκους	νεανίσκους	νεανίσκους			n
2@λέγεται	λέγεται	λέγεται			n
2@Διονύσιος	Διονύσιος	διονύσιος			n
2@ὁ	ὁ	ὁ			n
2@τῆς	τῆς	τῆς			n
2@Σικελίας	Σικελίας	σικελίας			n
2@τύραννος	τύραννος	τύραννος			n
2@τούτου	τούτου	τούτου			n
2@χάριν	χάριν	χάριν			n
2@Λακωνικὸν	Λακωνικὸν	λακωνικόν			n
2@μάγειρον	μάγειρον	μάγειρον			n
2@πρίασθαι	πρίασθαι	πρίασθαι			n
2@καὶ	καὶ	καί			n
2@προστάξαι	προστάξαι	προστάξαι			n
2@σκευάσαι	σκευάσαι	σκευάσαι			n
2@αὐτῷ	αὐτῷ	αὐτῷ			n
2@μηδενὸς	μηδενὸς	μηδενός			n
2@φειδόμενον	φειδόμενον	φειδόμενον			n
2@ἀναλώματος	ἀναλώματος	ἀναλώματος			n
2@ἔπειτα	ἔπειτα	ἔπειτα			n
2@γευσάμενον	γευσάμενον	γευσάμενον			n
2@καὶ[2]	καὶ	καί			n
2@δυσχεράναντα	δυσχεράναντα	δυσχεράναντα			n
2@ἀποπτύσαι	ἀποπτύσαι	ἀποπτύσαι			n
2@καὶ[3]	καὶ	καί			n
2@τὸν	τὸν	τόν			n
2@μάγειρον[2]	μάγειρον	μάγειρον			n
2@εἰπεῖν	εἰπεῖν	εἰπεῖν			n
2@ὦ	ὦ	ὦ			n
2@βασιλεῦ	βασιλεῦ	βασιλεῦ			n
2@τοῦτον	τοῦτον	τοῦτον			n
2@δεῖ[2]	δεῖ	δεῖ			n
2@τὸν[2]	τὸν	τόν			n
2@ζωμὸν	ζωμὸν	ζωμόν			n
2@γυμνασάμενον	γυμνασάμενον	γυμνασάμενον			n
2@Λακωνικῶς	Λακωνικῶς	λακωνικῶς			n
2@καὶ[4]	καὶ	καί			n
2@τῷ[2]	τῷ	τῷ			n
2@Εὐρώτᾳ	Εὐρώτᾳ	εὐρώτᾳ			n
2@λελουμένον	λελουμένον	λελουμένον			n
2@ἐποψᾶσθαι	ἐποψᾶσθαι	ἐποψᾶσθαι			n
3@πιόντες	πιόντες	πιόντες			n
3@οἱ	οἱ	οἱ			n
3@Λάκωνες	Λάκωνες	λάκωνες			n
3@ἐν	ἐν	ἐν			n
3@τοῖς	τοῖς	τοῖς			n
3@συσσιτίοις	συσσιτίοις	συσσιτίοις			n
3@μετρίως	μετρίως	μετρίως			n
3@ἀπίασι	ἀπίασι	ἀπίασι			n
3@δίχα	δίχα	δίχα			n
3@λαμπάδος	λαμπάδος	λαμπάδος			n
3@οὐ	οὐ	οὐ			n
3@γὰρ	γὰρ	γάρ			n
3@ἔξεστι	ἔξεστι	ἔξεστι			n
3@πρὸς	πρὸς	πρός			n
3@φῶς	φῶς	φῶς			n
3@βαδίζειν	βαδίζειν	βαδίζειν			n
3@οὔτε	οὔτε	οὔτε			n
3@ταύτην	ταύτην	ταύτην			n
3@οὔτε[2]	οὔτε	οὔτε			n
3@ἄλλην	ἄλλην	ἄλλην			n
3@ὁδόν	ὁδόν	ὁδόν			n
3@ὅπως	ὅπως	ὅπως			n
3@ἐθίζωνται	ἐθίζωνται	ἐθίζωνται			n
3@σκότους	σκότους	σκότους			n
3@καὶ	καὶ	καί			n
3@νυκτὸς	νυκτὸς	νυκτός			n
3@εὐθαρσῶς	εὐθαρσῶς	εὐθαρσῶς			n
3@καὶ[2]	καὶ	καί			n
3@ἀδεῶς	ἀδεῶς	ἀδεῶς			n
3@ὁδεύειν	ὁδεύειν	ὁδεύειν			n
4@γράμματα	γράμματα	γράμματα			n
4@ἕνεκα	ἕνεκα	ἕνεκα			n
4@τῆς	τῆς	τῆς			n
4@χρείας	χρείας	χρείας			n
4@ἐμάνθανον	ἐμάνθανον	ἐμάνθανον			n
4@τῶν	τῶν	τῶν			n
4@δὲ	δὲ	δέ			n
4@ἄλλων	ἄλλων	ἄλλων			n
4@παιδευμάτων	παιδευμάτων	παιδευμάτων			n
4@ξενηλασίαν	ξενηλασίαν	ξενηλασίαν			n
4@ἐποιοῦντο	ἐποιοῦντο	ἐποιοῦντο			n
4@οὐ	οὐ	οὐ			n
4@μᾶλλον	μᾶλλον	μᾶλλον			n
4@ἀνθρώπων	ἀνθρώπων	ἀνθρώπων			n
4@ἢ	ἢ	ἤ			n
4@λόγων	λόγων	λόγων			n
4@δὲ[2]	δὲ	δέ			n
4@παιδεία	παιδεία	παιδεία			n
4@ἦν	ἦν	ἦν			n
4@αὐτοῖς	αὐτοῖς	αὐτοῖς			n
4@πρὸς	πρὸς	πρός			n
4@τὸ	τὸ	τό			n
4@ἄρχεσθαι	ἄρχεσθαι	ἄρχεσθαι			n
4@καλῶς	καλῶς	καλῶς			n
4@καὶ	καὶ	καί			n
4@καρτερεῖν	καρτερεῖν	καρτερεῖν			n
4@πονοῦντα	πονοῦντα	πονοῦντα			n
4@καὶ[2]	καὶ	καί			n
4@μαχόμενον	μαχόμενον	μαχόμενον			n
4@νικᾶν	νικᾶν	νικᾶν			n
4@ἢ[2]	ἢ	ἤ			n
4@ἀποθνήσκειν	ἀποθνήσκειν	ἀποθνήσκειν			n
5@διετέλουν	διετέλουν	διετέλουν			n
5@δὲ	δὲ	δέ			n
5@καὶ	καὶ	καί			n
5@ἄνευ	ἄνευ	ἄνευ			n
5@χιτῶνος	χιτῶνος	χιτῶνος			n
5@ἓν	ἓν	ἕν			n
5@ἱμάτιον	ἱμάτιον	ἱμάτιον			n
5@εἰς	εἰς	εἰς			n
5@τὸν	τὸν	τόν			n
5@ἐνιαυτὸν	ἐνιαυτὸν	ἐνιαυτόν			n
5@λαμβάνοντες	λαμβάνοντες	λαμβάνοντες			n
5@αὐχμηροὶ	αὐχμηροὶ	αὐχμηροί			n
5@τὰ	τὰ	τά			n
5@σώματα	σώματα	σώματα			n
5@καὶ[2]	καὶ	καί			n
5@λουτρῶν	λουτρῶν	λουτρῶν			n
5@καὶ[3]	καὶ	καί			n
5@ἀλειμμάτων	ἀλειμμάτων	ἀλειμμάτων			n
5@κατὰ	κατὰ	κατά			n
5@τὸ[3]	τὸ	τό			n
5@πλεῖστον	πλεῖστον	πλεῖστον			n
5@ἀπεχόμενοι	ἀπεχόμενοι	ἀπεχόμενοι			n
6@ἐκάθευδον	ἐκάθευδον	ἐκάθευδον			n
6@δὲ	δὲ	δέ			n
6@οἱ	οἱ	οἱ			n
6@νέοι	νέοι	νέοι			n
6@ὁμοῦ	ὁμοῦ	ὁμοῦ			n
6@κατʼ	κατʼ	κατʼ			n
6@ἴλην	ἴλην	ἴλην			n
6@καὶ	καὶ	καί			n
6@κατὰ	κατὰ	κατά			n
6@ἀγέλην	ἀγέλην	ἀγέλην			n
6@ἐπὶ	ἐπὶ	ἐπί			n
6@στιβάδων	στιβάδων	στιβάδων			n
6@ἃς	ἃς	ἅς			n
6@αὐτοὶ	αὐτοὶ	αὐτοί			n
6@συνεφόρουν	συνεφόρουν	συνεφόρουν			n
6@τοῦ	τοῦ	τοῦ			n
6@παρὰ	παρὰ	παρά			n
6@τῷ	τῷ	τῷ			n
6@Εὐρώτᾳ	Εὐρώτᾳ	εὐρώτᾳ			n
6@πεφυκότος	πεφυκότος	πεφυκότος			n
6@καλάμου	καλάμου	καλάμου			n
6@τὰ[2]	τὰ	τά			n
6@ἄκρα	ἄκρα	ἄκρα			n
6@ταῖς	ταῖς	ταῖς			n
6@χερσὶν	χερσὶν	χερσίν			n
6@ἄνευ	ἄνευ	ἄνευ			n
6@σιδήρου	σιδήρου	σιδήρου			n
6@κατακλάσαντες	κατακλάσαντες	κατακλάσαντες			n
6@ἐν	ἐν	ἐν			n
6@δὲ[2]	δὲ	δέ			n
6@τῷ[2]	τῷ	τῷ			n
6@χειμῶνι	χειμῶνι	χειμῶνι			n
6@τοὺς	τοὺς	τούς			n
6@λεγομένους	λεγομένους	λεγομένους			n
6@λυκόφονας	λυκόφονας	λυκόφονας			n
6@λυκόφονας[2]	λυκόφονας	λυκόφονας			n
6@in	in	in			n
6@the	the	the			n
6@Life	Life	life			n
6@of	of	of			n
6@Lycurgus	Lycurgus	lycurgus			n
6@chap	chap	chap			n
6@xvi	xvi	xvi			n
6@λυκοφάνας	λυκοφάνας	λυκοφάνας			n
6@or	or	or			n
6@λυκοφώνας	λυκοφώνας	λυκοφώνας			n
6@ὑπεβάλλοντο	ὑπεβάλλοντο	ὑπεβάλλοντο			n
6@καὶ[2]	καὶ	καί			n
6@κατεμείγνυσαν	κατεμείγνυσαν	κατεμείγνυσαν			n
6@ταῖς[2]	ταῖς	ταῖς			n
6@στιβάσι	στιβάσι	στιβάσι			n
6@θερμαντικὸν	θερμαντικὸν	θερμαντικόν			n
6@ἔχειν	ἔχειν	ἔχειν			n
6@τι[4]	τι	τὶ			n
6@τῆς	τῆς	τῆς			n
6@ὕλης	ὕλης	ὕλης			n
6@δοκούσης	δοκούσης	δοκούσης			n
7@ἐρᾶν	ἐρᾶν	ἐρᾶν			n
7@τῶν	τῶν	τῶν			n
7@τὴν	τὴν	τήν			n
7@ψυχὴν	ψυχὴν	ψυχήν			n
7@σπουδαίων	σπουδαίων	σπουδαίων			n
7@παίδων	παίδων	παίδων			n
7@ἐφεῖτο	ἐφεῖτο	ἐφεῖτο			n
7@τὸ	τὸ	τό			n
7@δὲ	δὲ	δέ			n
7@πλησιάζειν	πλησιάζειν	πλησιάζειν			n
7@αἰσχρὸν	αἰσχρὸν	αἰσχρόν			n
7@νενόμιστο	νενόμιστο	νενόμιστο			n
7@ὡς	ὡς	ὡς			n
7@τοῦ	τοῦ	τοῦ			n
7@σώματος	σώματος	σώματος			n
7@ἐρῶντας	ἐρῶντας	ἐρῶντας			n
7@ἀλλʼ	ἀλλʼ	ἀλλʼ			n
7@οὐ	οὐ	οὐ			n
7@τῆς	τῆς	τῆς			n
7@ψυχῆς	ψυχῆς	ψυχῆς			n
7@ὁ	ὁ	ὁ			n
7@δὲ[2]	δὲ	δέ			n
7@ἐγκληθεὶς	ἐγκληθεὶς	ἐγκληθείς			n
7@ὡς[2]	ὡς	ὡς			n
7@ἐπʼ	ἐπʼ	ἐπʼ			n
7@αἰσχύνῃ	αἰσχύνῃ	αἰσχύνῃ			n
7@πλησιάζων	πλησιάζων	πλησιάζων			n
7@ἄτιμος	ἄτιμος	ἄτιμος			n
7@διὰ	διὰ	διά			n
7@βίου	βίου	βίου			n
7@ἦν	ἦν	ἦν			n
8@ἔθος	ἔθος	ἔθος			n
8@ἦν	ἦν	ἦν			n
8@καὶ	καὶ	καί			n
8@τοὺς	τοὺς	τούς			n
8@νεωτέρους	νεωτέρους	νεωτέρους			n
8@ὑπὸ	ὑπὸ	ὑπό			n
8@τῶν	τῶν	τῶν			n
8@πρεσβυτέρων	πρεσβυτέρων	πρεσβυτέρων			n
8@ἐρωτᾶσθαι	ἐρωτᾶσθαι	ἐρωτᾶσθαι			n
8@ποῦ	ποῦ	ποῦ			n
8@πορεύονται	πορεύονται	πορεύονται			n
8@καὶ[2]	καὶ	καί			n
8@ἐπὶ	ἐπὶ	ἐπί			n
8@τί	τί	τί			n
8@καὶ[3]	καὶ	καί			n
8@τὸν	τὸν	τόν			n
8@μὴ	μὴ	μή			n
8@ἀποκρινόμενον	ἀποκρινόμενον	ἀποκρινόμενον			n
8@ἢ	ἢ	ἤ			n
8@προφάσεις	προφάσεις	προφάσεις			n
8@πλέκοντα	πλέκοντα	πλέκοντα			n
8@ἐπιπλήττειν	ἐπιπλήττειν	ἐπιπλήττειν			n
8@ὁ	ὁ	ὁ			n
8@δὲ	δὲ	δέ			n
8@μὴ[2]	μὴ	μή			n
8@ἐπιπλήττων	ἐπιπλήττων	ἐπιπλήττων			n
8@παρόντος	παρόντος	παρόντος			n
8@αὐτοῦ	αὐτοῦ	αὐτοῦ			n
8@ἁμαρτάνοντα	ἁμαρτάνοντα	ἁμαρτάνοντα			n
8@ἔνοχος	ἔνοχος	ἔνοχος			n
8@ἦν[2]	ἦν	ἦν			n
8@τῷ	τῷ	τῷ			n
8@ἴσῳ	ἴσῳ	ἴσῳ			n
8@ἐπιτιμίῳ	ἐπιτιμίῳ	ἐπιτιμίῳ			n
8@ᾧπερ	ᾧπερ	ᾧπερ			n
8@καὶ[4]	καὶ	καί			n
8@ὁ[2]	ὁ	ὁ			n
8@ἁμαρτών	ἁμαρτών	ἁμαρτών			n
8@καὶ[5]	καὶ	καί			n
8@ὁ[3]	ὁ	ὁ			n
8@δυσχεραίνων	δυσχεραίνων	δυσχεραίνων			n
8@δέ	δέ	δέ			n
8@εἰ	εἰ	εἰ			n
8@ἐπιτιμῷτο	ἐπιτιμῷτο	ἐπιτιμῷτο			n
8@ἐν	ἐν	ἐν			n
8@μεγάλῳ	μεγάλῳ	μεγάλῳ			n
8@ὀνείδει	ὀνείδει	ὀνείδει			n
8@ἦν[3]	ἦν	ἦν			n
9@εἴ	εἴ	εἴ			n
9@τις	τις	τὶς			n
9@φωραθείη	φωραθείη	φωραθείη			n
9@ἁμαρτάνων	ἁμαρτάνων	ἁμαρτάνων			n
9@ἔδει	ἔδει	ἔδει			n
9@τοῦτον	τοῦτον	τοῦτον			n
9@βωμόν	βωμόν	βωμόν			n
9@τινα	τινα	τινά			n
9@τῶν	τῶν	τῶν			n
9@ἐν	ἐν	ἐν			n
9@τῇ	τῇ	τῇ			n
9@πόλει	πόλει	πόλει			n
9@κύκλῳ	κύκλῳ	κύκλῳ			n
9@περιιέναι	περιιέναι	περιιέναι			n
9@ψόγον	ψόγον	ψόγον			n
9@ᾄδοντα	ᾄδοντα	ᾄδοντα			n
9@πεποιημένον	πεποιημένον	πεποιημένον			n
9@εἰς	εἰς	εἰς			n
9@ἑαυτόν	ἑαυτόν	ἑαυτόν			n
9@ὅπερ	ὅπερ	ὅπερ			n
9@ἦν	ἦν	ἦν			n
9@οὐδὲν	οὐδὲν	οὐδέν			n
9@ἕτερον	ἕτερον	ἕτερον			n
9@ἢ	ἢ	ἤ			n
9@ἐπιπλήττειν	ἐπιπλήττειν	ἐπιπλήττειν			n
9@αὐτὸν	αὐτὸν	αὐτόν			n
9@ἑαυτῷ	ἑαυτῷ	ἑαυτῷ			n
10@καὶ	καὶ	καί			n
10@τοὺς	τοὺς	τούς			n
10@νέους	νέους	νέους			n
10@δὲ	δὲ	δέ			n
10@οὐ	οὐ	οὐ			n
10@μόνον	μόνον	μόνον			n
10@τοὺς[2]	τοὺς	τούς			n
10@ἰδίους	ἰδίους	ἰδίους			n
10@αἰδεῖσθαι	αἰδεῖσθαι	αἰδεῖσθαι			n
10@πατέρας	πατέρας	πατέρας			n
10@καὶ[2]	καὶ	καί			n
10@ὑπηκόους	ὑπηκόους	ὑπηκόους			n
10@τούτοις	τούτοις	τούτοις			n
10@εἶναι	εἶναι	εἶναι			n
10@ἀλλὰ	ἀλλὰ	ἀλλά			n
10@πάντας	πάντας	πάντας			n
10@τοὺς[3]	τοὺς	τούς			n
10@πρεσβυτέρους	πρεσβυτέρους	πρεσβυτέρους			n
10@ἐντρέπεσθαι	ἐντρέπεσθαι	ἐντρέπεσθαι			n
10@καὶ[3]	καὶ	καί			n
10@ὁδῶν	ὁδῶν	ὁδῶν			n
10@ὑποχωροῦντας	ὑποχωροῦντας	ὑποχωροῦντας			n
10@καὶ[4]	καὶ	καί			n
10@καθέδρας	καθέδρας	καθέδρας			n
10@ὑπεξισταμένους	ὑπεξισταμένους	ὑπεξισταμένους			n
10@καὶ[5]	καὶ	καί			n
10@παρόντων	παρόντων	παρόντων			n
10@παρόντων[2]	παρόντων	παρόντων			n
10@Xylander	Xylander	xylander			n
10@παριόντων	παριόντων	παριόντων			n
10@ἡσυχάζοντας	ἡσυχάζοντας	ἡσυχάζοντας			n
10@διὸ	διὸ	διό			n
10@καὶ[6]	καὶ	καί			n
10@ἦρχεν	ἦρχεν	ἦρχεν			n
10@ἕκαστος	ἕκαστος	ἕκαστος			n
10@οὐχ	οὐχ	οὐ			n
10@ὥσπερ	ὥσπερ	ὥσπερ			n
10@ἐν[2]	ἐν	ἐν			n
10@ταῖς	ταῖς	ταῖς			n
10@ἄλλαις	ἄλλαις	ἄλλαις			n
10@πόλεσι	πόλεσι	πόλεσι			n
10@τῶν	τῶν	τῶν			n
10@αὑτοῦ	αὑτοῦ	αὑτοῦ			n
10@τέκνων	τέκνων	τέκνων			n
