subref	form	norm	lemma	tag	curated
1.1@Ἀργιλεωνὶς	Ἀργιλεωνὶς	ἀργιλεωνίς			n
1.1@ἡ	ἡ	ἡ			n
1.1@Βρασίδου	Βρασίδου	βρασίδου			n
1.1@μήτηρ	μήτηρ	μήτηρ			n
1.1@τελευτήσαντος	τελευτήσαντος	τελευτήσαντος			n
1.1@αὐτῇ	αὐτῇ	αὐτῇ			n
1.1@τοῦ	τοῦ	τοῦ			n
1.1@υἱοῦ	υἱοῦ	υἱοῦ			n
1.1@ὡς	ὡς	ὡς			n
1.1@παραγενόμενοί	παραγενόμενοί	παραγενόμενοι			n
1.1@τινες	τινες	τινές			n
1.1@τῶν	τῶν	τῶν			n
1.1@Ἀμφιπολιτῶν	Ἀμφιπολιτῶν	ἀμφιπολιτῶν			n
1.1@εἰς	εἰς	εἰς			n
1.1@Σπάρτην	Σπάρτην	σπάρτην			n
1.1@ἧκον	ἧκον	ἧκον			n
1.1@πρὸς	πρὸς	πρός			n
1.1@αὐτὴν	αὐτὴν	αὐτήν			n
1.1@ἠρώτησεν	ἠρώτησεν	ἠρώτησεν			n
1.1@εἰ[2]	εἰ	εἰ			n
1.1@καλῶς	καλῶς	καλῶς			n
1.1@καὶ	καὶ	καί			n
1.1@ἀξίως	ἀξίως	ἀξίως			n
1.1@τῆς	τῆς	τῆς			n
1.1@Σπάρτης	Σπάρτης	σπάρτης			n
1.1@ὁ	ὁ	ὁ			n
1.1@υἱὸς	υἱὸς	υἱός			n
1.1@ἐτελεύτα	ἐτελεύτα	ἐτελεύτα			n
1.1@μεγαλυνόντων	μεγαλυνόντων	μεγαλυνόντων			n
1.1@δʼ	δʼ	δʼ			n
1.1@ἐκεῖνον	ἐκεῖνον	ἐκεῖνον			n
1.1@καὶ[2]	καὶ	καί			n
1.1@λεγόντων	λεγόντων	λεγόντων			n
1.1@ἄριστον	ἄριστον	ἄριστον			n
1.1@ἐν	ἐν	ἐν			n
1.1@τοῖς	τοῖς	τοῖς			n
1.1@τοιούτοις	τοιούτοις	τοιούτοις			n
1.1@ἔργοις	ἔργοις	ἔργοις			n
1.1@ἁπάντων	ἁπάντων	ἁπάντων			n
1.1@Λακεδαιμονίων	Λακεδαιμονίων	λακεδαιμονίων			n
1.1@εἶναι	εἶναι	εἶναι			n
1.1@εἶπεν	εἶπεν	εἶπεν			n
1.1@ὦ	ὦ	ὦ			n
1.1@ξένοι	ξένοι	ξένοι			n
1.1@καλὸς	καλὸς	καλός			n
1.1@μὲν	μὲν	μέν			n
1.1@ἦν	ἦν	ἦν			n
1.1@κἀγαθὸς	κἀγαθὸς	κἀγαθός			n
1.1@ὁ[2]	ὁ	ὁ			n
1.1@παῖς	παῖς	παῖς			n
1.1@μου	μου	μου			n
1.1@πολλοὺς	πολλοὺς	πολλούς			n
1.1@δʼ[2]	δʼ	δʼ			n
1.1@ἄνδρας	ἄνδρας	ἄνδρας			n
1.1@Λακεδαίμων	Λακεδαίμων	λακεδαίμων			n
1.1@ἔχει	ἔχει	ἔχει			n
1.1@τήνω	τήνω	τήνω			n
1.1@κάρρονας	κάρρονας	κάρρονας			n
2.1@Γοργὼ	Γοργὼ	γοργώ			n
2.1@βασιλέως	βασιλέως	βασιλέως			n
2.1@Κλεομένους	Κλεομένους	κλεομένους			n
2.1@θυγάτηρ	θυγάτηρ	θυγάτηρ			n
2.1@Ἀρισταγόρου	Ἀρισταγόρου	ἀρισταγόρου			n
2.1@τοῦ	τοῦ	τοῦ			n
2.1@Μιλησίου	Μιλησίου	μιλησίου			n
2.1@παρακαλοῦντος	παρακαλοῦντος	παρακαλοῦντος			n
2.1@αὐτὸν	αὐτὸν	αὐτόν			n
2.1@ἐπὶ	ἐπὶ	ἐπί			n
2.1@τὸν[2]	τὸν	τόν			n
2.1@πρὸς	πρὸς	πρός			n
2.1@βασιλέα	βασιλέα	βασιλέα			n
2.1@πόλεμον	πόλεμον	πόλεμον			n
2.1@ὑπὲρ	ὑπὲρ	ὑπέρ			n
2.1@Ἰώνων	Ἰώνων	ἰώνων			n
2.1@καὶ	καὶ	καί			n
