subref	form	norm	lemma	tag	curated
1@τίνες	τίνες	τίνες			n
1@οἱ	οἱ	οἱ			n
1@ἐν	ἐν	ἐν			n
1@Ἐπιδαύρῳ	Ἐπιδαύρῳ	ἐπιδαύρῳ			n
1@κονίποδες	κονίποδες	κονίποδες			n
1@καὶ	καὶ	καί			n
1@ἄρτυνοι	ἄρτυνοι	ἄρτυνοι			n
1@οἱ[2]	οἱ	οἱ			n
1@μὲν	μὲν	μέν			n
1@τὸ	τὸ	τό			n
1@πολίτευμα	πολίτευμα	πολίτευμα			n
1@ἔχοντες	ἔχοντες	ἔχοντες			n
1@ἔχοντες[2]	ἔχοντες	ἔχοντες			n
1@Wyttenbach	Wyttenbach	wyttenbach			n
1@to	to	to			n
1@fill	fill	fill			n
1@a[2]	a	a			n
1@lacuna	lacuna	lacuna			n
1@Bernardakis	Bernardakis	bernardakis			n
1@prefers	prefers	prefers			n
1@διέποντες	διέποντες	διέποντες			n
1@and	and	and			n
1@E	E	e			n
1@Capps	Capps	capps			n
1@διοικοῦντες	διοικοῦντες	διοικοῦντες			n
1@ὁγδοήκοντα	ὁγδοήκοντα	ὁγδοήκοντα			n
1@καὶ[2]	καὶ	καί			n
1@ἑκατὸν	ἑκατὸν	ἑκατόν			n
1@ἄνδρες	ἄνδρες	ἄνδρες			n
1@ἦσαν	ἦσαν	ἦσαν			n
1@ἐκ	ἐκ	ἐκ			n
1@δὲ	δὲ	δέ			n
1@τούτων	τούτων	τούτων			n
1@ᾑροῦντο	ᾑροῦντο	ᾑροῦντο			n
1@βουλευτάς	βουλευτάς	βουλευτάς			n
1@οὓς	οὓς	οὕς			n
1@ἀρτύνους	ἀρτύνους	ἀρτύνους			n
1@ἐκάλουν	ἐκάλουν	ἐκάλουν			n
1@τοῦ	τοῦ	τοῦ			n
1@δὲ[2]	δὲ	δέ			n
1@δήμου	δήμου	δήμου			n
1@τὸ[3]	τὸ	τό			n
1@πλεῖστον	πλεῖστον	πλεῖστον			n
1@ἐν[2]	ἐν	ἐν			n
1@ἀγρῷ	ἀγρῷ	ἀγρῷ			n
1@διέτριβεν	διέτριβεν	διέτριβεν			n
