subref	form	norm	lemma	tag	curated
1@Φίλιππος	Φίλιππος	φίλιππος			n
1@Ἀθηναίων	Ἀθηναίων	ἀθηναίων			n
1@τῇ	τῇ	τῇ			n
1@βουλῇ	βουλῇ	βουλῇ			n
1@καὶ	καὶ	καί			n
1@τῷ	τῷ	τῷ			n
1@δήμῳ	δήμῳ	δήμῳ			n
1@χαίρειν	χαίρειν	χαίρειν			n
1@ἐπειδὴ	ἐπειδὴ	ἐπειδή			n
1@πολλάκις	πολλάκις	πολλάκις			n
1@μου	μου	μου			n
1@πρέσβεις	πρέσβεις	πρέσβεις			n
1@ἀποστείλαντος	ἀποστείλαντος	ἀποστείλαντος			n
1@ἵνʼ	ἵνʼ	ἵνʼ			n
1@ἐμμείνωμεν	ἐμμείνωμεν	ἐμμείνωμεν			n
1@τοῖς	τοῖς	τοῖς			n
1@ὅρκοις	ὅρκοις	ὅρκοις			n
1@καὶ[2]	καὶ	καί			n
1@ταῖς	ταῖς	ταῖς			n
1@ὁμολογίαις	ὁμολογίαις	ὁμολογίαις			n
1@οὐδεμίαν	οὐδεμίαν	οὐδεμίαν			n
1@ἐποιεῖσθʼ	ἐποιεῖσθʼ	ἐποιεῖσθʼ			n
1@ἐπιστροφήν	ἐπιστροφήν	ἐπιστροφήν			n
1@ᾤμην	ᾤμην	ᾤμην			n
1@δεῖν	δεῖν	δεῖν			n
1@πέμψαι	πέμψαι	πέμψαι			n
1@πρὸς	πρὸς	πρός			n
1@ὑμᾶς	ὑμᾶς	ὑμᾶς			n
1@ὑπὲρ	ὑπὲρ	ὑπέρ			n
1@ὧν	ὧν	ὧν			n
1@ἀδικεῖσθαι	ἀδικεῖσθαι	ἀδικεῖσθαι			n
1@νομίζω	νομίζω	νομίζω			n
1@μὴ	μὴ	μή			n
1@θαυμάσητε	θαυμάσητε	θαυμάσητε			n
1@δὲ	δὲ	δέ			n
1@τὸ	τὸ	τό			n
1@μῆκος	μῆκος	μῆκος			n
1@τῆς	τῆς	τῆς			n
1@ἐπιστολῆς	ἐπιστολῆς	ἐπιστολῆς			n
1@πολλῶν	πολλῶν	πολλῶν			n
1@γὰρ	γὰρ	γάρ			n
1@ὑπαρχόντων	ὑπαρχόντων	ὑπαρχόντων			n
1@ἐγκλημάτων	ἐγκλημάτων	ἐγκλημάτων			n
1@ἀναγκαῖόν	ἀναγκαῖόν	ἀναγκαῖον			n
1@ἐστιν	ἐστιν	ἐστίν			n
1@ὑπὲρ[2]	ὑπὲρ	ὑπέρ			n
1@ἁπάντων	ἁπάντων	ἁπάντων			n
1@δηλῶσαι	δηλῶσαι	δηλῶσαι			n
1@καθαρῶς	καθαρῶς	καθαρῶς			n
2@πρῶτον	πρῶτον	πρῶτον			n
2@μὲν	μὲν	μέν			n
2@γὰρ	γὰρ	γάρ			n
2@Νικίου	Νικίου	νικίου			n
2@τοῦ	τοῦ	τοῦ			n
2@κήρυκος	κήρυκος	κήρυκος			n
2@ἁρπασθέντος	ἁρπασθέντος	ἁρπασθέντος			n
2@ἐκ	ἐκ	ἐκ			n
2@τῆς	τῆς	τῆς			n
2@χώρας	χώρας	χώρας			n
2@τῆς[2]	τῆς	τῆς			n
2@ἐμῆς	ἐμῆς	ἐμῆς			n
2@οὐχ	οὐχ	οὐ			n
