subref	form	norm	lemma	tag	curated
1.1@αρχη	αρχη	αρχη			n
1.1@του	του	του			n
1.1@ευαγγελι	ευαγγελι	ευαγγελι			n
1.1@ου[2]	ου	ου			n
1.1@ιυ	ιυ	ιυ			n
1.1@χυ	χυ	χυ			n
1.1@υυ	υυ	υυ			n
1.1@θυ	θυ	θυ			n
1.2@καθως	καθως	καθως			n
1.2@γε	γε	γέ			n
1.2@γραπται	γραπται	γραπται			n
1.2@εν	εν	εν			n
1.2@τω	τω	τω			n
1.2@ησα	ησα	ησα			n
1.2@ια	ια	ια			n
1.2@τω[2]	τω	τω			n
1.2@προφητη	προφητη	προφητη			n
1.2@ιδου	ιδου	ιδου			n
1.2@εγω	εγω	εγω			n
1.2@αποστε	αποστε	αποστε			n
1.2@λω	λω	λω			n
1.2@τον	τον	τον			n
1.2@αγγελον	αγγελον	αγγελον			n
1.2@μου	μου	μου			n
1.2@προ[2]	προ	προ			n
1.2@προσωπου	προσωπου	προσωπου			n
1.2@σου	σου	σου			n
1.2@ος	ος	ος			n
1.2@κατασκευασει	κατασκευασει	κατασκευασει			n
1.2@την	την	την			n
1.2@οδον	οδον	οδον			n
1.2@σου[2]	σου	σου			n
1.3@φωνη	φωνη	φωνη			n
1.3@βοωντος	βοωντος	βοωντος			n
1.3@εν	εν	εν			n
1.3@τη	τη	τη			n
1.3@ερημω	ερημω	ερημω			n
1.3@ετοιμα	ετοιμα	ετοιμα			n
1.3@σατε	σατε	σατε			n
1.3@την	την	την			n
1.3@οδον	οδον	οδον			n
1.3@κυ	κυ	κυ			n
1.3@ευθιας	ευθιας	ευθιας			n
1.3@ποιειτε	ποιειτε	ποιειτε			n
1.3@τας	τας	τας			n
1.3@τριβους	τριβους	τριβους			n
1.3@αυτου	αυτου	αυτου			n
1.4@και	και	και			n
1.4@ε	ε	ε			n
1.4@γενετο	γενετο	γενετο			n
1.4@ιωαννης	ιωαννης	ιωαννης			n
1.4@ο[2]	ο	ο			n
1.4@βαπτιζων	βαπτιζων	βαπτιζων			n
1.4@εν[2]	εν	εν			n
1.4@τη	τη	τη			n
1.4@ερημω	ερημω	ερημω			n
1.4@και[2]	και	και			n
1.4@κηρυσ	κηρυσ	κηρυσ			n
1.4@σων	σων	σων			n
1.4@βαπτισμα	βαπτισμα	βαπτισμα			n
1.4@με	με	με			n
1.4@τανοιας	τανοιας	τανοιας			n
1.4@εις	εις	εις			n
1.4@αφεσιν	αφεσιν	αφεσιν			n
1.4@αμαρτιων	αμαρτιων	αμαρτιων			n
1.5@και	και	και			n
1.5@εξεπορευετο	εξεπορευετο	εξεπορευετο			n
1.5@προς	προς	προς			n
1.5@αυτον	αυτον	αυτον			n
1.5@πασα	πασα	πασα			n
1.5@η	η	η			n
1.5@ιουδαια	ιουδαια	ιουδαια			n
1.5@χωρα	χωρα	χωρα			n
1.5@και[2]	και	και			n
1.5@οι	οι	οι			n
1.5@ιεροσολυμειτε	ιεροσολυμειτε	ιεροσολυμειτε			n
1.5@ιεροσολυμειται	ιεροσολυμειται	ιεροσολυμειται			n
1.5@παντες	παντες	παντες			n
1.5@και[3]	και	και			n
1.5@εβαπτιζον	εβαπτιζον	εβαπτιζον			n
1.5@το[3]	το	το			n
1.5@υπ	υπ	υπ			n
1.5@αυτου	αυτου	αυτου			n
1.5@εν	εν	εν			n
1.5@τω	τω	τω			n
1.5@ιορδανη	ιορδανη	ιορδανη			n
1.5@ποταμω	ποταμω	ποταμω			n
1.5@εξομολογουμενοι	εξομολογουμενοι	εξομολογουμενοι			n
1.5@τας	τας	τας			n
1.5@αμαρτιας	αμαρτιας	αμαρτιας			n
1.5@αυτων	αυτων	αυτων			n
1.6@και	και	και			n
1.6@ην	ην	ην			n
1.6@ο	ο	ο			n
1.6@ιωαννης	ιωαννης	ιωαννης			n
1.6@ενδεδυμενος	ενδεδυμενος	ενδεδυμενος			n
1.6@τρι	τρι	τρι			n
1.6@χας	χας	χας			n
1.6@καμηλου	καμηλου	καμηλου			n
1.6@και[2]	και	και			n
1.6@ζω	ζω	ζω			n
1.6@νην	νην	νην			n
1.6@δερματινην	δερματινην	δερματινην			n
1.6@περι	περι	περι			n
1.6@την	την	την			n
1.6@οσφυν	οσφυν	οσφυν			n
1.6@αυτου	αυτου	αυτου			n
1.6@και[3]	και	και			n
1.6@εσθων	εσθων	εσθων			n
1.6@εσθιων	εσθιων	εσθιων			n
1.6@ακριδας	ακριδας	ακριδας			n
1.6@και[4]	και	και			n
1.6@μελι	μελι	μελι			n
1.6@αγριον	αγριον	αγριον			n
1.7@και	και	και			n
1.7@εκηρυσσεν	εκηρυσσεν	εκηρυσσεν			n
1.7@λε	λε	λε			n
1.7@γων	γων	γων			n
1.7@ερχεται	ερχεται	ερχεται			n
1.7@ο	ο	ο			n
1.7@ισχυ	ισχυ	ισχυ			n
1.7@ροτερος	ροτερος	ροτερος			n
1.7@μου	μου	μου			n
1.7@οπισω	οπισω	οπισω			n
1.7@μου[2]	μου	μου			n
1.7@ου[3]	ου	ου			n
1.7@ουκ	ουκ	ουκ			n
1.7@ειμι	ειμι	ειμι			n
1.7@ι[7]	ι	ι			n
1.7@κανος	κανος	κανος			n
1.7@ειμη	ειμη	ειμη			n
1.7@κανος[2]	κανος	κανος			n
1.7@κυψας	κυψας	κυψας			n
1.7@λυσαι	λυσαι	λυσαι			n
1.7@τον	τον	τον			n
1.7@ιμαντα	ιμαντα	ιμαντα			n
1.7@των	των	των			n
1.7@υποδηματων	υποδηματων	υποδηματων			n
1.7@αυ	αυ	αυ			n
1.7@του	του	του			n
1.8@εγω	εγω	εγω			n
1.8@εβαπτισα	εβαπτισα	εβαπτισα			n
1.8@υμας	υμας	υμας			n
1.8@υδατι	υδατι	υδατι			n
1.8@αυτος	αυτος	αυτος			n
1.8@δε	δε	δε			n
1.8@βα[2]	βα	βα			n
1.8@πτισει	πτισει	πτισει			n
1.8@υμας[2]	υμας	υμας			n
1.8@εν	εν	εν			n
1.8@πνι	πνι	πνι			n
1.8@αγι	αγι	αγι			n
1.8@ω[2]	ω	ω			n
1.9@και	και	και			n
1.9@εγενετο	εγενετο	εγενετο			n
1.9@εν[2]	εν	εν			n
1.9@εκει	εκει	εκει			n
1.9@ναις	ναις	ναις			n
1.9@ταις	ταις	ταις			n
1.9@ημεραις	ημεραις	ημεραις			n
1.9@ηλθεν	ηλθεν	ηλθεν			n
1.9@ις[4]	ις	ις			n
1.9@απο	απο	απο			n
1.9@ναζα	ναζα	ναζα			n
1.9@ρετ	ρετ	ρετ			n
1.9@της	της	της			n
1.9@γαλιλαιας	γαλιλαιας	γαλιλαιας			n
1.9@και[2]	και	και			n
1.9@εβαπτισθη	εβαπτισθη	εβαπτισθη			n
1.9@εις	εις	εις			n
1.9@τον	τον	τον			n
1.9@ιορδανην	ιορδανην	ιορδανην			n
1.9@υπο	υπο	υπο			n
1.9@ιωαννου	ιωαννου	ιωαννου			n
1.10@και	και	και			n
1.10@ευθυς	ευθυς	ευθυς			n
1.10@αναβενων	αναβενων	αναβενων			n
1.10@εκ	εκ	εκ			n
1.10@του	του	του			n
1.10@υδατος	υδατος	υδατος			n
1.10@ειδεν	ειδεν	ειδεν			n
1.10@σχι	σχι	σχι			n
1.10@ζομενους	ζομενους	ζομενους			n
1.10@τους	τους	τους			n
1.10@ουνους	ουνους	ουνους			n
1.10@και[2]	και	και			n
1.10@το[4]	το	το			n
1.10@πνα	πνα	πνα			n
1.10@ως	ως	ως			n
1.10@περιστεραν	περιστεραν	περιστεραν			n
1.10@κα[3]	κα	κα			n
1.10@ταβαινον	ταβαινον	ταβαινον			n
1.10@και[3]	και	και			n
1.10@με[2]	με	με			n
1.10@νον[2]	νον	νον			n
1.10@επ	επ	επ			n
1.10@αυτον	αυτον	αυτον			n
1.11@και	και	και			n
1.11@φωνη	φωνη	φωνη			n
1.11@εγενετο	εγενετο	εγενετο			n
1.11@εκ	εκ	εκ			n
1.11@των	των	των			n
1.11@ουνων	ουνων	ουνων			n
1.11@συ	συ	συ			n
1.11@ει	ει	ει			n
1.11@ο[3]	ο	ο			n
1.11@υς	υς	υς			n
1.11@μου	μου	μου			n
1.11@ο[5]	ο	ο			n
1.11@αγαπητος	αγαπητος	αγαπητος			n
1.11@εν[2]	εν	εν			n
1.11@σοι	σοι	σοι			n
1.11@ευδοκησα	ευδοκησα	ευδοκησα			n
1.12@και	και	και			n
1.12@ευθυς	ευθυς	ευθυς			n
1.12@το	το	το			n
1.12@πνα	πνα	πνα			n
1.12@αυ	αυ	αυ			n
1.12@τον	τον	τον			n
1.12@εκβαλλει	εκβαλλει	εκβαλλει			n
1.12@εις	εις	εις			n
1.12@την	την	την			n
1.12@ερημον	ερημον	ερημον			n
1.13@και	και	και			n
1.13@ην	ην	ην			n
1.13@εν	εν	εν			n
1.13@τη	τη	τη			n
1.13@ερημω	ερημω	ερημω			n
1.13@μ[2]	μ	μ			n
1.13@ημερας	ημερας	ημερας			n
1.13@πιραζο	πιραζο	πιραζο			n
1.13@μενος	μενος	μενος			n
1.13@υπο	υπο	υπο			n
1.13@του	του	του			n
1.13@σα	σα	σα			n
1.13@τανα	τανα	τανα			n
1.13@και[2]	και	και			n
1.13@ην[2]	ην	ην			n
1.13@μετα	μετα	μετα			n
1.13@των	των	των			n
1.13@θηριων	θηριων	θηριων			n
1.13@και[3]	και	και			n
1.13@οι	οι	οι			n
1.13@αγγελοι	αγγελοι	αγγελοι			n
1.13@διηκονουν	διηκονουν	διηκονουν			n
1.13@αυτω	αυτω	αυτω			n
1.14@μετα	μετα	μετα			n
1.14@δε	δε	δε			n
1.14@το	το	το			n
1.14@παραδο	παραδο	παραδο			n
1.14@θηναι	θηναι	θηναι			n
1.14@τον	τον	τον			n
1.14@ιωαν	ιωαν	ιωαν			n
1.14@νην	νην	νην			n
1.14@ηλθεν	ηλθεν	ηλθεν			n
1.14@ο[4]	ο	ο			n
1.14@ις	ις	ις			n
1.14@εις	εις	εις			n
1.14@την	την	την			n
1.14@γαλιλαιαν	γαλιλαιαν	γαλιλαιαν			n
1.14@κη	κη	κη			n
1.14@ρυσσων	ρυσσων	ρυσσων			n
1.14@το[3]	το	το			n
1.14@ευαγ	ευαγ	ευαγ			n
1.14@γελιον	γελιον	γελιον			n
1.14@του	του	του			n
1.14@θυ	θυ	θυ			n
1.15@λεγων	λεγων	λεγων			n
1.15@οτι	οτι	οτι			n
1.15@πεπληρωται	πεπληρωται	πεπληρωται			n
1.15@ο[2]	ο	ο			n
1.15@και	και	και			n
1.15@ρος	ρος	ρος			n
1.15@και[2]	και	και			n
1.15@ηγγεικεν	ηγγεικεν	ηγγεικεν			n
1.15@η[3]	η	η			n
1.15@βασιλια	βασιλια	βασιλια			n
1.15@του	του	του			n
1.15@θυ	θυ	θυ			n
1.15@μετανοειτε	μετανοειτε	μετανοειτε			n
1.15@και[3]	και	και			n
1.15@πιστευεται	πιστευεται	πιστευεται			n
1.15@εν[2]	εν	εν			n
1.15@τω	τω	τω			n
1.15@ευαγγελιω	ευαγγελιω	ευαγγελιω			n
1.16@και	και	και			n
1.16@παραγων	παραγων	παραγων			n
1.16@πα[2]	πα	πα			n
1.16@ρα[2]	ρα	ρα			n
1.16@την	την	την			n
1.16@θαλασσαν	θαλασσαν	θαλασσαν			n
1.16@της	της	της			n
1.16@γαλιλαιας	γαλιλαιας	γαλιλαιας			n
1.16@ει	ει	ει			n
1.16@δεν	δεν	δεν			n
1.16@ι[5]	ι	ι			n
1.16@δεν[2]	δεν	δεν			n
1.16@σιμωνα	σιμωνα	σιμωνα			n
1.16@και[2]	και	και			n
1.16@ανδρεαν	ανδρεαν	ανδρεαν			n
1.16@τον	τον	τον			n
1.16@α[16]	α	α			n
1.16@δελφον	δελφον	δελφον			n
1.16@σιμωνος	σιμωνος	σιμωνος			n
1.16@αμφιβαλλοντας	αμφιβαλλοντας	αμφιβαλλοντας			n
