subref	form	norm	lemma	tag	curated
1@1	1	1			n
1@Il	Il	il			n
1@Pros	Pros	pros			n
1@Λ	Λ	λ			n
1@160	160	160			n
1@κειν	κειν	κειν			n
1@λέγει	λέγει	λέγει			n
1@ὁ	ὁ	ὁ			n
1@τεχνικὸϲ	τεχνικὸϲ	τεχνικόϲ			n
1@ἐν	ἐν	ἐν			n
1@τῷ	τῷ	τῷ			n
1@α	α	α			n
1@ὑπομνήματι	ὑπομνήματι	ὑπομνήματι			n
1@τῷ[2]	τῷ	τῷ			n
1@περὶ	περὶ	περί			n
1@παθῶν	παθῶν	παθῶν			n
1@Διδύμου	Διδύμου	διδύμου			n
1@τὰ	τὰ	τά			n
1@ὀξύτονα	ὀξύτονα	ὀξύτονα			n
1@ἡνίκα	ἡνίκα	ἡνίκα			n
1@ἐκθλίβηται	ἐκθλίβηται	ἐκθλίβηται			n
1@τὴν	τὴν	τήν			n
1@ὀξυνομένην	ὀξυνομένην	ὀξυνομένην			n
1@ϲυλλαβήν	ϲυλλαβήν	ϲυλλαβήν			n
1@ἀναπέμπει	ἀναπέμπει	ἀναπέμπει			n
1@τὴν[2]	τὴν	τήν			n
1@ὀξεῖαν	ὀξεῖαν	ὀξεῖαν			n
1@ἐπὶ	ἐπὶ	ἐπί			n
1@τὴν[3]	τὴν	τήν			n
1@ὀπίϲω	ὀπίϲω	ὀπίϲω			n
1@ϲυλλαβήν[2]	ϲυλλαβήν	ϲυλλαβήν			n
1@καὶ	καὶ	καί			n
1@ἐὰν	ἐὰν	ἐάν			n
1@ᾖ	ᾖ	ᾖ			n
1@ἡ[2]	ἡ	ἡ			n
1@ἐκθλιβεῖϲα	ἐκθλιβεῖϲα	ἐκθλιβεῖϲα			n
1@ϲυλλαβὴ	ϲυλλαβὴ	ϲυλλαβή			n
1@ἡ[3]	ἡ	ἡ			n
1@ἔχουϲα	ἔχουϲα	ἔχουϲα			n
1@τὴν[4]	τὴν	τήν			n
1@ὀξεῖαν[2]	ὀξεῖαν	ὀξεῖαν			n
1@βραχεῖα	βραχεῖα	βραχεῖα			n
1@ἡ[4]	ἡ	ἡ			n
1@δὲ	δὲ	δέ			n
1@ὀπίϲω[2]	ὀπίϲω	ὀπίϲω			n
1@ϲυλλαβὴ[2]	ϲυλλαβὴ	ϲυλλαβή			n
1@φύϲει	φύϲει	φύϲει			n
1@μακρά	μακρά	μακρά			n
1@τῷ[3]	τῷ	τῷ			n
1@τονικῷ	τονικῷ	τονικῷ			n
1@παρεγγέλματι	παρεγγέλματι	παρεγγέλματι			n
1@γίνεται	γίνεται	γίνεται			n
1@περιϲπώμενον	περιϲπώμενον	περιϲπώμενον			n
1@περιϲπᾶ	περιϲπᾶ	περιϲπᾶ			n
1@γοῦν	γοῦν	γοῦν			n
1@τὸ	τὸ	τό			n
1@δεῖλ	δεῖλ	δεῖλ			n
1@ἐν[2]	ἐν	ἐν			n
1@δὲ[2]	δὲ	δέ			n
1@τῇ	τῇ	τῇ			n
1@Ὁμηρικῇ	Ὁμηρικῇ	ὁμηρικῇ			n
1@προϲῳδίᾳ	προϲῳδίᾳ	προϲῳδίᾳ			n
1@ἐναντιοῦται	ἐναντιοῦται	ἐναντιοῦται			n
1@τούτῳ	τούτῳ	τούτῳ			n
2@2	2	2			n
2@Il	Il	il			n
2@Pros	Pros	pros			n
2@P[2]	P	p			n
2@201	201	201			n
2@ζητεῖ	ζητεῖ	ζητεῖ			n
2@ὁ	ὁ	ὁ			n
2@Ἡρωδιανὸϲ	Ἡρωδιανὸϲ	ἡρωδιανόϲ			n
2@ἐν	ἐν	ἐν			n
2@τῷ	τῷ	τῷ			n
2@α[2]	α	α			n
2@ὑπομνήματι	ὑπομνήματι	ὑπομνήματι			n
2@τῷ[2]	τῷ	τῷ			n
2@περὶ	περὶ	περί			n
2@παθῶν	παθῶν	παθῶν			n
2@Διδύμου	Διδύμου	διδύμου			n
2@περὶ[2]	περὶ	περί			n
2@τοῦ	τοῦ	τοῦ			n
2@ἆ	ἆ	ἆ			n
2@δεῖλ	δεῖλ	δεῖλ			n
2@πῶϲ	πῶϲ	πῶϲ			n
2@δεῖ[2]	δεῖ	δεῖ			n
2@τονίζειν	τονίζειν	τονίζειν			n
2@αὐτὸ	αὐτὸ	αὐτό			n
2@καί	καί	καί			n
2@φηϲι	φηϲι	φηϲι			n
2@πολὺ	πολὺ	πολύ			n
2@δὲ	δὲ	δέ			n
2@πρότερον	πρότερον	πρότερον			n
2@παρὰ	παρὰ	παρά			n
2@τῷ[3]	τῷ	τῷ			n
2@ποιητῇ	ποιητῇ	ποιητῇ			n
2@ἐϲτὶ	ἐϲτὶ	ἐϲτί			n
2@τὸ[2]	τὸ	τό			n
2@τῆϲ	τῆϲ	τῆϲ			n
2@ἀναγνώϲεωϲ	ἀναγνώϲεωϲ	ἀναγνώϲεωϲ			n
2@ἆ[2]	ἆ	ἆ			n
2@δείλ	δείλ	δείλ			n
2@οὐδέ	οὐδέ	οὐδέ			n
2@τί	τί	τί			n
2@τοι	τοι	τοι			n
2@θάνατοϲ	θάνατοϲ	θάνατοϲ			n
2@ἢ	ἢ	ἤ			n
2@ἆ[3]	ἆ	ἆ			n
2@δεῖλ[2]	δεῖλ	δεῖλ			n
2@οὐδέ[2]	οὐδέ	οὐδέ			n
2@τί[2]	τί	τί			n
2@τοι[2]	τοι	τοι			n
2@θάνατοϲ[2]	θάνατοϲ	θάνατοϲ			n
2@τὸ[3]	τὸ	τό			n
2@γὰρ	γὰρ	γάρ			n
2@πλῆρέϲ	πλῆρέϲ	πλῆρεϲ			n
2@ἐϲτιν	ἐϲτιν	ἐϲτιν			n
2@ἆ[4]	ἆ	ἆ			n
2@δειλέ	δειλέ	δειλέ			n
2@οὐ[3]	οὐ	οὐ			n
2@γάρ	γάρ	γάρ			n
2@ὡϲ	ὡϲ	ὡϲ			n
2@οἱ	οἱ	οἱ			n
2@ἐξηγηϲάμενοι	ἐξηγηϲάμενοι	ἐξηγηϲάμενοι			n
2@τοῦ[2]	τοῦ	τοῦ			n
2@δείλαιε	δείλαιε	δείλαιε			n
2@ἀποκοπή	ἀποκοπή	ἀποκοπή			n
2@ἐν[2]	ἐν	ἐν			n
2@ἑτέροιϲ	ἑτέροιϲ	ἑτέροιϲ			n
2@γὰρ[2]	γὰρ	γάρ			n
2@αὐτὸϲ	αὐτὸϲ	αὐτόϲ			n
2@λέγει	λέγει	λέγει			n
2@ἆ[5]	ἆ	ἆ			n
2@δειλώ	δειλώ	δειλώ			n
2@τί[3]	τί	τί			n
2@νυ	νυ	νυ			n
