subref	form	norm	lemma	tag	curated
1@It	It	it			n
1@is	is	is			n
1@the	the	the			n
1@duty	duty	duty			n
1@of	of	of			n
1@you	you	you			n
1@all	all	all			n
1@gentlemen	gentlemen	gentlemen			n
1@of[2]	of	of			n
1@the[2]	the	the			n
1@jury	jury	jury			n
1@to	to	to			n
1@avenge	avenge	avenge			n
1@the[3]	the	the			n
1@men[2]	men	men			n
1@who	who	who			n
1@were	were	were			n
1@put	put	put			n
1@to[2]	to	to			n
1@death	death	death			n
1@as	as	as			n
1@supporters	supporters	supporters			n
1@of[3]	of	of			n
1@your	your	your			n
1@democracy	democracy	democracy			n
1@and	and	and			n
1@it	it	it			n
1@is[2]	is	is			n
1@also	also	also			n
1@my	my	my			n
1@duty[2]	duty	duty			n
1@in	in	in			n
1@particular	particular	particular			n
1@for	for	for			n
1@Dionysodorus	Dionysodorus	dionysodorus			n
1@was	was	was			n
1@my[2]	my	my			n
1@brother-in-law	brother-in-law	brother-in-law			n
1@and[2]	and	and			n
1@cousin	cousin	cousin			n
1@It[2]	It	it			n
1@happens	happens	happens			n
1@therefore	therefore	therefore			n
1@that	that	that			n
1@I[3]	I	i			n
1@share	share	share			n
1@with	with	with			n
1@your[2]	your	your			n
1@democracy[2]	democracy	democracy			n
1@the[6]	the	the			n
1@same	same	same			n
1@settled	settled	settled			n
1@animosity	animosity	animosity			n
1@against	against	against			n
1@the[7]	the	the			n
1@defendant	defendant	defendant			n
1@Agoratus	Agoratus	agoratus			n
1@the[8]	the	the			n
1@acts	acts	acts			n
1@that[2]	that	that			n
1@he[9]	he	he			n
1@has	has	has			n
1@committed	committed	committed			n
1@are[2]	are	are			n
1@of[4]	of	of			n
1@a[27]	a	a			n
1@kind	kind	kind			n
1@to[3]	to	to			n
1@give	give	give			n
1@me[4]	me	me			n
1@good	good	good			n
1@reason	reason	reason			n
1@to[4]	to	to			n
1@hate	hate	hate			n
1@him	him	him			n
1@today	today	today			n
1@and[3]	and	and			n
1@justification	justification	justification			n
1@to[6]	to	to			n
1@you[4]	you	you			n
1@for[3]	for	for			n
1@the[9]	the	the			n
1@penalty	penalty	penalty			n
1@which	which	which			n
1@by	by	by			n
1@Heaven	Heaven	heaven			n
1@s[22]	s	s			n
1@will	will	will			n
1@you[5]	you	you			n
1@are[3]	are	are			n
1@to[7]	to	to			n
1@impose	impose	impose			n
1@on[4]	on	on			n
1@him[2]	him	him			n
2@For	For	for			n
2@Dionysodorus	Dionysodorus	dionysodorus			n
2@my	my	my			n
2@brother-in-law	brother-in-law	brother-in-law			n
2@and	and	and			n
2@many	many	many			n
2@others	others	others			n
2@whose	whose	whose			n
2@names	names	names			n
2@you	you	you			n
2@shall	shall	shall			n
2@be	be	be			n
2@duly	duly	duly			n
2@told	told	told			n
2@all[2]	all	all			n
2@loyal	loyal	loyal			n
2@friends	friends	friends			n
2@of	of	of			n
2@your	your	your			n
2@democracy	democracy	democracy			n
2@were	were	were			n
2@done	done	done			n
2@to[2]	to	to			n
2@death	death	death			n
2@by	by	by			n
2@him	him	him			n
2@in[2]	in	in			n
2@the[3]	the	the			n
2@time	time	time			n
2@of[2]	of	of			n
2@the[4]	the	the			n
2@Thirty	Thirty	thirty			n
2@through	through	through			n
2@his	his	his			n
2@act	act	act			n
2@in[3]	in	in			n
2@informing	informing	informing			n
2@against	against	against			n
2@them	them	them			n
2@By	By	by			n
2@this	this	this			n
2@conduct	conduct	conduct			n
2@he[6]	he	he			n
2@inflicted	inflicted	inflicted			n
2@not	not	not			n
2@only	only	only			n
