subref	form	norm	lemma	tag	curated
1@Οὐ	Οὐ	οὐ	οὐ		n
1@πρὸς	πρὸς	πρός	πρός		n
1@σέ	σέ	σέ	σύ		n
1@μοι	μοι	μοι			n
1@μόνον	μόνον	μόνον	μόνος		n
1@ὁ	ὁ	ὁ	ὁ		n
1@λόγος	λόγος	λόγος	λόγος		n
1@δι	δι	δι	διά		n
1@ὃν	ὃν	ὅν	ὅς		n
1@ἀνέστην	ἀνέστην	ἀνέστην	ἀνίστημι		n
1@ἀλλὰ	ἀλλὰ	ἀλλά	ἀλλά		n
1@καὶ	καὶ	καί	καί		n
1@πρὸς[2]	πρὸς	πρός	πρός		n
1@τοὺς	τοὺς	τούς	ὁ		n
1@ἄλλους	ἄλλους	ἄλλους			n
1@ἅπαντας	ἅπαντας	ἅπαντας	ἅπας		n
1@πλείω	πλείω	πλείω	πολύς		n
1@γὰρ	γὰρ	γάρ	γάρ		n
1@ἀγαθὰ	ἀγαθὰ	ἀγαθά	ἀγαθός		n
1@πεποίηκα	πεποίηκα	πεποίηκα	ποιέω		n
1@τὸ	τὸ	τό	ὁ		n
1@στρατόπεδον	στρατόπεδον	στρατόπεδον	στρατόπεδον		n
1@ἐγὼ	ἐγὼ	ἐγώ			n
1@ἢ	ἢ	ἤ	ἤ		n
1@ὑμεῖς	ὑμεῖς	ὑμεῖς			n
1@ἅπαντες	ἅπαντες	ἅπαντες	ἅπας		n
1@καὶ[2]	καὶ	καί	καί		n
1@ταῦτα	ταῦτα	ταῦτα	οὗτος		n
1@καὶ[3]	καὶ	καί	καί		n
1@ζῶντος	ζῶντος	ζῶντος	ζήω		n
1@ἂν	ἂν	ἄν	ἐάν		n
1@ἔλεγον	ἔλεγον	ἔλεγον	λέγω		n
1@Ἀχιλλέως	Ἀχιλλέως	ἀχιλλέως	Ἀχιλλεύς		n
1@καὶ[4]	καὶ	καί	καί		n
1@νῦν	νῦν	νῦν	νῦν		n
1@τεθνεῶτος	τεθνεῶτος	τεθνεῶτος	ἀποθνῄσκω		n
1@λέγω	λέγω	λέγω	λέγω		n
1@πρὸς[3]	πρὸς	πρός	πρός		n
1@ὑμᾶς	ὑμᾶς	ὑμᾶς			n
1@ὑμεῖς[2]	ὑμεῖς	ὑμεῖς	σύ		n
1@μὲν	μὲν	μέν	μέν		n
1@γὰρ[2]	γὰρ	γάρ	γάρ		n
1@οὐδεμίαν	οὐδεμίαν	οὐδεμίαν	οὐδείς		n
1@ἄλλην	ἄλλην	ἄλλην	ἄλλος		n
1@μάχην	μάχην	μάχην	μάχη		n
1@μεμάχησθε	μεμάχησθε	μεμάχησθε			n
1@ἣν	ἣν	ἥν	ὅς		n
1@οὐχὶ	οὐχὶ	οὐχί	οὐ		n
1@καὶ[5]	καὶ	καί	καί		n
1@ἐγὼ[2]	ἐγὼ	ἐγώ			n
1@μεθ	μεθ	μεθ	μετά		n
1@ὑμῶν	ὑμῶν	ὑμῶν	ὑμός		n
1@ἐμοὶ	ἐμοὶ	ἐμοί			n
1@δὲ	δὲ	δέ	δέ		n
1@τῶν	τῶν	τῶν	ὁ		n
1@ἰδίων	ἰδίων	ἰδίων	ἴδιος		n
1@κινδύνων	κινδύνων	κινδύνων	κίνδυνος		n
1@οὐδεὶς	οὐδεὶς	οὐδείς			n
1@ὑμῶν[2]	ὑμῶν	ὑμῶν	ὑμός		n
1@οὐδὲν	οὐδὲν	οὐδέν			n
1@ξύνοιδε	ξύνοιδε	ξύνοιδε			n
2@καίτοι	καίτοι	καίτοι			n
2@ἐν	ἐν	ἐν	ἐν		n
2@μὲν	μὲν	μέν	μέν		n
2@ταῖς	ταῖς	ταῖς	ὁ		n
2@κοιναῖς	κοιναῖς	κοιναῖς	κοινός		n
2@μάχαις	μάχαις	μάχαις	μάχη		n
2@οὐδὲ	οὐδὲ	οὐδέ	οὐδέ		n
2@εἰ	εἰ	εἰ	εἰ		n
2@καλῶς	καλῶς	καλῶς	καλός		n
2@ἀγωνίζοισθε	ἀγωνίζοισθε	ἀγωνίζοισθε			n
2@πλέον	πλέον	πλέον	πολύς		n
2@ἐγίγνετο	ἐγίγνετο	ἐγίγνετο	γίγνομαι		n
2@οὐδέν	οὐδέν	οὐδέν	οὐδείς		n
2@ἐν[2]	ἐν	ἐν	ἐν		n
2@δὲ[2]	δὲ	δέ	δέ		n
2@τοῖς	τοῖς	τοῖς	ὁ		n
2@ἐμοῖς	ἐμοῖς	ἐμοῖς	ἐμός		n
2@κινδύνοις	κινδύνοις	κινδύνοις			n
2@οὓς	οὓς	οὕς	ὅς		n
2@ἐγὼ	ἐγὼ	ἐγώ			n
2@μόνος	μόνος	μόνος	μόνος		n
2@ἐκινδύνευον	ἐκινδύνευον	ἐκινδύνευον	κινδυνεύω		n
2@εἰ[2]	εἰ	εἰ	εἰ		n
2@μὲν[2]	μὲν	μέν	μέν		n
2@κατορθώσαιμι	κατορθώσαιμι	κατορθώσαιμι			n
2@ἅπαντα	ἅπαντα	ἅπαντα	ἅπας		n
2@ἡμῖν	ἡμῖν	ἡμῖν	ἐγώ		n
2@ἐπετελεῖτο	ἐπετελεῖτο	ἐπετελεῖτο	ἐπιτελέω		n
2@ὧν	ὧν	ὧν	ὅς		n
2@ἕνεκα	ἕνεκα	ἕνεκα	ἕνεκα		n
2@δεῦρο	δεῦρο	δεῦρο	δεῦρο		n
2@ἀφίγμεθα	ἀφίγμεθα	ἀφίγμεθα			n
2@εἰ[3]	εἰ	εἰ	εἰ		n
2@δ[7]	δ	δ			n
2@ἐσφάλην	ἐσφάλην	ἐσφάλην			n
2@ἐμοῦ	ἐμοῦ	ἐμοῦ	ἐμός		n
2@ἂν	ἂν	ἄν	ἐάν		n
2@ἑνὸς	ἑνὸς	ἑνός			n
2@ἀνδρὸς	ἀνδρὸς	ἀνδρός	ἀνήρ		n
2@ἐστέρησθε	ἐστέρησθε	ἐστέρησθε			n
2@οὐ[3]	οὐ	οὐ	οὐ		n
2@γὰρ	γὰρ	γάρ	γάρ		n
2@ἵνα	ἵνα	ἵνα	ἵνα		n
2@μαχοίμεθα	μαχοίμεθα	μαχοίμεθα			n
2@τοῖς[2]	τοῖς	τοῖς	ὁ		n
2@Τρωσὶ	Τρωσὶ	τρωσί	Τρώς		n
2@δεῦρ[2]	δεῦρ	δεῦρ			n
2@ἀφίγμεθα[2]	ἀφίγμεθα	ἀφίγμεθα			n
2@ἀλλ	ἀλλ	ἀλλ			n
2@ἵνα[2]	ἵνα	ἵνα	ἵνα		n
2@τήν	τήν	τήν	ὁ		n
2@τε[2]	τε	τέ	τε		n
2@Ἑλένην	Ἑλένην	ἑλένην	Ἑλένη		n
2@ἀπολάβοιμεν	ἀπολάβοιμεν	ἀπολάβοιμεν			n
2@καὶ	καὶ	καί	καί		n
2@τὴν	τὴν	τήν	ὁ		n
2@Τροίαν	Τροίαν	τροίαν	Τροία		n
2@ἕλοιμεν	ἕλοιμεν	ἕλοιμεν	αἱρέω		n
3@ταῦτα	ταῦτα	ταῦτα	οὗτος		n
3@δ	δ	δ			n
3@ἐν	ἐν	ἐν	ἐν		n
3@τοῖς	τοῖς	τοῖς	ὁ		n
3@ἐμοῖς	ἐμοῖς	ἐμοῖς	ἐμός		n
3@κινδύνοις	κινδύνοις	κινδύνοις			n
3@ἐνῆν	ἐνῆν	ἐνῆν	ἔνειμι		n
3@ἅπαντα	ἅπαντα	ἅπαντα	ἅπας		n
3@ὅπου	ὅπου	ὅπου	ὅπου		n
3@γὰρ	γὰρ	γάρ	γάρ		n
3@ἦν	ἦν	ἦν	εἰμί		n
3@κεχρημένον	κεχρημένον	κεχρημένον	χράω2		n
3@ἀνάλωτον	ἀνάλωτον	ἀνάλωτον	ἀνάλωτος		n
3@εἶναι	εἶναι	εἶναι	εἰμί		n
3@τὴν	τὴν	τήν	ὁ		n
3@Τροίαν	Τροίαν	τροίαν	Τροία		n
3@εἰ	εἰ	εἰ	εἰ		n
3@μὴ	μὴ	μή	μή		n
3@πρότερον	πρότερον	πρότερον	πρότερος		n
3@τὸ	τὸ	τό	ὁ		n
3@ἄγαλμα	ἄγαλμα	ἄγαλμα	ἄγαλμα		n
3@τῆς	τῆς	τῆς	ὁ		n
3@θεοῦ	θεοῦ	θεοῦ			n
3@λάβοιμεν	λάβοιμεν	λάβοιμεν	λαμβάνω		n
3@τὸ[2]	τὸ	τό	ὁ		n
3@κλαπὲν	κλαπὲν	κλαπέν	κλέπτω		n
3@παρ	παρ	παρ			n
3@ἡμῶν	ἡμῶν	ἡμῶν			n
3@τίς	τίς	τίς	τις		n
3@ἐστιν	ἐστιν	ἐστίν	εἰμί		n
3@ὁ	ὁ	ὁ	ὁ		n
3@κομίσας	κομίσας	κομίσας	κομίζω		n
3@δεῦρο	δεῦρο	δεῦρο	δεῦρο		n
3@τὸ[3]	τὸ	τό	ὁ		n
3@ἄγαλμα[2]	ἄγαλμα	ἄγαλμα	ἄγαλμα		n
3@ἄλλος	ἄλλος	ἄλλος	ἄλλος		n
3@ἢ	ἢ	ἤ	τίη		n
3@ἐγώ	ἐγώ	ἐγώ			n
3@ὃν	ὃν	ὅν	ὅς		n
3@σύ	σύ	σύ	σύ		n
3@γε	γε	γέ	γε		n
3@ἱεροσυλίας	ἱεροσυλίας	ἱεροσυλίας	ἱεροσυλία		n
3@κρίνεις	κρίνεις	κρίνεις	κρίνω		n
3@σὺ	σὺ	σύ	σύ		n
3@γὰρ[2]	γὰρ	γάρ	γάρ		n
3@οὐδὲν	οὐδὲν	οὐδέν			n
3@οἶσθας	οἶσθας	οἶσθας	οἶδα		n
3@ὅστις	ὅστις	ὅστις	ὅστις		n
3@τὸν	τὸν	τόν	ὁ		n
3@ἄνδρα	ἄνδρα	ἄνδρα	ἀνήρ		n
3@τὸν[2]	τὸν	τόν	ὁ		n
3@ἀνασώσαντα	ἀνασώσαντα	ἀνασώσαντα			n
3@τὸ[6]	τὸ	τό	ὁ		n
3@ἄγαλμα[3]	ἄγαλμα	ἄγαλμα	ἄγαλμα		n
3@τῆς[2]	τῆς	τῆς	ὁ		n
3@θεοῦ[2]	θεοῦ	θεοῦ	θεός		n
3@ἀλλ	ἀλλ	ἀλλ			n
3@οὐ[2]	οὐ	οὐ	οὐ		n
3@τὸν[3]	τὸν	τόν	ὁ		n
3@ὑφελόμενον	ὑφελόμενον	ὑφελόμενον			n
3@παρ[2]	παρ	παρ	παρά		n
3@ἡμῶν[2]	ἡμῶν	ἡμῶν	ἐγώ		n
3@Ἀλέξανδρον	Ἀλέξανδρον	ἀλέξανδρον	Ἀλέξανδρος		n
3@ἀποκαλεῖς	ἀποκαλεῖς	ἀποκαλεῖς			n
3@ἱερόσυλον	ἱερόσυλον	ἱερόσυλον	ἱερόσυλος		n
4@καὶ	καὶ	καί	καί		n
4@τὴν	τὴν	τήν	ὁ		n
4@Τροίαν	Τροίαν	τροίαν	Τροία		n
4@μὲν	μὲν	μέν	μέν		n
4@ἁλῶναι	ἁλῶναι	ἁλῶναι	ἁλίσκομαι		n
4@ἅπαντες	ἅπαντες	ἅπαντες	ἅπας		n
4@εὔχεσθε	εὔχεσθε	εὔχεσθε	εὔχομαι		n
4@ἐμὲ	ἐμὲ	ἐμέ			n
4@δὲ	δὲ	δέ	δέ		n
4@τὸν	τὸν	τόν	ὁ		n
4@ἐξευρόντα	ἐξευρόντα	ἐξευρόντα	ἐξευρίσκω		n
4@ὅπως	ὅπως	ὅπως	ὅπως		n
4@ἔσται	ἔσται	ἔσται	εἰμί		n
