subref	form	norm	lemma	tag	curated
1@Ἐπειδή	Ἐπειδή	ἐπειδή			n
1@τινες	τινες	τινές	τις		n
1@τῶν	τῶν	τῶν	ὁ		n
1@καλουμένων	καλουμένων	καλουμένων	καλέω		n
1@σοφιστῶν	σοφιστῶν	σοφιστῶν	σοφιστής		n
1@ἱστορίας	ἱστορίας	ἱστορίας	ἱστορία		n
1@μὲν	μὲν	μέν	μέν		n
1@καὶ	καὶ	καί	καί		n
1@παιδείας	παιδείας	παιδείας	παιδεία		n
1@ἠμελήκασι	ἠμελήκασι	ἠμελήκασι			n
1@καὶ[2]	καὶ	καί	καί		n
1@τοῦ	τοῦ	τοῦ	ὁ		n
1@δύνασθαι	δύνασθαι	δύνασθαι	δύναμαι		n
1@λέγειν	λέγειν	λέγειν	λέγω		n
1@ὁμοίως	ὁμοίως	ὁμοίως	ὅμοιος		n
1@τοῖς	τοῖς	τοῖς	ὁ		n
1@ἰδιώταις	ἰδιώταις	ἰδιώταις	ἰδιώτης		n
1@ἀπείρως	ἀπείρως	ἀπείρως	ἄπειρος		n
1@ἔχουσι	ἔχουσι	ἔχουσι	ἔχω		n
1@γράφειν	γράφειν	γράφειν	γράφω		n
1@δὲ	δὲ	δέ	δέ		n
1@μεμελετηκότες	μεμελετηκότες	μεμελετηκότες	μελετάω		n
1@λόγους	λόγους	λόγους	λόγος		n
1@καὶ[3]	καὶ	καί	καί		n
1@διὰ	διὰ	διά	διά		n
1@βιβλίων	βιβλίων	βιβλίων	βιβλίον		n
1@δεικνύντες	δεικνύντες	δεικνύντες	δείκνυμι		n
1@τὴν	τὴν	τήν	ὁ		n
1@αὑτῶν	αὑτῶν	αὑτῶν	ἑαυτοῦ		n
1@σοφίαν	σοφίαν	σοφίαν	σοφία		n
1@σεμνύνονται	σεμνύνονται	σεμνύνονται	σεμνύνω		n
1@καὶ[4]	καὶ	καί	καί		n
1@μέγα	μέγα	μέγα	μέγας		n
1@φρονοῦσι	φρονοῦσι	φρονοῦσι	φρονέω		n
1@καὶ[5]	καὶ	καί	καί		n
1@πολλοστὸν	πολλοστὸν	πολλοστόν	πολλοστός		n
1@μέρος	μέρος	μέρος	μέρος		n
1@τῆς	τῆς	τῆς	ὁ		n
1@ῥητορικῆς	ῥητορικῆς	ῥητορικῆς	ῥητορικός		n
1@κεκτημένοι	κεκτημένοι	κεκτημένοι			n
1@δυνάμεως	δυνάμεως	δυνάμεως	δύναμις		n
1@τῆς[2]	τῆς	τῆς	ὁ		n
1@ὅλης	ὅλης	ὅλης	ὅλος		n
1@τέχνης	τέχνης	τέχνης	τέχνη		n
1@ἀμφισβητοῦσι	ἀμφισβητοῦσι	ἀμφισβητοῦσι	ἀμφισβητέω		n
1@διὰ[2]	διὰ	διά	διά		n
1@ταύτην	ταύτην	ταύτην	οὗτος		n
1@τὴν[2]	τὴν	τήν	ὁ		n
1@αἰτίαν	αἰτίαν	αἰτίαν	αἰτία		n
1@ἐπιχειρήσω	ἐπιχειρήσω	ἐπιχειρήσω	ἐπιχειρέω		n
1@κατηγορίαν	κατηγορίαν	κατηγορίαν	κατηγορία		n
1@ποιήσασθαι	ποιήσασθαι	ποιήσασθαι	ποιέω		n
1@τῶν[4]	τῶν	τῶν	ὁ		n
1@γραπτῶν	γραπτῶν	γραπτῶν			n
1@λόγων	λόγων	λόγων	λόγος		n
2@οὐχ	οὐχ	οὐ	οὐ		n
2@ὡς	ὡς	ὡς	ὡς		n
2@ἀλλοτρίαν	ἀλλοτρίαν	ἀλλοτρίαν	ἀλλότριος		n
2@ἐμαυτοῦ	ἐμαυτοῦ	ἐμαυτοῦ	ἐμαυτοῦ		n
2@τὴν	τὴν	τήν	ὁ		n
2@δύναμιν	δύναμιν	δύναμιν	δύναμις		n
2@αὐτῶν	αὐτῶν	αὐτῶν	αὐτός		n
2@ἡγούμενος	ἡγούμενος	ἡγούμενος			n
2@ἀλλ[2]	ἀλλ	ἀλλ			n
2@ὡς[2]	ὡς	ὡς	ὡς		n
2@ἐφ	ἐφ	ἐφ	ἐπί		n
2@ἑτέροις	ἑτέροις	ἑτέροις	ἕτερος		n
2@μεῖζον	μεῖζον	μεῖζον	μέγας		n
2@φρονῶν	φρονῶν	φρονῶν	φρονέω		n
2@καὶ	καὶ	καί	καί		n
2@τὸ	τὸ	τό	ὁ		n
2@γράφειν	γράφειν	γράφειν	γράφω		n
2@ἐν	ἐν	ἐν	ἐν		n
2@παρέργῳ	παρέργῳ	παρέργῳ			n
2@μελετᾶν	μελετᾶν	μελετᾶν	μελετάω		n
2@οἰόμενος	οἰόμενος	οἰόμενος			n
2@χρῆναι	χρῆναι	χρῆναι	χρή		n
2@καὶ[2]	καὶ	καί	καί		n
2@τοὺς	τοὺς	τούς	ὁ		n
2@ἐπ	ἐπ	ἐπ	ἐπί		n
2@αὐτὸ	αὐτὸ	αὐτό	αὐτός		n
2@τοῦτο	τοῦτο	τοῦτο	οὗτος		n
2@τὸν	τὸν	τόν	ὁ		n
2@βίον	βίον	βίον	βίος		n
2@καταναλίσκοντας	καταναλίσκοντας	καταναλίσκοντας	καταναλίσκω		n
2@ἀπολελεῖφθαι	ἀπολελεῖφθαι	ἀπολελεῖφθαι	ἀπολείπω		n
2@πολὺ	πολὺ	πολύ	πολύς		n
2@καὶ[3]	καὶ	καί	καί		n
2@ῥητορικῆς	ῥητορικῆς	ῥητορικῆς	ῥητορικός		n
2@καὶ[4]	καὶ	καί	καί		n
2@φιλοσοφίας	φιλοσοφίας	φιλοσοφίας	φιλοσοφία		n
2@ὑπειληφώς	ὑπειληφώς	ὑπειληφώς	ὑπολαμβάνω		n
2@καὶ[5]	καὶ	καί	καί		n
2@πολὺ[2]	πολὺ	πολύ	πολύς		n
2@δικαιότερον	δικαιότερον	δικαιότερον	δίκαιος		n
