subref	form	norm	lemma	tag	curated
12@ΠΕΡΙ	ΠΕΡΙ	περι			n
12@ΦΥΣΙΟΣ	ΦΥΣΙΟΣ	φυσιος			n
12@ΠΑΙΔΙΟΥ	ΠΑΙΔΙΟΥ	παιδιου			n
12@12	12	12			n
12@Ἢν	Ἢν	ἤν			n
12@ἡ	ἡ	ἡ	ὁ		n
12@γονὴ	γονὴ	γονή	γονή		n
12@μείνῃ	μείνῃ	μείνῃ			n
12@ἀπ	ἀπ	ἀπ			n
12@ἀμφοῖν	ἀμφοῖν	ἀμφοῖν	ἄμφω		n
12@ἐν	ἐν	ἐν	ἐν		n
12@τῇσι	τῇσι	τῇσι	ὁ		n
12@μήτρῃσι	μήτρῃσι	μήτρῃσι	μήτρα		n
12@τῆς	τῆς	τῆς	ὁ		n
12@γυναικὸς	γυναικὸς	γυναικός	γυνή		n
12@πρῶτον	πρῶτον	πρῶτον	πρῶτος		n
12@μὲν	μὲν	μέν	μέν		n
12@μίσγεται	μίσγεται	μίσγεται	μείγνυμι		n
12@ὁμοῦ	ὁμοῦ	ὁμοῦ	ὁμοῦ		n
12@ἅτε	ἅτε	ἅτε	ἅτε		n
12@τῆς[2]	τῆς	τῆς	ὁ		n
12@γυναικὸς[2]	γυναικὸς	γυναικός	γυνή		n
12@οὐκ	οὐκ	οὐ	οὐ		n
12@ἀτρεμεούσης	ἀτρεμεούσης	ἀτρεμεούσης			n
12@καὶ	καὶ	καί	καί		n
12@ἀθροίζεται	ἀθροίζεται	ἀθροίζεται	ἀθροίζω		n
12@καὶ[2]	καὶ	καί	καί		n
12@παχύνεται	παχύνεται	παχύνεται	παχύνω		n
12@θερμαινομένη	θερμαινομένη	θερμαινομένη	θερμαίνω		n
12@Ἔπειτα	Ἔπειτα	ἔπειτα	ἔπειτα		n
12@πνεῦμα	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἴσχει	ἴσχει	ἴσχει	ἴσχω		n
12@ἅτε[2]	ἅτε	ἅτε	ἅτε		n
12@ἐν[2]	ἐν	ἐν	ἐν		n
12@θερμῷ	θερμῷ	θερμῷ	θερμός		n
12@ἐοῦσα	ἐοῦσα	ἐοῦσα	εἰμί		n
12@ἔπειτα	ἔπειτα	ἔπειτα	ἔπειτα		n
12@τῆς[3]	τῆς	τῆς	ὁ		n
12@μητρὸς	μητρὸς	μητρός	μήτηρ		n
12@πνεούσης	πνεούσης	πνεούσης			n
12@ἔπειτα[2]	ἔπειτα	ἔπειτα	ἔπειτα		n
12@δὲ	δὲ	δέ	δέ		n
12@τοῦ	τοῦ	τοῦ	ὁ		n
12@πνεύματος	πνεύματος	πνεύματος	πνεῦμα		n
12@ὅταν	ὅταν	ὅταν	ὅταν		n
12@πλησθῇ	πλησθῇ	πλησθῇ	πίμπλημι		n
12@ὁδόν	ὁδόν	ὁδόν	ὁδός		n
12@οἱ	οἱ	οἱ	ἕ		n
12@αὐτὸ	αὐτὸ	αὐτό	αὐτός		n
12@ἑωυτῷ	ἑωυτῷ	ἑωυτῷ	ἑαυτοῦ		n
12@ἔξω	ἔξω	ἔξω	ἔξω		n
12@ποιέει	ποιέει	ποιέει	ποιέω		n
12@κατὰ	κατὰ	κατά	κατά		n
12@μέσου	μέσου	μέσου			n
12@τῆς[4]	τῆς	τῆς	ὁ		n
12@γονῆς	γονῆς	γονῆς	γονή		n
12@ᾗ	ᾗ	ᾗ	ὅς		n
12@τὸ[2]	τὸ	τό	ὁ		n
12@πνεῦμα[2]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἔξεισιν	ἔξεισιν	ἔξεισιν	ἔξειμι		n
12@ὅταν[2]	ὅταν	ὅταν	ὅταν		n
12@δὲ[2]	δὲ	δέ	δέ		n
12@ὁδὸς	ὁδὸς	ὁδός	ὁδός		n
12@γένηται	γένηται	γένηται	γίγνομαι		n
12@τῷ[2]	τῷ	τῷ	τῷ		n
12@πνεύματι	πνεύματι	πνεύματι	πνεῦμα		n
12@ἔξω[2]	ἔξω	ἔξω	ἔξω		n
12@θερμῷ[2]	θερμῷ	θερμῷ	θερμός		n
12@ἐόντι	ἐόντι	ἐόντι	εἰμί		n
12@αὖθις	αὖθις	αὖθις	αὖθις		n
12@ἕτερον	ἕτερον	ἕτερον	ἕτερος		n
12@ψυχρὸν	ψυχρὸν	ψυχρόν	ψυχρός		n
12@εἰσπνέει	εἰσπνέει	εἰσπνέει			n
12@ἀπὸ	ἀπὸ	ἀπό	ἀπό		n
12@τῆς[5]	τῆς	τῆς	ὁ		n
12@μητρός	μητρός	μητρός	μήτηρ		n
12@καὶ[3]	καὶ	καί	καί		n
12@τοῦτο	τοῦτο	τοῦτο	οὗτος		n
12@ποιέει[2]	ποιέει	ποιέει	ποιέω		n
12@διὰ	διὰ	διά	διά		n
12@παντὸς	παντὸς	παντός	πᾶς		n
12@τοῦ[3]	τοῦ	τοῦ	ὁ		n
12@χρόνου	χρόνου	χρόνου	χρόνος		n
12@Θερμαίνεται	Θερμαίνεται	θερμαίνεται			n
12@μὲν[2]	μὲν	μέν	μέν		n
12@γὰρ	γὰρ	γάρ	γάρ		n
12@ἅτε[3]	ἅτε	ἅτε	ἅτε		n
12@ἐν[3]	ἐν	ἐν	ἐν		n
12@θερμῷ[3]	θερμῷ	θερμῷ	θερμός		n
12@ἐοῦσα[2]	ἐοῦσα	ἐοῦσα	εἰμί		n
12@ψυχρὸν[2]	ψυχρὸν	ψυχρόν	ψυχρός		n
12@δὲ[3]	δὲ	δέ	δέ		n
12@ἴσχει[2]	ἴσχει	ἴσχει	ἴσχω		n
12@ἀπὸ[2]	ἀπὸ	ἀπό	ἀπό		n
12@τῆς[6]	τῆς	τῆς	ὁ		n
12@μητρὸς[2]	μητρὸς	μητρός	μήτηρ		n
12@πνεούσης[2]	πνεούσης	πνεούσης			n
12@πάντα	πάντα	πάντα	πᾶς		n
12@δὲ[4]	δὲ	δέ	δέ		n
12@ὁκόσα	ὁκόσα	ὁκόσα	ὁπόσος		n
12@θερμαίνεται	θερμαίνεται	θερμαίνεται	θερμαίνω		n
12@πνεῦμα[3]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἴσχει[3]	ἴσχει	ἴσχει	ἴσχω		n
12@Τὸ	Τὸ	τό			n
12@δὲ[5]	δὲ	δέ	δέ		n
12@πνεῦμα[4]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ῥήγνυσι	ῥήγνυσι	ῥήγνυσι	ῥήγνυμι		n
12@καὶ[4]	καὶ	καί	καί		n
12@ποιέει[3]	ποιέει	ποιέει	ποιέω		n
12@οἱ[2]	οἱ	οἱ	ἕ		n
12@ὁδὸν	ὁδὸν	ὁδόν	ὁδός		n
12@αὐτὸ[2]	αὐτὸ	αὐτό	αὐτός		n
12@ἑωυτῷ[2]	ἑωυτῷ	ἑωυτῷ	ἑαυτοῦ		n
12@καὶ[5]	καὶ	καί	καί		n
12@χωρέει	χωρέει	χωρέει	χωρέω		n
12@ἔξω[3]	ἔξω	ἔξω	ἔξω		n
12@αὐτὸ[3]	αὐτὸ	αὐτό	αὐτός		n
12@δὲ[6]	δὲ	δέ	δέ		n
12@τὸ[6]	τὸ	τό	ὁ		n
12@θερμαινόμενον	θερμαινόμενον	θερμαινόμενον			n
12@ἕλκει	ἕλκει	ἕλκει	ἕλκω		n
12@ἐς	ἐς	ἐς	εἰς		n
12@ἑωυτὸ	ἑωυτὸ	ἑωυτό			n
12@αὖθις[2]	αὖθις	αὖθις	αὖθις		n
12@ἕτερον[2]	ἕτερον	ἕτερον	ἕτερος		n
12@πνεῦμα[5]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ψυχρὸν[3]	ψυχρὸν	ψυχρόν	ψυχρός		n
12@διὰ[2]	διὰ	διά	διά		n
12@τῆς[7]	τῆς	τῆς	ὁ		n
12@ῥαγῆς	ῥαγῆς	ῥαγῆς			n
12@ἀφ	ἀφ	ἀφ			n
12@οὗ	οὗ	οὗ	οὗ		n
12@τρέφεται	τρέφεται	τρέφεται	τρέφω		n
12@Τοῦτο	Τοῦτο	τοῦτο	οὗτος		n
12@δὲ[7]	δὲ	δέ	δέ		n
12@γίνεται	γίνεται	γίνεται	γίγνομαι		n
12@καὶ[6]	καὶ	καί	καί		n
12@ἐπὶ	ἐπὶ	ἐπί	ἐπί		n
12@τῶν	τῶν	τῶν	ὁ		n
12@ξύλων	ξύλων	ξύλων	ξύλον		n
12@καὶ[7]	καὶ	καί	καί		n
12@ἐπὶ[2]	ἐπὶ	ἐπί	ἐπί		n
12@τῶν[2]	τῶν	τῶν	ὁ		n
12@φύλων	φύλων	φύλων	φῦλον		n
12@καὶ[8]	καὶ	καί	καί		n
12@βρωτῶν	βρωτῶν	βρωτῶν	βρωτός		n
12@καὶ[9]	καὶ	καί	καί		n
12@ποτῶν	ποτῶν	ποτῶν	πότης		n
12@ὁκόσα[2]	ὁκόσα	ὁκόσα	ὁπόσος		n
12@θερμαίνεται[2]	θερμαίνεται	θερμαίνεται	θερμαίνω		n
12@ἰσχυρῶς	ἰσχυρῶς	ἰσχυρῶς	ἰσχυρός		n
12@Ἐννοῆσαι	Ἐννοῆσαι	ἐννοῆσαι			n
12@δὲ[8]	δὲ	δέ	δέ		n
12@παρέξει	παρέξει	παρέξει	παραξέω		n
12@ξύλα	ξύλα	ξύλα	ξύλον		n
12@καιόμενα	καιόμενα	καιόμενα	καίω		n
12@ἅπαντα	ἅπαντα	ἅπαντα	ἅπας		n
12@μὲν[3]	μὲν	μέν	μέν		n
12@γὰρ[2]	γὰρ	γάρ	γάρ		n
12@τὰ[2]	τὰ	τά	ὁ		n
12@ξύλα[2]	ξύλα	ξύλα	ξύλον		n
12@ποιήσει	ποιήσει	ποιήσει	ποιέω		n
12@τοῦτο[2]	τοῦτο	τοῦτο	οὗτος		n
12@μάλιστα	μάλιστα	μάλιστα	μάλιστα		n
12@δὲ[9]	δὲ	δέ	δέ		n
12@τὰ[3]	τὰ	τά	ὁ		n
12@ὑπόχλωρα	ὑπόχλωρα	ὑπόχλωρα			n
12@μεθίησι	μεθίησι	μεθίησι			n
12@γὰρ[3]	γὰρ	γάρ	γάρ		n
12@κατὰ[2]	κατὰ	κατά	κατά		n
12@τὴν	τὴν	τήν	ὁ		n
12@τομὴν	τομὴν	τομήν	τομή		n
12@πνεῦμα[6]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@τὸ[8]	τὸ	τό	ὁ		n
12@δὲ[10]	δὲ	δέ	δέ		n
12@πνεῦμα[7]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ὁκόταν	ὁκόταν	ὁκόταν			n
12@ἔξω[4]	ἔξω	ἔξω	ἔξω		n
12@χωρήσῃ	χωρήσῃ	χωρήσῃ	χωρέω		n
12@ἑλίσσεται	ἑλίσσεται	ἑλίσσεται	ἑλίσσω		n
12@περὶ	περὶ	περί	περί		n
12@τὴν[2]	τὴν	τήν	ὁ		n
12@τομήν	τομήν	τομήν	τομή		n
12@καὶ[10]	καὶ	καί	καί		n
12@τοῦτο[3]	τοῦτο	τοῦτο	οὗτος		n
12@γινόμενον	γινόμενον	γινόμενον			n
12@ὁρέομεν	ὁρέομεν	ὁρέομεν	ὁράω		n
12@ἀεί	ἀεί	ἀεί	ἀεί		n
12@Δῆλος	Δῆλος	δῆλος			n
12@οὖν	οὖν	οὖν	οὖν		n
12@ὁ[9]	ὁ	ὁ	ὁ		n
12@ἐκλογισμός	ἐκλογισμός	ἐκλογισμός	ἐκλογισμός		n
12@ἐστι	ἐστι	ἐστί	εἰμί		n
12@τοῦ[6]	τοῦ	τοῦ	ὁ		n
12@πνεύματος[2]	πνεύματος	πνεύματος	πνεῦμα		n
12@ὅτι	ὅτι	ὅτι	ὅτι2		n
12@ἐν[4]	ἐν	ἐν	ἐν		n
12@τῷ[4]	τῷ	τῷ	ὁ		n
12@ξύλῳ	ξύλῳ	ξύλῳ	ξύλον		n
12@ἐὸν	ἐὸν	ἐόν	εἰμί		n
12@θερμὸν	θερμὸν	θερμόν	θερμός		n
12@ἀντισπᾷ	ἀντισπᾷ	ἀντισπᾷ			n
12@ἕτερον[3]	ἕτερον	ἕτερον	ἕτερος		n
12@ψυχρὸν[4]	ψυχρὸν	ψυχρόν	ψυχρός		n
12@ἀφ[2]	ἀφ	ἀφ			n
12@οὗ[2]	οὗ	οὗ	οὗ		n
12@τρέφεται[2]	τρέφεται	τρέφεται	τρέφω		n
12@ἐς[2]	ἐς	ἐς	εἰς		n
12@ἑωυτὸ[2]	ἑωυτὸ	ἑωυτό			n
12@καὶ[11]	καὶ	καί	καί		n
12@ἀπὸ[3]	ἀπὸ	ἀπό	ἀπό		n
12@ἑωυτοῦ	ἑωυτοῦ	ἑωυτοῦ	ἑαυτοῦ		n
12@ἀφίησιν	ἀφίησιν	ἀφίησιν			n
12@εἰ[2]	εἰ	εἰ	εἰ		n
12@μὲν[4]	μὲν	μέν	μέν		n
12@γὰρ[4]	γὰρ	γάρ	γάρ		n
12@μὴ[2]	μὴ	μή			n
12@ἀντέσπα	ἀντέσπα	ἀντέσπα			n
12@οὐκ[2]	οὐκ	οὐ	οὐ		n
12@ἂν	ἂν	ἄν	ἄν		n
12@τὸ[10]	τὸ	τό	ὁ		n
12@πνεῦμα[8]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@εἱλίσσετο	εἱλίσσετο	εἱλίσσετο	ἑλίσσω		n
12@ἔξω[5]	ἔξω	ἔξω	ἔξω		n
12@ἰόν	ἰόν	ἰόν	ἰός		n
12@πᾶν	πᾶν	πᾶν	πᾶς		n
12@γὰρ[5]	γὰρ	γάρ	γάρ		n
12@τὸ[11]	τὸ	τό	ὁ		n
12@θερμὸν[2]	θερμὸν	θερμόν	θερμός		n
12@τῷ[5]	τῷ	τῷ	τῷ		n
12@ψυχρῷ	ψυχρῷ	ψυχρῷ			n
12@τρέφεται[3]	τρέφεται	τρέφεται	τρέφω		n
12@τῷ[6]	τῷ	τῷ	τῷ		n
12@μετρίῳ	μετρίῳ	μετρίῳ			n
12@καὶ[12]	καὶ	καί	καί		n
12@ὁκόταν[2]	ὁκόταν	ὁκόταν			n
12@διαθερμανθῇ	διαθερμανθῇ	διαθερμανθῇ	διαθερμαίνω		n
12@τὸ[12]	τὸ	τό	ὁ		n
12@ὑγρὸν	ὑγρὸν	ὑγρόν	ὑγρός		n
12@τὸ[13]	τὸ	τό	ὁ		n
12@ἐν[5]	ἐν	ἐν	ἐν		n
12@τῷ[7]	τῷ	τῷ	ὁ		n
12@ξύλῳ[2]	ξύλῳ	ξύλῳ	ξύλον		n
12@ἐνεὸν	ἐνεὸν	ἐνεόν			n
12@πνεῦμα[9]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@γενόμενον	γενόμενον	γενόμενον	γίγνομαι		n
12@χωρέει[2]	χωρέει	χωρέει	χωρέω		n
12@ἔξω[6]	ἔξω	ἔξω	ἔξω		n
12@καὶ[13]	καὶ	καί	καί		n
12@τῇδε	τῇδε	τῇδε	ὅδε		n
12@ἐξιὸν	ἐξιὸν	ἐξιόν			n
12@ἔξω[7]	ἔξω	ἔξω	ἔξω		n
12@τὸ[14]	τὸ	τό	ὁ		n
12@θερμὸν[3]	θερμὸν	θερμόν	θερμός		n
12@τὸ[15]	τὸ	τό	ὁ		n
12@ἐν[7]	ἐν	ἐν	ἐν		n
12@τῷ[8]	τῷ	τῷ	ὁ		n
12@ξύλῳ[3]	ξύλῳ	ξύλῳ	ξύλον		n
12@ἐνεὸν[2]	ἐνεὸν	ἐνεόν			n
12@ἀντισπᾷ[2]	ἀντισπᾷ	ἀντισπᾷ			n
12@ἕτερον[4]	ἕτερον	ἕτερον	ἕτερος		n
12@ψυχρὸν[5]	ψυχρὸν	ψυχρόν	ψυχρός		n
12@ἀφ[4]	ἀφ	ἀφ			n
12@οὗ[3]	οὗ	οὗ	οὗ		n
12@τρέφεται[4]	τρέφεται	τρέφεται	τρέφω		n
12@Ποιέει	Ποιέει	ποιέει			n
12@δὲ[11]	δὲ	δέ	δέ		n
12@τοῦτο[4]	τοῦτο	τοῦτο	οὗτος		n
12@καὶ[14]	καὶ	καί	καί		n
12@φύλλα	φύλλα	φύλλα	φύλλον		n
12@χλωρὰ	χλωρὰ	χλωρά	χλωρός		n
12@ὅταν[3]	ὅταν	ὅταν	ὅταν		n
12@καίηται	καίηται	καίηται	καίω		n
12@πνεῦμα[10]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@γὰρ[6]	γὰρ	γάρ	γάρ		n
12@ἴσχει[4]	ἴσχει	ἴσχει	ἴσχω		n
12@ἔπειτα[3]	ἔπειτα	ἔπειτα	ἔπειτα		n
12@ῥήγνυσι[2]	ῥήγνυσι	ῥήγνυσι	ῥήγνυμι		n
12@τὸ[16]	τὸ	τό	ὁ		n
12@πνεῦμα[11]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@καὶ[15]	καὶ	καί	καί		n
12@ὁδὸν[2]	ὁδὸν	ὁδόν	ὁδός		n
12@ποιέεται	ποιέεται	ποιέεται	ποιέω		n
12@καὶ[16]	καὶ	καί	καί		n
12@χωρέει[3]	χωρέει	χωρέει	χωρέω		n
12@ἔξω[8]	ἔξω	ἔξω	ἔξω		n
12@ἑλισσόμενον	ἑλισσόμενον	ἑλισσόμενον	ἑλίσσω		n
12@χωρέον	χωρέον	χωρέον			n
12@δὲ[12]	δὲ	δέ	δέ		n
12@ψόφον	ψόφον	ψόφον	ψόφος		n
12@παρέχει	παρέχει	παρέχει	παρέχω		n
12@ᾗ[2]	ᾗ	ᾗ	ὅς		n
12@τὴν[3]	τὴν	τήν	ὁ		n
12@εἰσπνοὴν	εἰσπνοὴν	εἰσπνοήν	εἰσπνοή		n
12@ποιέεται[2]	ποιέεται	ποιέεται	ποιέω		n
12@καὶ[17]	καὶ	καί	καί		n
12@χέδροπα	χέδροπα	χέδροπα			n
12@καὶ[18]	καὶ	καί	καί		n
12@σῖτος	σῖτος	σῖτος	σῖτος		n
12@καὶ[19]	καὶ	καί	καί		n
12@ἀκρόδρυα	ἀκρόδρυα	ἀκρόδρυα			n
12@θερμαινόμενα	θερμαινόμενα	θερμαινόμενα	θερμαίνω		n
12@πνεῦμα[12]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἴσχει[5]	ἴσχει	ἴσχει	ἴσχω		n
12@καὶ[20]	καὶ	καί	καί		n
12@ἔξω[9]	ἔξω	ἔξω	ἔξω		n
12@ἐξέρχεται	ἐξέρχεται	ἐξέρχεται	ἐξέρχομαι		n
12@ῥαγὴν	ῥαγὴν	ῥαγήν			n
12@ποιησάμενον	ποιησάμενον	ποιησάμενον			n
12@καὶ[21]	καὶ	καί	καί		n
12@ἢν	ἢν	ἤν	ἐάν		n
12@νοτερὰ	νοτερὰ	νοτερά	νοτερός		n
12@ἔῃ	ἔῃ	ἔῃ	εἰμί		n
12@πλέον	πλέον	πλέον	πλέως		n
12@τὸ[17]	τὸ	τό	ὁ		n
12@πνεῦμα[13]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἀφίησι[2]	ἀφίησι	ἀφίησι	ἀφίημι		n
12@καὶ[22]	καὶ	καί	καί		n
12@τὴν[4]	τὴν	τήν	ὁ		n
12@ῥαγὴν[2]	ῥαγὴν	ῥαγήν			n
12@μέζω	μέζω	μέζω			n
12@ποιέεται[3]	ποιέεται	ποιέεται	ποιέω		n
12@Καὶ	Καὶ	καί	καί		n
12@τί	τί	τί	τίς		n
12@δεῖ	δεῖ	δεῖ	δέω		n
12@μακρηγορέειν	μακρηγορέειν	μακρηγορέειν	μακρηγορέω		n
12@πάντα[2]	πάντα	πάντα	πᾶς		n
12@γὰρ[7]	γὰρ	γάρ	γάρ		n
12@ὁκόσα[3]	ὁκόσα	ὁκόσα	ὁπόσος		n
12@θερμαίνεται[3]	θερμαίνεται	θερμαίνεται	θερμαίνω		n
12@πνεῦμα[14]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἀφίησι[3]	ἀφίησι	ἀφίησι	ἀφίημι		n
12@καὶ[23]	καὶ	καί	καί		n
12@ἕτερον[5]	ἕτερον	ἕτερον	ἕτερος		n
12@ψυχρὸν[6]	ψυχρὸν	ψυχρόν	ψυχρός		n
12@κατὰ[3]	κατὰ	κατά	κατά		n
12@τοῦτο[5]	τοῦτο	τοῦτο	οὗτος		n
12@ἀντισπᾷ[3]	ἀντισπᾷ	ἀντισπᾷ			n
12@ἀφ[7]	ἀφ	ἀφ			n
12@οὗ[4]	οὗ	οὗ	οὗ		n
12@τρέφεται[5]	τρέφεται	τρέφεται	τρέφω		n
12@καὶ[24]	καὶ	καί	καί		n
12@αὗταί	αὗταί	αὗται			n
12@μοι	μοι	μοι			n
12@ἀνάγκαι	ἀνάγκαι	ἀνάγκαι	ἀνάγκη		n
12@προηγμέναι	προηγμέναι	προηγμέναι			n
12@εἰσὶν	εἰσὶν	εἰσίν	εἰμί		n
12@ὅτι[2]	ὅτι	ὅτι	ὅτι2		n
12@ἡ[2]	ἡ	ἡ	ὁ		n
12@γονὴ[2]	γονὴ	γονή	γονή		n
12@θερμαινομένη[2]	θερμαινομένη	θερμαινομένη	θερμαίνω		n
12@ἐν[9]	ἐν	ἐν	ἐν		n
12@τῇσι[2]	τῇσι	τῇσι	ὁ		n
12@μήτρῃσι[2]	μήτρῃσι	μήτρῃσι	μήτρα		n
12@πνεῦμα[15]	πνεῦμα	πνεῦμα	πνεῦμα		n
12@ἴσχει[6]	ἴσχει	ἴσχει	ἴσχω		n
12@καὶ[25]	καὶ	καί	καί		n
12@ἀφίησιν[2]	ἀφίησιν	ἀφίησιν	ἀφίημι		n
12@ἅμα	ἅμα	ἅμα	ἅμα		n
12@δὲ[13]	δὲ	δέ	δέ		n
12@καὶ[26]	καὶ	καί	καί		n
12@ἀπὸ[4]	ἀπὸ	ἀπό	ἀπό		n
