subref	form	norm	lemma	tag	curated
1.1@1	1	1			n
1.1@I	I	i			n
1.1@1[2]	1	1			n
1.1@Εὔδιος	Εὔδιος	εὔδιος	εὔδιος		n
1.1@Φιλοσκάφῳ	Φιλοσκάφῳ	φιλοσκάφῳ			n
1.1@Χρηστὴν	Χρηστὴν	χρηστήν			n
1.1@ἡμῖν	ἡμῖν	ἡμῖν			n
1.1@ἡ[2]	ἡ	ἡ	ὁ		n
1.1@θάλαττα	θάλαττα	θάλαττα	θάλασσα		n
1.1@τὸ	τὸ	τό	ὁ		n
1.1@τήμερον	τήμερον	τήμερον	σήμερον		n
1.1@εἶναι	εἶναι	εἶναι	εἰμί		n
1.1@τὴν[2]	τὴν	τήν	ὁ		n
1.1@γαλήνην	γαλήνην	γαλήνην	γαλήνη		n
1.1@ἐστόρεσεν	ἐστόρεσεν	ἐστόρεσεν	στόρνυμι		n
1.1@ὡς	ὡς	ὡς	ὡς		n
1.1@γὰρ	γὰρ	γάρ	γάρ		n
1.1@τρίτην	τρίτην	τρίτην	τρίτος		n
1.1@ταύτην	ταύτην	ταύτην	οὗτος		n
1.1@εἶχεν	εἶχεν	εἶχεν	ἔχω		n
1.1@ὁ	ὁ	ὁ	ὁ		n
1.1@χειμὼν	χειμὼν	χειμών	χειμών		n
1.1@ἡμέραν	ἡμέραν	ἡμέραν	ἡμέρα		n
1.1@καὶ	καὶ	καί	καί		n
1.1@λάβρως	λάβρως	λάβρως	λάβρος		n
1.1@κατὰ	κατὰ	κατά	κατά		n
1.1@τοῦ	τοῦ	τοῦ	ὁ		n
1.1@πελάγους	πελάγους	πελάγους	πέλαγος		n
1.1@ἐπέπνεον	ἐπέπνεον	ἐπέπνεον			n
1.1@ἐκ	ἐκ	ἐκ	ἐκ		n
1.1@τῶν	τῶν	τῶν	ὁ		n
1.1@ἀκρωτηρίων	ἀκρωτηρίων	ἀκρωτηρίων			n
1.1@οἱ	οἱ	οἱ	ὁ		n
1.1@βορεῖς	βορεῖς	βορεῖς			n
1.1@καὶ[2]	καὶ	καί	καί		n
1.1@ἐπεφρίκει	ἐπεφρίκει	ἐπεφρίκει			n
1.1@μὲν	μὲν	μέν	μέν		n
1.1@ὁ[2]	ὁ	ὁ	ὁ		n
1.1@πόντος	πόντος	πόντος	πόντος		n
1.1@μελαινόμενος	μελαινόμενος	μελαινόμενος			n
1.1@τοῦ[2]	τοῦ	τοῦ	ὁ		n
1.1@ὕδατος	ὕδατος	ὕδατος	ὕδωρ		n
1.1@δὲ	δὲ	δέ	δέ		n
1.1@ἀφρὸς	ἀφρὸς	ἀφρός	ἀφρός		n
1.1@εξηνθήκει	εξηνθήκει	εξηνθήκει			n
1.1@πανταχοῦ	πανταχοῦ	πανταχοῦ	πανταχοῦ		n
1.1@τῆς	τῆς	τῆς	ὁ		n
1.1@θαλάσσης	θαλάσσης	θαλάσσης	θάλασσα		n
1.1@ἐπʼ	ἐπʼ	ἐπʼ			n
1.1@ἀλλήλων	ἀλλήλων	ἀλλήλων	ἀλλήλων		n
1.1@ἐπικλωμένων	ἐπικλωμένων	ἐπικλωμένων	ἐπικλάω		n
1.1@τῶν[2]	τῶν	τῶν	ὁ		n
1.1@κυμάτων	κυμάτων	κυμάτων	κῦμα		n
1.1@τὰ[2]	τὰ	τά	ὁ		n
1.1@μὲν[2]	μὲν	μέν	μέν		n
1.1@γὰρ[2]	γὰρ	γάρ	γάρ		n
1.1@ταῖς	ταῖς	ταῖς	ὁ		n
1.1@πέτρταις	πέτρταις	πέτρταις			n
1.1@προσηράσσετο	προσηράσσετο	προσηράσσετο			n
1.1@τὰ[3]	τὰ	τά	ὁ		n
1.1@δὲ[2]	δὲ	δέ	δέ		n
1.1@εἴσω	εἴσω	εἴσω	εἴσω		n
1.1@ἀνοιδοῦντα	ἀνοιδοῦντα	ἀνοιδοῦντα			n
1.1@ἐρρήγνυτο	ἐρρήγνυτο	ἐρρήγνυτο	ῥήγνυμι		n
1.1@ἀεργία	ἀεργία	ἀεργία	ἀεργία		n
1.1@παντελὴς	παντελὴς	παντελής	παντελής		n
1.1@ἦν	ἦν	ἦν	εἰμί		n
1.1@καὶ[3]	καὶ	καί	καί		n
1.1@τὰ[4]	τὰ	τά	ὁ		n
1.1@ἐπὶ	ἐπὶ	ἐπί	ἐπί		n
1.1@ταῖς[2]	ταῖς	ταῖς	ὁ		n
1.1@ᾐόσι	ᾐόσι	ᾐόσι			n
1.1@καταλαβόντες	καταλαβόντες	καταλαβόντες	καταλαμβάνω		n
1.1@καλύβια	καλύβια	καλύβια			n
1.1@ὀλίγα	ὀλίγα	ὀλίγα	ὀλίγος		n
1.1@ξυλισάμενοι	ξυλισάμενοι	ξυλισάμενοι			n
1.1@κομμάτια	κομμάτια	κομμάτια			n
1.1@ὅσα	ὅσα	ὅσα	ὅσος		n
1.1@οἱ[2]	οἱ	οἱ	ὁ		n
1.1@ναυπηγοὶ	ναυπηγοὶ	ναυπηγοί			n
1.1@πρῴην	πρῴην	πρῴην	πρώην		n
1.1@ἐκ[2]	ἐκ	ἐκ	ἐκ		n
1.1@τῶν[3]	τῶν	τῶν	ὁ		n
1.1@δρυῶν	δρυῶν	δρυῶν			n
1.1@ἃς	ἃς	ἅς	ὅς		n
1.1@ἐξέτεμον	ἐξέτεμον	ἐξέτεμον			n
1.1@ἀπέλιπον	ἀπέλιπον	ἀπέλιπον	ἀπολείπω		n
1.1@ἐκ[3]	ἐκ	ἐκ	ἐκ		n
1.1@τούτων	τούτων	τούτων	οὗτος		n
1.1@πῦρ	πῦρ	πῦρ	πῦρ		n
1.1@ἀνάψαν-	ἀνάψαν-	ἀνάψαν-			n
1.1@x	x	x			n
1.1@Harl	Harl	harl			n
1.1@Ven	Ven	ven			n
1.1@Neap	Neap	neap			n
1.1@b	b	b			n
1.1@N[2]	N	n			n
1.1@x1	x1	x1			n
1.1@Γ	Γ	γ			n
1.1@Vat	Vat	vat			n
1.1@1[4]	1	1			n
1.1@x[3]	x	x			n
1.1@Vat[2]	Vat	vat			n
1.1@2	2	2			n
1.1@Flor	Flor	flor			n
1.1@ΠΔ	ΠΔ	πδ			n
1.1@2[2]	2	2			n
1.1@χρηστὴν	χρηστὴν	χρηστήν			n
1.1@χρηστή	χρηστή	χρηστή			n
1.1@γε	γε	γέ			n
1.1@Reisk	Reisk	reisk			n
