subref	form	norm	lemma	tag	curated
preface@In	In	in			n
preface@ood	ood	ood			n
preface@Vatic	Vatic	vatic			n
preface@997	997	997			n
preface@nunc	nunc	nunc			n
preface@Paris	Paris	paris			n
preface@suppl	suppl	suppl			n
preface@gr	gr	gr			n
preface@352	352	352			n
preface@saec	saec	saec			n
preface@VIII	VIII	viii			n
preface@et	et	et			n
preface@depeidito	depeidito	depeidito			n
preface@gemello	gemello	gemello			n
preface@codice	codice	codice			n
preface@unde	unde	unde			n
preface@nonnulli	nonnulli	nonnulli			n
preface@alii	alii	alii			n
preface@sunt	sunt	sunt			n
preface@descripti	descripti	descripti			n
preface@sub	sub	sub			n
preface@titulo	titulo	titulo			n
preface@ἐκ	ἐκ	ἐκ	ἐκ		n
preface@τῶν	τῶν	τῶν	ὁ		n
preface@Ἡρακλείδου	Ἡρακλείδου	ἡρακλείδου	Ἡρακλείδης		n
preface@περὶ	περὶ	περί	περί		n
preface@πολιτείας	πολιτείας	πολιτείας	πολιτεία		n
preface@Ἀθηναίων	Ἀθηναίων	ἀθηναίων	Ἀθήναιος		n
preface@itemque	itemque	itemque			n
preface@de[4]	de	de			n
preface@ceterarum	ceterarum	ceterarum			n
preface@nationum	nationum	nationum			n
preface@rebus	rebus	rebus			n
preface@publicis	publicis	publicis			n
preface@servata	servata	servata			n
preface@est	est	est			n
preface@epitoma	epitoma	epitoma			n
preface@operis	operis	operis			n
preface@quod	quod	quod			n
preface@Aristotelicum	Aristotelicum	aristotelicum			n
preface@hoc	hoc	hoc			n
preface@verbo	verbo	verbo			n
preface@tenus	tenus	tenus			n
preface@secutum	secutum	secutum			n
preface@est[2]	est	est			n
preface@nisi	nisi	nisi			n
preface@id[2]	id	id			n
preface@ipsum	ipsum	ipsum			n
preface@fuit	fuit	fuit			n
preface@aut	aut	aut			n
preface@enim	enim	enim			n
preface@Heraclides	Heraclides	heraclides			n
preface@ille	ille	ille			n
preface@librum	librum	librum			n
preface@Aristotelicum[2]	Aristotelicum	aristotelicum			n
preface@ipse	ipse	ipse			n
preface@excerpsit	excerpsit	excerpsit			n
preface@aut[2]	aut	aut			n
preface@epitomator	epitomator	epitomator			n
preface@Heraclidi	Heraclidi	heraclidi			n
preface@sive	sive	sive			n
preface@Pontico	Pontico	pontico			n
preface@sive[2]	sive	sive			n
preface@alii[2]	alii	alii			n
preface@opus	opus	opus			n
preface@tribuit	tribuit	tribuit			n
preface@quod[2]	quod	quod			n
preface@sub[2]	sub	sub			n
preface@Aristotelis	Aristotelis	aristotelis			n
preface@nomine	nomine	nomine			n
preface@cognovimus	cognovimus	cognovimus			n
preface@epitomam	epitomam	epitomam			n
preface@ediderunt	ediderunt	ediderunt			n
preface@C	C	c			n
preface@Peruscus	Peruscus	peruscus			n
preface@a[17]	a	a			n
preface@1545	1545	1545			n
preface@F	F	f			n
preface@G	G	g			n
preface@Schneidewin	Schneidewin	schneidewin			n
preface@1847	1847	1847			n
preface@C[2]	C	c			n
preface@Mueller	Mueller	mueller			n
preface@Frag	Frag	frag			n
preface@Hist	Hist	hist			n
preface@Graec	Graec	graec			n
preface@II[3]	II	ii			n
preface@208	208	208			n
preface@1848	1848	1848			n
preface@denique	denique	denique			n
preface@V[3]	V	v			n
preface@Rose	Rose	rose			n
preface@quem	quem	quem			n
preface@ed[2]	ed	ed			n
preface@Teub	Teub	teub			n
preface@1886	1886	1886			n
preface@plerumque	plerumque	plerumque			n
preface@secutus	secutus	secutus			n
preface@sum[2]	sum	sum			n
preface@clausulas	clausulas	clausulas			n
preface@disposuerunt	disposuerunt	disposuerunt			n
preface@K-W	K-W	k-w			n
1@1	1	1			n
1@ἀθηναῖοι	ἀθηναῖοι	ἀθηναῖοι			n
1@τὸ	τὸ	τό	ὁ		n
1@μὲν	μὲν	μέν	μέν		n
1@ἴε	ἴε	ἴε	εἶμι		n
1@ἀρχῆς	ἀρχῆς	ἀρχῆς	ἀρχή		n
1@ἐχρῶντο	ἐχρῶντο	ἐχρῶντο	χράω2		n
1@βασιλείᾳ	βασιλείᾳ	βασιλείᾳ	βασίλεια		n
1@συνοικἦσαντος	συνοικἦσαντος	συνοικἦσαντος			n
1@δὲ	δὲ	δέ	δέ		n
1@Ἴωνος	Ἴωνος	ἴωνος	Ἴων		n
1@αὐτοὺς	αὐτοὺς	αὐτούς	αὐτός		n
1@τότε	τότε	τότε	τότε		n
1@τρῶτον	τρῶτον	τρῶτον			n
