subref	form	norm	lemma	tag	curated
106.1@Factum	Factum	factum			n
106.1@est	est	est			n
106.1@autem	autem	autem			n
106.1@cum	cum	cum			n
106.1@esset	esset	esset			n
106.1@Lamech	Lamech	lamech			n
106.1@annorum	annorum	annorum			n
106.1@tricentorum	tricentorum	tricentorum			n
106.1@quinquagenta	quinquagenta	quinquagenta			n
106.1@natus	natus	natus			n
106.1@est[2]	est	est			n
106.1@ei	ei	ei			n
106.1@filius	filius	filius			n
106.2@cui	cui	cui			n
106.2@oculi	oculi	oculi			n
106.2@sunt	sunt	sunt			n
106.2@sicut	sicut	sicut			n
106.2@radi	radi	radi			n
106.2@solis	solis	solis			n
106.2@capilli	capilli	capilli			n
106.2@autem	autem	autem			n
106.2@eius	eius	eius			n
106.2@candidiores	candidiores	candidiores			n
106.2@in	in	in			n
106.2@septies	septies	septies			n
106.2@nive	nive	nive			n
106.2@corpori	corpori	corpori			n
106.2@autem[2]	autem	autem			n
106.2@eius[2]	eius	eius			n
106.2@nemo	nemo	nemo			n
106.2@homi-num	homi-num	homi-num			n
106.2@potest	potest	potest			n
106.2@intueri	intueri	intueri			n
106.3@et	et	et			n
106.3@surrexit	surrexit	surrexit			n
106.3@inter	inter	inter			n
106.3@manus	manus	manus			n
106.3@obstetricis	obstetricis	obstetricis			n
106.3@suae	suae	suae			n
106.3@et[3]	et	et			n
106.3@adoravit	adoravit	adoravit			n
106.3@dominum	dominum	dominum			n
106.3@viventem	viventem	viventem			n
106.3@in[3]	in	in			n
106.3@secula	secula	secula			n
106.3@et[4]	et	et			n
106.3@laudavit	laudavit	laudavit			n
106.4@et	et	et			n
106.4@timuit	timuit	timuit			n
106.4@Lamech	Lamech	lamech			n
106.6@ne	ne	ne			n
106.6@uon	uon	uon			n
106.6@ex	ex	ex			n
106.6@eo	eo	eo			n
106.6@natus	natus	natus			n
106.6@esset	esset	esset			n
106.6@nisi	nisi	nisi			n
106.6@nontius	nontius	nontius			n
106.6@dei	dei	dei			n
106.6@et[2]	et	et			n
106.6@venit	venit	venit			n
106.6@ad	ad	ad			n
106.6@patrem	patrem	patrem			n
106.6@suum	suum	suum			n
106.6@Mathu-salem	Mathu-salem	mathu-salem			n
106.6@et[3]	et	et			n
106.6@narravit	narravit	narravit			n
106.6@illi	illi	illi			n
106.6@omnia	omnia	omnia			n
106.7@dixit	dixit	dixit			n
106.7@Mathusalem	Mathusalem	mathusalem			n
106.7@Ego	Ego	ego			n
106.7@autem	autem	autem			n
106.7@non	non	non			n
106.7@possum	possum	possum			n
106.7@scire	scire	scire			n
106.7@nisi	nisi	nisi			n
106.7@eamus	eamus	eamus			n
106.7@ad	ad	ad			n
106.7@patrem	patrem	patrem			n
106.7@nostrum	nostrum	nostrum			n
106.7@Enoc	Enoc	enoc			n
106.8@quum	quum	quum			n
106.8@autem	autem	autem			n
106.8@vidit	vidit	vidit			n
106.8@Enoc	Enoc	enoc			n
106.8@filium	filium	filium			n
106.8@suum	suum	suum			n
106.8@Mathusalem	Mathusalem	mathusalem			n
106.8@venientem	venientem	venientem			n
106.8@ad	ad	ad			n
106.8@se	se	se			n
106.8@et	et	et			n
106.8@ait	ait	ait			n
106.8@Quid	Quid	quid			n
106.8@est	est	est			n
106.8@quod	quod	quod			n
106.8@venisti	venisti	venisti			n
106.8@ad[2]	ad	ad			n
106.8@me	me	me			n
106.8@nate	nate	nate			n
106.10@Dixit	Dixit	dixit			n
106.10@quod	quod	quod			n
106.10@natus	natus	natus			n
106.10@est	est	est			n
106.10@filius	filius	filius			n
106.10@filio	filio	filio			n
106.10@suo	suo	suo			n
106.10@nomine	nomine	nomine			n
106.10@Lamech	Lamech	lamech			n
106.10@cui	cui	cui			n
106.10@oculi	oculi	oculi			n
106.10@sunt	sunt	sunt			n
106.10@sicut	sicut	sicut			n
106.10@radi	radi	radi			n
106.10@solis	solis	solis			n
106.10@capilli	capilli	capilli			n
106.10@eius	eius	eius			n
106.10@candidiores	candidiores	candidiores			n
106.10@septies	septies	septies			n
106.10@nive	nive	nive			n
106.10@corpori	corpori	corpori			n
106.10@autem	autem	autem			n
106.10@eius[2]	eius	eius			n
106.10@nemo	nemo	nemo			n
106.10@hominum	hominum	hominum			n
106.10@potest	potest	potest			n
106.10@intueri	intueri	intueri			n
106.11@et	et	et			n
