subref	form	norm	lemma	tag	curated
1@Mai	Mai	mai			n
1@ὥσπερ	ὥσπερ	ὥσπερ			n
1@δὲ	δὲ	δέ			n
1@ἐπὶ	ἐπὶ	ἐπί			n
1@τοῦ	τοῦ	τοῦ			n
1@καθ	καθ	καθ			n
1@ἡμᾶς	ἡμᾶς	ἡμᾶς			n
1@παραδείγματος	παραδείγματος	παραδείγματος			n
1@ὁ	ὁ	ὁ			n
1@μὲν	μὲν	μέν			n
1@ἀόρατος	ἀόρατος	ἀόρατος			n
1@καὶ	καὶ	καί			n
1@ἀφανὴς	ἀφανὴς	ἀφανής			n
1@ἐν	ἐν	ἐν			n
1@ἡμῖν	ἡμῖν	ἡμῖν			n
1@νοῦς	νοῦς	νοῦς			n
1@ὃν	ὃν	ὅν			n
1@ὅστις	ὅστις	ὅστις			n
1@ποτὲ	ποτὲ	ποτέ			n
1@καὶ[2]	καὶ	καί			n
1@ὁποῖος	ὁποῖος	ὁποῖος			n
1@ὢν	ὢν	ὤν			n
1@τὴν	τὴν	τήν			n
1@οὐσίαν	οὐσίαν	οὐσίαν			n
1@ὑπάρχει	ὑπάρχει	ὑπάρχει			n
1@οὐδεὶς	οὐδεὶς	οὐδείς			n
1@πώποτε	πώποτε	πώποτε			n
1@ἀνθρώπων	ἀνθρώπων	ἀνθρώπων			n
1@ἔγνω	ἔγνω	ἔγνω			n
1@βασιλεὺς	βασιλεὺς	βασιλεύς			n
1@δ[4]	δ	δ			n
1@οἶα	οἶα	οἶα			n
1@ἐν[2]	ἐν	ἐν			n
1@ἀπορρήτοις	ἀπορρήτοις	ἀπορρήτοις			n
1@τοῖς	τοῖς	τοῖς			n
1@αὐτοῦ	αὐτοῦ	αὐτοῦ			n
1@ταμείοις	ταμείοις	ταμείοις			n
1@καθιδρυμένος	καθιδρυμένος	καθιδρυμένος			n
1@τὰ	τὰ	τά			n
1@πρακτέα	πρακτέα	πρακτέα			n
1@βουλεύεται	βουλεύεται	βουλεύεται			n
1@λόγος	λόγος	λόγος			n
1@δ[6]	δ	δ			n
1@ἐξ	ἐξ	ἐκ			n
1@αὐτοῦ[2]	αὐτοῦ	αὐτοῦ			n
1@πρόεισι	πρόεισι	πρόεισι			n
1@μονογενής	μονογενής	μονογενής			n
1@οἶα[2]	οἶα	οἶα			n
1@πατρὸς	πατρὸς	πατρός			n
1@ἐξ[2]	ἐξ	ἐκ			n
1@ἀδύτων	ἀδύτων	ἀδύτων			n
1@μυχῶν	μυχῶν	μυχῶν			n
1@γεγεννημένος	γεγεννημένος	γεγεννημένος			n
1@ὃς	ὃς	ὅς			n
1@δὴ	δὴ	δή			n
1@καὶ[3]	καὶ	καί			n
1@πρῶτος	πρῶτος	πρῶτος			n
1@τῶν	τῶν	τῶν			n
1@πατρικῶν	πατρικῶν	πατρικῶν			n
1@τοῖς[2]	τοῖς	τοῖς			n
1@πᾶσι	πᾶσι	πᾶσι			n
1@καθίοταται	καθίοταται	καθίοταται			n
1@νοημάτων	νοημάτων	νοημάτων			n
1@ἄγγελος	ἄγγελος	ἄγγελος			n
1@εἰς	εἰς	εἰς			n
1@φανερόν	φανερόν	φανερόν			n
1@τε[2]	τε	τέ			n
1@κηρύττει	κηρύττει	κηρύττει			n
1@τὰ[2]	τὰ	τά			n
1@ἐν[3]	ἐν	ἐν			n
1@ἀπορρήτοις[2]	ἀπορρήτοις	ἀπορρήτοις			n
1@τῴ	τῴ	τῴ			n
1@πατρὶ	πατρὶ	πατρί			n
1@βεβουλευμένα	βεβουλευμένα	βεβουλευμένα			n
1@ἔργοις	ἔργοις	ἔργοις			n
1@τε[4]	τε	τέ			n
1@ἐπιτελεῖ	ἐπιτελεῖ	ἐπιτελεῖ			n
1@τὰ[3]	τὰ	τά			n
1@βουλεύματα	βουλεύματα	βουλεύματα			n
1@προίων	προίων	προίων			n
1@εἰς[2]	εἰς	εἰς			n
1@τὰς	τὰς	τάς			n
1@πάντων	πάντων	πάντων			n
1@ἀκοάς	ἀκοάς	ἀκοάς			n
1@εἶθ	εἶθ	εἶθ			n
1@οἱ	οἱ	οἱ			n
1@μὲν[2]	μὲν	μέν			n
1@τῆς	τῆς	τῆς			n
1@ἐκ	ἐκ	ἐκ			n
1@τοῦ[4]	τοῦ	τοῦ			n
1@λόγου	λόγου	λόγου			n
1@μεταλαμβάνουσιν	μεταλαμβάνουσιν	μεταλαμβάνουσιν			n
1@ὠφελείας	ὠφελείας	ὠφελείας			n
1@τὸν	τὸν	τόν			n
1@δ[9]	δ	δ			n
1@ἀφανῆ	ἀφανῆ	ἀφανῆ			n
1@καὶ[4]	καὶ	καί			n
1@ἀόρατον	ἀόρατον	ἀόρατον			n
1@νοῦν	νοῦν	νοῦν			n
1@τὸν[2]	τὸν	τόν			n
1@τοῦ[5]	τοῦ	τοῦ			n
1@λόγου[2]	λόγου	λόγου			n
1@πατέρα	πατέρα	πατέρα			n
1@οὐδεὶς[2]	οὐδεὶς	οὐδείς			n
1@πώποτε[2]	πώποτε	πώποτε			n
1@εἶδεν	εἶδεν	εἶδεν			n
1@ὀφθαλμοῖς	ὀφθαλμοῖς	ὀφθαλμοῖς			n
1@κατὰ	κατὰ	κατά			n
1@ταὐτὰ	ταὐτὰ	ταὐτά			n
