subref	form	norm	lemma	tag	curated
1@ΑΡΤΕΜΙΣ	ΑΡΤΕΜΙΣ	αρτεμις			n
1@Αὐτὸ	Αὐτὸ	αὐτό			n
1@τοῦτο	τοῦτο	τοῦτο	οὗτος		n
1@τὸ[2]	τὸ	τό	ὁ		n
1@νῦν	νῦν	νῦν	νῦν		n
1@ἐμὲ	ἐμὲ	ἐμέ			n
1@καὶ	καὶ	καί	καί		n
1@ζῆν	ζῆν	ζῆν	ζήω		n
1@καὶ[2]	καὶ	καί	καί		n
1@λέγειν	λέγειν	λέγειν	λέγω		n
1@καὶ[3]	καὶ	καί	καί		n
1@R	R	r			n
1@225	225	225			n
1@ὁρᾶν	ὁρᾶν	ὁρᾶν	ὁράω		n
1@τε	τε	τέ	τε		n
1@ὑμᾶς	ὑμᾶς	ὑμᾶς			n
1@καὶ[4]	καὶ	καί	καί		n
1@ὑφ	ὑφ	ὑφ			n
1@ὑμῶν	ὑμῶν	ὑμῶν	ὑμός		n
1@ὁρᾶσθαι	ὁρᾶσθαι	ὁρᾶσθαι	ὁράω		n
1@παρὰ	παρὰ	παρά	παρά		n
1@τῆς	τῆς	τῆς	ὁ		n
1@μιδός	μιδός	μιδός			n
1@μοι	μοι	μοι	ἐγώ		n
1@σαφέστατα	σαφέστατα	σαφέστατα	σαφής		n
1@ὦ	ὦ	ὦ	ὦ		n
1@ἄνδρες	ἄνδρες	ἄνδρες	ἀνήρ		n
1@ἥ	ἥ	ἥ	ὁ		n
1@μ[6]	μ	μ			n
1@ἐξ	ἐξ	ἐκ	ἐκ		n
1@αὐτῶν	αὐτῶν	αὐτῶν	αὐτός		n
1@τῶν[2]	τῶν	τῶν	ὁ		n
1@τοῦ[2]	τοῦ	τοῦ	ὁ		n
1@θανάτου	θανάτου	θανάτου	θάνατος		n
1@πυλῶν	πυλῶν	πυλῶν	πύλη		n
1@ἐρρύσατο	ἐρρύσατο	ἐρρύσατο	ἐρύω2		n
1@καὶ[5]	καὶ	καί	καί		n
1@διέσωσεν	διέσωσεν	διέσωσεν	διασῴζω		n
1@οὐ	οὐ	οὐ	οὐ		n
1@δὴ	δὴ	δή	δή		n
1@ἀχάριστον	ἀχάριστον	ἀχάριστον	ἀχάριστος		n
1@χρὴ	χρὴ	χρή	χρή		n
1@γενέσθαι	γενέσθαι	γενέσθαι	γίγνομαι		n
1@περὶ	περὶ	περί	περί		n
1@τὴν	τὴν	τήν	ὁ		n
1@ταῦτα	ταῦτα	ταῦτα	οὗτος		n
1@δοῦσαν	δοῦσαν	δοῦσαν	δέω		n
1@θεόν	θεόν	θεόν	θεός		n
1@ἀλλὰ	ἀλλὰ	ἀλλά	ἀλλά		n
1@δίκαιον	δίκαιον	δίκαιον	δίκαιος		n
1@δεικνύμενον	δεικνύμενον	δεικνύμενον	δείκνυμι		n
1@τηρεῖν	τηρεῖν	τηρεῖν	τηρέω		n
1@τὸν	τὸν	τόν	ὁ		n
1@περὶ[2]	περὶ	περί	περί		n
1@ταῦτα[2]	ταῦτα	ταῦτα	οὗτος		n
1@νόμον	νόμον	νόμον	νόμος		n
2@ὁ	ὁ	ὁ	ὁ		n
2@δὲ	δὲ	δέ	δέ		n
2@νόμος	νόμος	νόμος	νόμος		n
2@ἐστὶν	ἐστὶν	ἐστίν	εἰμί		n
2@εὖ	εὖ	εὖ	εὖ		n
2@παθόντα	παθόντα	παθόντα	πάσχω		n
2@ὑπό	ὑπό	ὑπό	ὑπό		n
2@του	του	του			n
2@τῶν	τῶν	τῶν	ὁ		n
2@τόνων	τόνων	τόνων	τόνος		n
2@τιμᾶν	τιμᾶν	τιμᾶν	τιμάω		n
2@τοῦτον	τοῦτον	τοῦτον	οὗτος		n
2@τὸν	τὸν	τόν	ὁ		n
2@εὖ[2]	εὖ	εὖ	εὖ		n
2@πεποιηκότα	πεποιηκότα	πεποιηκότα	ποιέω		n
2@τιμᾷ	τιμᾷ	τιμᾷ	τιμάω		n
2@δὲ[2]	δὲ	δέ	δέ		n
2@ὁ[2]	ὁ	ὁ	ὁ		n
2@μὲν	μὲν	μέν	μέν		n
2@κρατῆρας	κρατῆρας	κρατῆρας	κρατήρ		n
2@ἀνατιθείς	ἀνατιθείς	ἀνατιθείς			n
2@ὁ[3]	ὁ	ὁ	ὁ		n
2@δὲ[3]	δὲ	δέ	δέ		n
2@χρυσίδας	χρυσίδας	χρυσίδας			n
2@ὁ[4]	ὁ	ὁ	ὁ		n
2@δὲ[4]	δὲ	δέ	δέ		n
2@ἕτερόν	ἕτερόν	ἕτερον			n
2@τι[4]	τι	τὶ			n
2@σκεῦος	σκεῦος	σκεῦος			n
2@ὁ[5]	ὁ	ὁ	ὁ		n
2@δὲ[5]	δὲ	δέ	δέ		n
2@στέφανον	στέφανον	στέφανον	στέφανος		n
2@ποιμὴν	ποιμὴν	ποιμήν	ποιμήν		n
2@δὲ[6]	δὲ	δέ	δέ		n
2@αὐλὸν	αὐλὸν	αὐλόν	αὐλός		n
2@καὶ	καὶ	καί	καί		n
2@θηρα-	θηρα-	θηρα-			n
2@τὴς	τὴς	τής			n
2@θηρίου	θηρίου	θηρίου	θηρίον		n
2@κεφαλὴν	κεφαλὴν	κεφαλήν	κεφαλή		n
2@καὶ[2]	καὶ	καί	καί		n
2@ποιητὴς	ποιητὴς	ποιητής	ποιητής		n
2@ὕμνον	ὕμνον	ὕμνον	ὕμνος		n
2@ἐν	ἐν	ἐν	ἐν		n
2@μέτρῳ	μέτρῳ	μέτρῳ	μέτρον		n
2@καὶ[3]	καὶ	καί	καί		n
2@ῥητορικὸς	ῥητορικὸς	ῥητορικός	ῥητορικός		n
2@ὕμνον[2]	ὕμνον	ὕμνον	ὕμνος		n
2@ἄνευ	ἄνευ	ἄνευ	ἄνευ		n
2@μέτρου	μέτρου	μέτρου			n
2@δοκεῖ	δοκεῖ	δοκεῖ	δοκέω		n
2@δέ	δέ	δέ	δέ		n
2@μοι	μοι	μοι			n
2@παρὰ	παρὰ	παρά	παρά		n
2@τοῖς	τοῖς	τοῖς	ὁ		n
2@C	C	c			n
2@Codex	Codex	codex			n
2@Chisianus	Chisianus	chisianus			n
2@Α	Α	α			n
2@Codex[2]	Codex	codex			n
2@Monacensis	Monacensis	monacensis			n
2@gr	gr	gr			n
2@483	483	483			n
2@Augustanus	Augustanus	augustanus			n
2@P	P	p			n
2@Codex[3]	Codex	codex			n
2@Palatinus	Palatinus	palatinus			n
2@gr[2]	gr	gr			n
2@282	282	282			n
2@V	V	v			n
2@Codex[4]	Codex	codex			n
2@Vindobonensis	Vindobonensis	vindobonensis			n
2@U	U	u			n
2@Codex[5]	Codex	codex			n
2@Urbinas	Urbinas	urbinas			n
2@gr[3]	gr	gr			n
2@126	126	126			n
2@I	I	i			n
2@Codex[6]	Codex	codex			n
2@Marcianus	Marcianus	marcianus			n
2@append	append	append			n
2@XCI	XCI	xci			n
2@2[4]	2	2			n
2@Β	Β	β			n
2@Codex[7]	Codex	codex			n
2@Barberinus	Barberinus	barberinus			n
2@II	II	ii			n
2@41	41	41			n
2@Μ	Μ	μ			n
2@Codex[8]	Codex	codex			n
2@Marcianus[2]	Marcianus	marcianus			n
2@gr[4]	gr	gr			n
2@437	437	437			n
2@Ferr	Ferr	ferr			n
2@editio	editio	editio			n
2@Ferrariensis	Ferrariensis	ferrariensis			n
2@Ferr[3]	Ferr	ferr			n
2@in[5]	in	in			n
2@marg	marg	marg			n
2@lectiones	lectiones	lectiones			n
2@margini	margini	margini			n
2@exemplaris	exemplaris	exemplaris			n
2@mei	mei	mei			n
2@editonis	editonis	editonis			n
2@Ferrariensis[2]	Ferrariensis	ferrariensis			n
2@adscriptae	adscriptae	adscriptae			n
2@Mor	Mor	mor			n
2@editio[2]	editio	editio			n
2@Morelliana	Morelliana	morelliana			n
2@Re	Re	re			n
2@Reiskius	Reiskius	reiskius			n
2@5	5	5			n
2@II[2]	II	ii			n
2@ο[18]	ο	ο			n
2@290	290	290			n
2@ε[10]	ε	ε			n
2@646	646	646			n
2@2[6]	2	2			n
2@τό[2]	τό	τό			n
2@om	om	om			n
2@U[3]	U	u			n
2@3[3]	3	3			n
2@ἐφ	ἐφ	ἐφ			n
2@Ι	Ι	ι			n
2@4[5]	4	4			n
2@ἥ	ἥ	ἥ			n
2@μ[11]	μ	μ			n
2@ἐξ	ἐξ	ἐκ			n
2@in[7]	in	in			n
2@ras	ras	ras			n
2@δὴ	δὴ	δή			n
2@καὶ[4]	καὶ	καί			n
2@ἀχάριστον	ἀχάριστον	ἀχάριστον			n
