subref	form	norm	lemma	tag	curated
1@Καὶ	Καὶ	καί			n
1@σὺ	σὺ	σύ			n
1@καρδία	καρδία	καρδία			n
1@σαλεύθητι	σαλεύθητι	σαλεύθητι			n
1@καὶ	καὶ	καί			n
1@σείσθητι	σείσθητι	σείσθητι			n
1@πρὸς	πρὸς	πρός			n
1@τὴν	τὴν	τήν			n
1@τοῦ	τοῦ	τοῦ			n
1@βαβυλωνίου	βαβυλωνίου	βαβυλωνίου			n
1@καρδίαν	καρδίαν	καρδίαν			n
1@φησὶν	φησὶν	φησίν			n
1@ὅτι	ὅτι	ὅτι			n
1@πολλοὶ	πολλοὶ	πολλοί			n
1@ὑπὸ	ὑπὸ	ὑπό			n
1@σοῦ	σοῦ	σοῦ			n
1@ἐσαλεύθησαν	ἐσαλεύθησαν	ἐσαλεύθησαν			n
1@πρὶν	πρὶν	πρίν			n
1@νῦν	νῦν	νῦν			n
1@οὖν	οὖν	οὖν			n
1@καὶ[2]	καὶ	καί			n
1@σὺ[2]	σὺ	σύ			n
1@ἡ	ἡ	ἡ			n
1@μηδέποτε	μηδέποτε	μηδέποτε			n
1@ἐλπίσασα	ἐλπίσασα	ἐλπίσασα			n
1@σαλευθῆναι	σαλευθῆναι	σαλευθῆναι			n
1@καὶ[3]	καὶ	καί			n
1@μεταπεσεῖν	μεταπεσεῖν	μεταπεσεῖν			n
1@ἀπὸ	ἀπὸ	ἀπό			n
1@τῆς	τῆς	τῆς			n
1@εὐημερίας	εὐημερίας	εὐημερίας			n
1@ἀλλ	ἀλλ	ἀλλ			n
1@ἀκράδαντος	ἀκράδαντος	ἀκράδαντος			n
1@ἐσαεὶ	ἐσαεὶ	ἐσαεί			n
1@στήσεσθαι	στήσεσθαι	στήσεσθαι			n
1@καὶ[4]	καὶ	καί			n
1@διὰ	διὰ	διά			n
1@τοῦτο	τοῦτο	τοῦτο			n
1@σκληρυνομένη	σκληρυνομένη	σκληρυνομένη			n
1@σαλεύθητι[2]	σαλεύθητι	σαλεύθητι			n
1@τουτέστι	τουτέστι	τουτέστι			n
1@σύνες	σύνες	σύνες			n
1@ὅτι[2]	ὅτι	ὅτι			n
1@μετέπεσέ	μετέπεσέ	μετέπεσε			n
1@σοι	σοι	σοι			n
1@ἡ[2]	ἡ	ἡ			n
1@εὐημερία[2]	εὐημερία	εὐημερία			n
1@καὶ[5]	καὶ	καί			n
1@αἴσθησιν	αἴσθησιν	αἴσθησιν			n
1@λαβοῦσα	λαβοῦσα	λαβοῦσα			n
1@τῶν	τῶν	τῶν			n
1@εἰς	εἰς	εἰς			n
1@σὲ	σὲ	σέ			n
1@γενομένων	γενομένων	γενομένων			n
1@ἀπὸ[2]	ἀπὸ	ἀπό			n
1@τῆς[2]	τῆς	τῆς			n
1@ἐν	ἐν	ἐν			n
1@ἀλαζονείᾳ	ἀλαζονείᾳ	ἀλαζονείᾳ			n
1@στάσεως	στάσεως	στάσεως			n
1@σαλεύθητι[3]	σαλεύθητι	σαλεύθητι			n
1@καὶ[6]	καὶ	καί			n
1@σείσθητι[2]	σείσθητι	σείσθητι			n
1@τρόμον	τρόμον	τρόμον			n
1@τινὰ	τινὰ	τινά			n
1@παθοῦσα	παθοῦσα	παθοῦσα			n
1@καὶ[7]	καὶ	καί			n
1@λύπην	λύπην	λύπην			n
1@ἀναλαβοῦσα	ἀναλαβοῦσα	ἀναλαβοῦσα			n
1@καὶ[8]	καὶ	καί			n
1@μετανοίας	μετανοίας	μετανοίας			n
1@ἀρχήν	ἀρχήν	ἀρχήν			n
1@ὅτι[3]	ὅτι	ὅτι			n
1@δὲ	δὲ	δέ			n
1@πολλοὶ[2]	πολλοὶ	πολλοί			n
1@ἐν[2]	ἐν	ἐν			n
1@εὐθηνίαις	εὐθηνίαις	εὐθηνίαις			n
1@ὄντες	ὄντες	ὄντες			n
1@οἴονται	οἴονται	οἴονται			n
1@μηδέποτε[2]	μηδέποτε	μηδέποτε			n
1@σαλευθῆναι[2]	σαλευθῆναι	σαλευθῆναι			n
1@μαρτυρεῖ	μαρτυρεῖ	μαρτυρεῖ			n
1@δαυεὶδ	δαυεὶδ	δαυείδ			n
1@λέγων	λέγων	λέγων			n
1@Ἐγὼ	Ἐγὼ	ἐγώ			n
1@δὲ[2]	δὲ	δέ			n
1@εἶπα	εἶπα	εἶπα			n
1@ἐν[3]	ἐν	ἐν			n
1@τῆ[3]	τῆ	τῆ			n
1@εὐθηνίᾳ	εὐθηνίᾳ	εὐθηνίᾳ			n
1@μου	μου	μου			n
1@Οὐ	Οὐ	οὐ			n
1@μὴ	μὴ	μή			n
1@σαλευθῶ	σαλευθῶ	σαλευθῶ			n
1@ἐς	ἐς	ἐς			n
1@τὸν	τὸν	τόν			n
1@αἰῶνα	αἰῶνα	αἰῶνα			n
1@μὴ[2]	μὴ	μή			n
1@ἐννοήσας	ἐννοήσας	ἐννοήσας			n
1@ὅτι[4]	ὅτι	ὅτι			n
1@σὺ[3]	σὺ	σύ			n
1@τὴν[2]	τὴν	τήν			n
1@εὐπρέπειάν	εὐπρέπειάν	εὐπρέπειαν			n
1@μου[2]	μου	μου			n
1@καὶ[9]	καὶ	καί			n
1@περιφάνειαν	περιφάνειαν	περιφάνειαν			n
1@ἐνεδυνάμωσας	ἐνεδυνάμωσας	ἐνεδυνάμωσας			n
1@κοὶ	κοὶ	κοί			n
1@σταθηρὰν	σταθηρὰν	σταθηράν			n
1@τέως	τέως	τέως			n
1@εἶναι	εἶναι	εἶναι			n
1@πεποίηκας	πεποίηκας	πεποίηκας			n
1@οὐχ	οὐχ	οὐ			n
1@ὅτι[5]	ὅτι	ὅτι			n
1@ἐγὼ	ἐγὼ	ἐγώ			n
1@ἤμην	ἤμην	ἤμην			n
1@ἄξιος	ἄξιος	ἄξιος			n
1@ἀλλ[2]	ἀλλ	ἀλλ			n
1@ὅτι[6]	ὅτι	ὅτι			n
1@σὺ[4]	σὺ	σύ			n
1@ἠθέλησας	ἠθέλησας	ἠθέλησας			n
1@κύριε	κύριε	κύριε			n
1@γάρ	γάρ	γάρ			n
1@φησιν	φησιν	φησίν			n
1@ἐν[6]	ἐν	ἐν			n
1@τῷ	τῷ	τῷ			n
1@θελήματί	θελήματί	θελήματι			n
1@σου	σου	σου			n
1@παρέσχου	παρέσχου	παρέσχου			n
1@τῷ[2]	τῷ	τῷ			n
1@κάλλει	κάλλει	κάλλει			n
1@μου[3]	μου	μου			n
1@δύναμιν	δύναμιν	δύναμιν			n
1@ἀπέστρεψας	ἀπέστρεψας	ἀπέστρεψας			n
1@δὲ[3]	δὲ	δέ			n
1@τὸ[2]	τὸ	τό			n
