subref	form	norm	lemma	tag	curated
1@Τοῦ	Τοῦ	τοῦ			n
1@αὐτοῦ	αὐτοῦ	αὐτοῦ			n
1@περὶ	περὶ	περί			n
1@τῶν	τῶν	τῶν			n
1@Κυπρίων	Κυπρίων	κυπρίων			n
1@λεγομένων	λεγομένων	λεγομένων			n
1@ποιημάτων	ποιημάτων	ποιημάτων			n
1@Ἐπιβάλλει	Ἐπιβάλλει	ἐπιβάλλει			n
1@τούτοις	τούτοις	τούτοις			n
1@τὰ	τὰ	τά			n
1@λεγόμενα	λεγόμενα	λεγόμενα			n
1@Κύπρια	Κύπρια	κύπρια			n
1@ἐν	ἐν	ἐν			n
1@βιβλΐοις	βιβλΐοις	βιβλΐοις			n
1@φερόμενα	φερόμενα	φερόμενα			n
1@ἕνδεκα	ἕνδεκα	ἕνδεκα			n
1@ὧν	ὧν	ὧν			n
1@περὶ[2]	περὶ	περί			n
1@τῆς	τῆς	τῆς			n
1@γραφῆς	γραφῆς	γραφῆς			n
1@ὕστερον	ὕστερον	ὕστερον			n
1@ἐροῦμεν	ἐροῦμεν	ἐροῦμεν			n
1@ἵ̈να	ἵ̈να	ἵ̈να			n
1@μὴ	μὴ	μή			n
1@τὸν	τὸν	τόν			n
1@ἑξῆς	ἑξῆς	ἑξῆς			n
1@λόγον	λόγον	λόγον			n
1@νῦν	νῦν	νῦν			n
1@ἐμποδίζωμεν	ἐμποδίζωμεν	ἐμποδίζωμεν			n
1@τὰ[2]	τὰ	τά			n
1@δὲ	δὲ	δέ			n
1@περιέχοντά	περιέχοντά	περιέχοντα			n
1@ἐστὶ	ἐστὶ	ἐστί			n
1@ταῦτα	ταῦτα	ταῦτα			n
1@Ζεὺς	Ζεὺς	ζεύς			n
1@βουλεύεται	βουλεύεται	βουλεύεται			n
1@μετὰ	μετὰ	μετά			n
1@τῆς[2]	τῆς	τῆς			n
1@Θέτιδος	Θέτιδος	θέτιδος			n
1@περὶ[3]	περὶ	περί			n
1@τοῦ[2]	τοῦ	τοῦ			n
1@Τρωϊκοῦ	Τρωϊκοῦ	τρωϊκοῦ			n
1@πολέμου	πολέμου	πολέμου			n
1@παραγενομένη	παραγενομένη	παραγενομένη			n
1@δὲ[2]	δὲ	δέ			n
1@Ἔρις	Ἔρις	ἔρις			n
1@εὐωχουμένων	εὐωχουμένων	εὐωχουμένων			n
1@τῶν[2]	τῶν	τῶν			n
1@θεῶν	θεῶν	θεῶν			n
1@ἐν[2]	ἐν	ἐν			n
1@τοῖς	τοῖς	τοῖς			n
1@Πηλέως	Πηλέως	πηλέως			n
1@γάμοις	γάμοις	γάμοις			n
1@νεῖκος	νεῖκος	νεῖκος			n
1@περὶ[4]	περὶ	περί			n
1@κάλλους	κάλλους	κάλλους			n
1@ἐνίστησιν	ἐνίστησιν	ἐνίστησιν			n
1@Ἀθηνᾷ	Ἀθηνᾷ	ἀθηνᾷ			n
1@Ἥρᾳ	Ἥρᾳ	ἥρᾳ			n
1@καὶ	καὶ	καί			n
1@Ἀφροδίτῃ	Ἀφροδίτῃ	ἀφροδίτῃ			n
1@αἳ	αἳ	αἵ			n
1@πρὸς	πρὸς	πρός			n
1@Ἀλέξανδρον	Ἀλέξανδρον	ἀλέξανδρον			n
1@ἐν[4]	ἐν	ἐν			n
1@Ἴ̈δῃ	Ἴ̈δῃ	ἴ̈δῃ			n
1@κατὰ	κατὰ	κατά			n
1@Διὸς	Διὸς	διός			n
1@προσταγὴν	προσταγὴν	προσταγήν			n
1@ὑφ	ὑφ	ὑφ			n
1@Ἑρμοῦ	Ἑρμοῦ	ἑρμοῦ			n
1@πρὸς[2]	πρὸς	πρός			n
1@τὴν	τὴν	τήν			n
1@κρίσιν	κρίσιν	κρίσιν			n
1@ἄγονται	ἄγονται	ἄγονται			n
1@καὶ[2]	καὶ	καί			n
1@προκρίνει	προκρίνει	προκρίνει			n
1@τὴν[2]	τὴν	τήν			n
1@Ἀφροδίτην	Ἀφροδίτην	ἀφροδίτην			n
