subref	form	norm	lemma	tag	curated
1.1@ἀποκαλγψισ	ἀποκαλγψισ	ἀποκαλγψισ			n
1.1@Ἰησοῦ	Ἰησοῦ	ἰησοῦ			n
1.1@Χριστοῦ	Χριστοῦ	χριστοῦ			n
1.1@ἢν	ἢν	ἤν			n
1.1@ἔδωκε	ἔδωκε	ἔδωκε			n
1.1@κ[3]	κ	κ			n
1.1@τ[2]	τ	τ			n
1.1@λ[2]	λ	λ			n
1.1@Ἀποκάλυψις	Ἀποκάλυψις	ἀποκάλυψις			n
1.1@ἐστὶν	ἐστὶν	ἐστίν			n
1.1@ἡ	ἡ	ἡ			n
1.1@τῶν	τῶν	τῶν			n
1.1@κρυπτῶν	κρυπτῶν	κρυπτῶν			n
1.1@μυστηρίων	μυστηρίων	μυστηρίων			n
1.1@δήλωσις	δήλωσις	δήλωσις			n
1.1@καταυγαζομένου	καταυγαζομένου	καταυγαζομένου			n
1.1@τοῦ[2]	τοῦ	τοῦ			n
1.1@ἡγεμονικοῦ	ἡγεμονικοῦ	ἡγεμονικοῦ			n
1.1@τῆς	τῆς	τῆς			n
1.1@ψυχῆς	ψυχῆς	ψυχῆς			n
1.1@εἴτε	εἴτε	εἴτε			n
1.1@διὰ	διὰ	διά			n
1.1@θείων	θείων	θείων			n
1.1@ὀνειράτων	ὀνειράτων	ὀνειράτων			n
1.1@εἴτε[2]	εἴτε	εἴτε			n
1.1@καθ	καθ	καθ			n
1.1@ὕπαρ	ὕπαρ	ὕπαρ			n
1.1@ἐκ	ἐκ	ἐκ			n
1.1@θείας	θείας	θείας			n
1.1@ἐλλάμψεως	ἐλλάμψεως	ἐλλάμψεως			n
1.1@δοθῆναι	δοθῆναι	δοθῆναι			n
1.1@δὲ	δὲ	δέ			n
1.1@τῷ	τῷ	τῷ			n
1.1@Χριστῷ	Χριστῷ	χριστῷ			n
1.1@ταῦτα	ταῦτα	ταῦτα			n
1.1@φησὶν	φησὶν	φησίν			n
1.1@ἀνθρωπινώτερον	ἀνθρωπινώτερον	ἀνθρωπινώτερον			n
1.1@μᾶλλον	μᾶλλον	μᾶλλον			n
1.1@περὶ	περὶ	περί			n
1.1@αὐτοῦ	αὐτοῦ	αὐτοῦ			n
1.1@τὸν	τὸν	τόν			n
1.1@λόγον	λόγον	λόγον			n
1.1@ποιούμενος	ποιούμενος	ποιούμενος			n
1.1@ἐπείπερ	ἐπείπερ	ἐπείπερ			n
1.1@ἐν	ἐν	ἐν			n
1.1@τῷ[3]	τῷ	τῷ			n
1.1@Εὐαγγελίῳ	Εὐαγγελίῳ	εὐαγγελίῳ			n
1.1@τοῖς	τοῖς	τοῖς			n
1.1@ὑψηλοῖς	ὑψηλοῖς	ὑψηλοῖς			n
1.1@καὶ	καὶ	καί			n
1.1@θεοπρεπέσιν	θεοπρεπέσιν	θεοπρεπέσιν			n
1.1@ὑπὲρ	ὑπὲρ	ὑπέρ			n
1.1@πάντα	πάντα	πάντα			n
1.1@ἐνδιέτριψε	ἐνδιέτριψε	ἐνδιέτριψε			n
1.1@κἀνταῦθα	κἀνταῦθα	κἀνταῦθα			n
1.1@δὲ[2]	δὲ	δέ			n
1.1@διὰ[2]	διὰ	διά			n
1.1@τοῦ[4]	τοῦ	τοῦ			n
1.1@διακονοῦντος	διακονοῦντος	διακονοῦντος			n
1.1@Ἀγγέλου	Ἀγγέλου	ἀγγέλου			n
1.1@καὶ[2]	καὶ	καί			n
1.1@τοῦ[5]	τοῦ	τοῦ			n
1.1@τῶν[3]	τῶν	τῶν			n
1.1@μανθανόντων	μανθανόντων	μανθανόντων			n
1.1@δούλων	δούλων	δούλων			n
1.1@ὀνόματος	ὀνόματος	ὀνόματος			n
1.1@τὸ[2]	τὸ	τό			n
1.1@τῆς[2]	τῆς	τῆς			n
1.1@θεότητος	θεότητος	θεότητος			n
1.1@τοῦ[6]	τοῦ	τοῦ			n
1.1@Χριστοῦ[2]	Χριστοῦ	χριστοῦ			n
1.1@ἐμφαίνει	ἐμφαίνει	ἐμφαίνει			n
1.1@μέγεθος	μέγεθος	μέγεθος			n
1.1@αὐτοῦ[2]	αὐτοῦ	αὐτοῦ			n
1.1@γὰρ	γὰρ	γάρ			n
1.1@δοῦλα	δοῦλα	δοῦλα			n
1.1@τὰ	τὰ	τά			n
1.1@σύμπαντα	σύμπαντα	σύμπαντα			n
1.1@τὸ[3]	τὸ	τό			n
1.1@δὲ[3]	δὲ	δέ			n
1.1@ἐν[3]	ἐν	ἐν			n
1.1@τάχει	τάχει	τάχει			n
1.1@γενέσθαι	γενέσθαι	γενέσθαι			n
1.1@σημαίνει	σημαίνει	σημαίνει			n
1.1@τὸ[4]	τὸ	τό			n
1.1@τινὰ	τινὰ	τινά			n
1.1@μὲν	μὲν	μέν			n
1.1@τῶν[4]	τῶν	τῶν			n
1.1@παρὰ	παρὰ	παρά			n
1.1@πόδας	πόδας	πόδας			n
1.1@γενέσθαι[2]	γενέσθαι	γενέσθαι			n
1.1@τῆς[3]	τῆς	τῆς			n
1.1@περὶ[2]	περὶ	περί			n
1.1@αὐτῶν	αὐτῶν	αὐτῶν			n
1.1@προρρήσεως	προρρήσεως	προρρήσεως			n
1.1@καὶ[3]	καὶ	καί			n
1.1@τὰ[2]	τὰ	τά			n
1.1@ἐπὶ	ἐπὶ	ἐπί			n
1.1@συντελείᾳ	συντελείᾳ	συντελείᾳ			n
1.1@δὲ[4]	δὲ	δέ			n
1.1@μὴ	μὴ	μή			n
1.1@βραδύνειν	βραδύνειν	βραδύνειν			n
1.1@διότι	διότι	διότι			n
1.1@χίλια	χίλια	χίλια			n
1.1@ἔτη	ἔτη	ἔτη			n
1.1@παρὰ[2]	παρὰ	παρά			n
1.1@Θεῷ	Θεῷ	θεῷ			n
1.1@ὡς	ὡς	ὡς			n
1.1@ἡμέρα	ἡμέρα	ἡμέρα			n
1.1@ἡ[4]	ἡ	ἡ			n
1.1@ἥτις	ἥτις	ἥτις			n
1.1@διῆλθεν	διῆλθεν	διῆλθεν			n
1.1@Καὶ	Καὶ	καί			n
1.1@ἐσήμανεν	ἐσήμανεν	ἐσήμανεν			n
1.1@ἀποστείλας	ἀποστείλας	ἀποστείλας			n
1.1@Ὁ	Ὁ	ὁ			n
1.1@Χριστός	Χριστός	χριστός			n
1.1@μοι	μοι	μοι			n
1.1@φησὶν[2]	φησὶν	φησίν			n
1.1@ὡς[2]	ὡς	ὡς			n
1.1@δεσπότης	δεσπότης	δεσπότης			n
1.1@ὡς[3]	ὡς	ὡς			n
1.1@οἰκείῳ	οἰκείῳ	οἰκείῳ			n
1.1@δούλῳ	δούλῳ	δούλῳ			n
1.1@δι[7]	δι	δι			n
1.1@Ἀγγέλου[2]	Ἀγγέλου	ἀγγέλου			n
1.1@ταῦτα[2]	ταῦτα	ταῦτα			n
1.1@δεδήλωκε	δεδήλωκε	δεδήλωκε			n
1.1@τὴν	τὴν	τήν			n
1.1@εἰς	εἰς	εἰς			n
1.1@αὐτὸν	αὐτὸν	αὐτόν			n
1.1@ὁμολογίαν	ὁμολογίαν	ὁμολογίαν			n
1.1@μαρτυρήσαντι	μαρτυρήσαντι	μαρτυρήσαντι			n
1.1@ἐφ	ἐφ	ἐφ			n
1.1@ᾧ	ᾧ	ᾧ			n
1.1@διὰ[3]	διὰ	διά			n
