subref	form	norm	lemma	tag	curated
1@Πινδάρου	Πινδάρου	πινδάρου			n
1@γένος	γένος	γένος			n
1@δι	δι	δι			n
1@ἐπῶν	ἐπῶν	ἐπῶν			n
1@Πίνδαρον	Πίνδαρον	πίνδαρον			n
1@ὑψαγόρην	ὑψαγόρην	ὑψαγόρην			n
1@Καδμηίδος	Καδμηίδος	καδμηίδος			n
1@οὔδεϊ	οὔδεϊ	οὔδεϊ			n
1@Θήβης	Θήβης	θήβης			n
1@Κλειδίκη	Κλειδίκη	κλειδίκη			n
1@εὐνηθεῖσα	εὐνηθεῖσα	εὐνηθεῖσα			n
1@μενεπτολέμῳ	μενεπτολέμῳ	μενεπτολέμῳ			n
1@Δαϊφάντῳ	Δαϊφάντῳ	δαϊφάντῳ			n
1@γείνατο	γείνατο	γείνατο			n
1@ναιετάουσα	ναιετάουσα	ναιετάουσα			n
1@Κυνὸς	Κυνὸς	κυνός			n
1@κεφαλῆς	κεφαλῆς	κεφαλῆς			n
1@παρὰ	παρὰ	παρά			n
1@χώρῳ	χώρῳ	χώρῳ			n
1@οὐκ	οὐκ	οὐ			n
1@οἶον	οἶον	οἶον			n
1@ἅμα	ἅμα	ἅμα			n
1@τῷ	τῷ	τῷ			n
1@καὶ	καὶ	καί			n
1@Ἐρίτιμον	Ἐρίτιμον	ἐρίτιμον			n
1@εἰδότα	εἰδότα	εἰδότα			n
1@θήρην	θήρην	θήρην			n
1@εἰδότα[2]	εἰδότα	εἰδότα			n
1@πυγμαχίην	πυγμαχίην	πυγμαχίην			n
1@τε	τε	τέ			n
1@παλαισμοσύνην	παλαισμοσύνην	παλαισμοσύνην			n
1@τ[10]	τ	τ			n
1@ἀλεγεινήν	ἀλεγεινήν	ἀλεγεινήν			n
1@τὸν	τὸν	τόν			n
1@μὲν	μὲν	μέν			n
1@ὅτε	ὅτε	ὅτε			n
1@κνώσσοντα	κνώσσοντα	κνώσσοντα			n
1@ποτὶ	ποτὶ	ποτί			n
1@χθόνα	χθόνα	χθόνα			n
1@κάτθετο	κάτθετο	κάτθετο			n
1@μήτηρ	μήτηρ	μήτηρ			n
1@εἰσέτι	εἰσέτι	εἰσέτι			n
1@παιδνὸν	παιδνὸν	παιδνόν			n
1@ἐόντα	ἐόντα	ἐόντα			n
1@μέλισσά	μέλισσά	μέλισσα			n
1@τις	τις	τὶς			n
1@ὡς	ὡς	ὡς			n
1@ἐπὶ	ἐπὶ	ἐπί			n
1@σίμβλῳ	σίμβλῳ	σίμβλῳ			n
1@χείλεσι	χείλεσι	χείλεσι			n
1@νηπιάχοισι	νηπιάχοισι	νηπιάχοισι			n
1@τιθαιβώσσουσα	τιθαιβώσσουσα	τιθαιβώσσουσα			n
1@ποτᾶτο	ποτᾶτο	ποτᾶτο			n
1@τῷ[2]	τῷ	τῷ			n
1@δὲ	δὲ	δέ			n
1@λιγυφθόγγων	λιγυφθόγγων	λιγυφθόγγων			n
1@ἐπέων	ἐπέων	ἐπέων			n
1@μελέων	μελέων	μελέων			n
1@θ[7]	θ	θ			n
1@ὑποθήμων	ὑποθήμων	ὑποθήμων			n
1@ἔπλετο	ἔπλετο	ἔπλετο			n
1@δῖα	δῖα	δῖα			n
1@Κόριννα	Κόριννα	κόριννα			n
1@θεμείλια	θεμείλια	θεμείλια			n
1@δ[13]	δ	δ			n
1@ὤπασε	ὤπασε	ὤπασε			n
1@μύθων	μύθων	μύθων			n
1@τὸ[2]	τὸ	τό			n
1@πρῶτον	πρῶτον	πρῶτον			n
1@μετὰ	μετὰ	μετά			n
1@τὴν	τὴν	τήν			n
1@δ[14]	δ	δ			n
1@Ἀγαθοκλέος	Ἀγαθοκλέος	ἀγαθοκλέος			n
1@ἔμμορεν	ἔμμορεν	ἔμμορεν			n
1@αὐδῆς	αὐδῆς	αὐδῆς			n
1@ὅς	ὅς	ὅς			n
1@τέ	τέ	τέ			n
1@ῥά	ῥά	ῥά			n
1@οἱ	οἱ	οἱ			n
1@κατέδειξεν	κατέδειξεν	κατέδειξεν			n
1@ὁδὸν	ὁδὸν	ὁδόν			n
1@καὶ[2]	καὶ	καί			n
1@μέτρον	μέτρον	μέτρον			n
1@ἀοιδῆς	ἀοιδῆς	ἀοιδῆς			n
1@εὖτε	εὖτε	εὖτε			n
1@δ[19]	δ	δ			n
1@Ἀλεξάνδροιο	Ἀλεξάνδροιο	ἀλεξάνδροιο			n
1@Φιλιππιάδαο	Φιλιππιάδαο	φιλιππιάδαο			n
1@μενοινῇ	μενοινῇ	μενοινῇ			n
1@Καδμείων	Καδμείων	καδμείων			n
1@ἀφίκοντο	ἀφίκοντο	ἀφίκοντο			n
1@Μακηδόνες	Μακηδόνες	μακηδόνες			n
1@ἄστεα	ἄστεα	ἄστεα			n
