subref	form	norm	lemma	tag	curated
1@Πένταθλον	Πένταθλον	πένταθλον			n
1@Ἅλμα	Ἅλμα	ἅλμα			n
1@ποδὸς	ποδὸς	ποδός			n
1@δίσκου	δίσκου	δίσκου			n
1@τε	τε	τέ			n
1@βολὴ	βολὴ	βολή			n
1@καὶ	καὶ	καί			n
1@ἄκοντος	ἄκοντος	ἄκοντος			n
1@ἐρωή	ἐρωή	ἐρωή			n
1@καὶ[2]	καὶ	καί			n
1@δρόμος	δρόμος	δρόμος			n
1@ἠδὲ	ἠδὲ	ἠδέ			n
1@πάλη	πάλη	πάλη			n
1@μία	μία	μία			n
1@δ[5]	δ	δ			n
1@ἔπλετο	ἔπλετο	ἔπλετο			n
1@πᾶσι	πᾶσι	πᾶσι			n
1@τελευτή	τελευτή	τελευτή			n
1@Ἅλμα[2]	Ἅλμα	ἅλμα			n
1@πάλη[2]	πάλη	πάλη			n
1@δίσκευμα	δίσκευμα	δίσκευμα			n
1@κοντὸς	κοντὸς	κοντός			n
1@καὶ[3]	καὶ	καί			n
1@δρόμος[2]	δρόμος	δρόμος			n
2@Εἰς	Εἰς	εἰς			n
2@τοὺς	τοὺς	τούς			n
2@ἐννέα	ἐννέα	ἐννέα			n
2@λυρικούς	λυρικούς	λυρικούς			n
2@Ἐννέα	Ἐννέα	ἐννέα			n
2@τῶν	τῶν	τῶν			n
2@πρώτων	πρώτων	πρώτων			n
2@λυρικῶν	λυρικῶν	λυρικῶν			n
2@πάτρην	πάτρην	πάτρην			n
2@γενεήν	γενεήν	γενεήν			n
2@τε	τε	τέ			n
2@μάνθανε	μάνθανε	μάνθανε			n
2@καὶ	καὶ	καί			n
2@πατέρας	πατέρας	πατέρας			n
2@καὶ[2]	καὶ	καί			n
2@διάλεκτον	διάλεκτον	διάλεκτον			n
2@ἄθρει	ἄθρει	ἄθρει			n
2@ὧν	ὧν	ὧν			n
2@Μιτυληναῖος	Μιτυληναῖος	μιτυληναῖος			n
2@μὲν	μὲν	μέν			n
2@ἔην	ἔην	ἔην			n
2@γεραρώτερος	γεραρώτερος	γεραρώτερος			n
2@ἄλλων	ἄλλων	ἄλλων			n
2@Ἀλκαῖος	Ἀλκαῖος	ἀλκαῖος			n
2@πρότερος	πρότερος	πρότερος			n
2@ἠχικὸς	ἠχικὸς	ἠχικός			n
2@Αἰολίδης	Αἰολίδης	αἰολίδης			n
2@ἣ	ἣ	ἥ			n
2@δ[3]	δ	δ			n
2@ἐπὶ	ἐπὶ	ἐπί			n
2@τῷ	τῷ	τῷ			n
2@ξυνὴν	ξυνὴν	ξυνήν			n
2@πάτρην[2]	πάτρην	πάτρην			n
2@φωνήν	φωνήν	φωνήν			n
2@τε[4]	τε	τέ			n
2@δαεῖσα	δαεῖσα	δαεῖσα			n
2@Σαπφὼ	Σαπφὼ	σαπφώ			n
2@Κληῖδος	Κληῖδος	κληῖδος			n
2@καὶ[3]	καὶ	καί			n
2@πατρὸς	πατρὸς	πατρός			n
2@Εὐρυγύου	Εὐρυγύου	εὐρυγύου			n
2@Στησίχορος	Στησίχορος	στησίχορος			n
2@Σικελός	Σικελός	σικελός			n
2@πάτρη[3]	πάτρη	πάτρη			n
2@δέ	δέ	δέ			n
2@οἱ	οἱ	οἱ			n
2@Ἱμέρα	Ἱμέρα	ἱμέρα			n
2@ἐστίν	ἐστίν	ἐστίν			n
2@Εὐφήμου	Εὐφήμου	εὐφήμου			n
2@πατρὸς[2]	πατρὸς	πατρός			n
2@Δωρικὸς	Δωρικὸς	δωρικός			n
2@ἁρμονίην	ἁρμονίην	ἁρμονίην			n
2@Ἴβυκος	Ἴβυκος	ἴβυκος			n
2@Ἰταλὸς	Ἰταλὸς	ἰταλός			n
2@ἐκ	ἐκ	ἐκ			n
2@Ρηγίου	Ρηγίου	ρηγίου			n
2@ἠὲ	ἠὲ	ἠέ			n
2@Μεσήνης	Μεσήνης	μεσήνης			n
2@Ἠελίδα	Ἠελίδα	ἠελίδα			n
2@πατρὸς[3]	πατρὸς	πατρός			n
2@Δωρίδα	Δωρίδα	δωρίδα			n
2@δ[9]	δ	δ			n
2@ἡρμόσατο	ἡρμόσατο	ἡρμόσατο			n
2@Παρθενίου	Παρθενίου	παρθενίου			n
2@δὲ	δὲ	δέ			n
2@πατρὸς[4]	πατρὸς	πατρός			n
2@λιγυρὸς	λιγυρὸς	λιγυρός			n
2@πάις	πάις	πάις			n
2@ἠετιήου	ἠετιήου	ἠετιήου			n
2@εἴδει	εἴδει	εἴδει			n
2@μελπόμενος	μελπόμενος	μελπόμενος			n
2@Τήιος	Τήιος	τήιος			n
2@Ἀνακρέων	Ἀνακρέων	ἀνακρέων			n
2@Πίνδαρος	Πίνδαρος	πίνδαρος			n
2@ἦν	ἦν	ἦν			n
2@Θηβαῖος	Θηβαῖος	θηβαῖος			n
2@ἀτὰρ	ἀτὰρ	ἀτάρ			n
2@πατρὸς[5]	πατρὸς	πατρός			n
2@Σκοπελίνου	Σκοπελίνου	σκοπελίνου			n
2@Δώριον	Δώριον	δώριον			n
2@αἰνήσας	αἰνήσας	αἰνήσας			n
2@ἁρμονίην[2]	ἁρμονίην	ἁρμονίην			n
2@ἐπέων	ἐπέων	ἐπέων			n
2@ἠδὲ	ἠδὲ	ἠδέ			n
2@Σιμωνίδεω	Σιμωνίδεω	σιμωνίδεω			n
2@Κείου	Κείου	κείου			n
2@Δωριστὶ	Δωριστὶ	δωριστί			n
2@λαλοῦντος	λαλοῦντος	λαλοῦντος			n
2@τὸν	τὸν	τόν			n
2@πατέρ[2]	πατέρ	πατέρ			n
2@αἰνήσας[2]	αἰνήσας	αἰνήσας			n
2@ἴσθι	ἴσθι	ἴσθι			n
2@Λεωπρεπέα	Λεωπρεπέα	λεωπρεπέα			n
2@ἶσα	ἶσα	ἶσα			n
2@δαεὶς	δαεὶς	δαείς			n
2@καὶ[4]	καὶ	καί			n
2@Κεῖος	Κεῖος	κεῖος			n
2@ἐὼν	ἐὼν	ἐών			n
2@γενεῇ	γενεῇ	γενεῇ			n
2@μελοποιὸς	μελοποιὸς	μελοποιός			n
2@Μίλωνος	Μίλωνος	μίλωνος			n
2@πατέρος	πατέρος	πατέρος			n
2@ἔπλετο	ἔπλετο	ἔπλετο			n
2@Βακχυλίδης	Βακχυλίδης	βακχυλίδης			n
2@Ἀλκμὰν	Ἀλκμὰν	ἀλκμάν			n
2@ἐν[2]	ἐν	ἐν			n
2@Λυδοῖσι	Λυδοῖσι	λυδοῖσι			n
2@μέγα	μέγα	μέγα			n
2@πρέπει	πρέπει	πρέπει			n
2@ἀλλὰ	ἀλλὰ	ἀλλά			n
2@Δάμαντος	Δάμαντος	δάμαντος			n
2@ἐστὶ	ἐστὶ	ἐστί			n
2@καὶ[5]	καὶ	καί			n
2@ἐκ[2]	ἐκ	ἐκ			n
2@Σπάρτης	Σπάρτης	σπάρτης			n
2@Δωρίδος	Δωρίδος	δωρίδος			n
2@ἁρμονίης	ἁρμονίης	ἁρμονίης			n
2@Λυρικοὶ	Λυρικοὶ	λυρικοί			n
2@ποιηταὶ	ποιηταὶ	ποιηταί			n
2@μουσικῶν	μουσικῶν	μουσικῶν			n
2@ᾀσμάτων	ᾀσμάτων	ᾀσμάτων			n
2@ἐννέα[2]	ἐννέα	ἐννέα			n
2@ἐννέα[3]	ἐννέα	ἐννέα			n
2@δὲ[3]	δὲ	δέ			n
2@καὶ[6]	καὶ	καί			n
2@αἱ	αἱ	αἱ			n
2@καθ	καθ	καθ			n
2@ἡμᾶς	ἡμᾶς	ἡμᾶς			n
2@τῶν[2]	τῶν	τῶν			n
2@θείων	θείων	θείων			n
2@ᾀσμάτων[2]	ᾀσμάτων	ᾀσμάτων			n
2@ὠδαί	ὠδαί	ὠδαί			n
2@τὰ[2]	τὰ	τά			n
2@δὲ[4]	δὲ	δέ			n
2@ὀνόματα	ὀνόματα	ὀνόματα			n
2@τῶν[3]	τῶν	τῶν			n
2@προειρημένων	προειρημένων	προειρημένων			n
2@λυρικῶν[2]	λυρικῶν	λυρικῶν			n
2@εἰσὶ	εἰσὶ	εἰσί			n
2@τάδε	τάδε	τάδε			n
2@Ἀλκμὰν[2]	Ἀλκμὰν	ἀλκμάν			n
2@Ἀλκαῖος[2]	Ἀλκαῖος	ἀλκαῖος			n
2@Σαπφὼ[2]	Σαπφὼ	σαπφώ			n
2@Στησίχορος[2]	Στησίχορος	στησίχορος			n
2@Ἴβυκος[2]	Ἴβυκος	ἴβυκος			n
2@Ἀνακρέων[2]	Ἀνακρέων	ἀνακρέων			n
2@Σιμωνίδης	Σιμωνίδης	σιμωνίδης			n
2@Βακχυλίδης[2]	Βακχυλίδης	βακχυλίδης			n
2@καὶ[7]	καὶ	καί			n
2@Πίνδαρος[2]	Πίνδαρος	πίνδαρος			n
2@Ἐννέα[2]	Ἐννέα	ἐννέα			n
2@δὲ[5]	δὲ	δέ			n
2@οἱ[2]	οἱ	οἱ			n
2@λυρικοί	λυρικοί	λυρικοί			n
2@Ἀλκαῖος[3]	Ἀλκαῖος	ἀλκαῖος			n
2@Σαπφὼ[3]	Σαπφὼ	σαπφώ			n
2@Στησίχορος[3]	Στησίχορος	στησίχορος			n
2@Ἴβυκος[3]	Ἴβυκος	ἴβυκος			n
2@Βακχυλίδης[3]	Βακχυλίδης	βακχυλίδης			n
2@Σιμωνίδης[2]	Σιμωνίδης	σιμωνίδης			n
2@Ἀλκμὰν[3]	Ἀλκμὰν	ἀλκμάν			n
2@Ἀνακρέων[3]	Ἀνακρέων	ἀνακρέων			n
2@καὶ[8]	καὶ	καί			n
2@Πίνδαρος[3]	Πίνδαρος	πίνδαρος			n
