subref	form	norm	lemma	tag	curated
1.1@a	a	a			n
1.1@Ἄμπνευμα	Ἄμπνευμα	ἄμπνευμα			n
1.1@ἀνάπνευμα	ἀνάπνευμα	ἀνάπνευμα	ἀνάπνευμα		n
1.1@καὶ	καὶ	καί	καί		n
1.1@ἀναπνοή	ἀναπνοή	ἀναπνοή			n
1.1@ἔνιοι	ἔνιοι	ἔνιοι	ἔνιοι		n
1.1@δὲ	δὲ	δέ	δέ		n
1.1@ἀναφύσημα	ἀναφύσημα	ἀναφύσημα			n
1.1@ἀπὸ	ἀπὸ	ἀπό	ἀπό		n
1.1@γὰρ	γὰρ	γάρ	γάρ		n
1.1@καταδύσεων	καταδύσεων	καταδύσεων			n
1.1@ἀφανῶν	ἀφανῶν	ἀφανῶν	ἀφανέω		n
1.1@εἰς	εἰς	εἰς	εἰς		n
1.1@τὴν	τὴν	τήν	ὁ		n
1.1@Ἀρέθουσαν	Ἀρέθουσαν	ἀρέθουσαν	Ἀρέθουσα		n
1.1@ἀναφαίνεται	ἀναφαίνεται	ἀναφαίνεται	ἀναφαίνω		n
1.1@τὸ	τὸ	τό	ὁ		n
1.1@δὲ[2]	δὲ	δέ	δέ		n
1.1@ἀνάπαυμα	ἀνάπαυμα	ἀνάπαυμα	ἀνάπαυμα		n
1.1@ἐπὶ	ἐπὶ	ἐπί	ἐπί		n
1.1@τῆς	τῆς	τῆς	ὁ		n
1.1@ἐρωτικῆς	ἐρωτικῆς	ἐρωτικῆς	ἐρωτικός		n
1.1@σπουδῆς	σπουδῆς	σπουδῆς	σπουδή		n
1.1@ἐπὶ[2]	ἐπὶ	ἐπί	ἐπί		n
1.1@τοῦ	τοῦ	τοῦ	ὁ		n
1.1@ποταμοῦ	ποταμοῦ	ποταμοῦ	ποταμός		n
1.1@τάττει	τάττει	τάττει	τάσσω		n
1.1@ἔστη	ἔστη	ἔστη	ἵστημι		n
1.1@γὰρ[2]	γὰρ	γάρ	γάρ		n
1.1@κατὰ	κατὰ	κατά	κατά		n
1.1@Ὀρτυγίαν	Ὀρτυγίαν	ὀρτυγίαν	Ὀρτυγία		n
1.1@τὴν[2]	τὴν	τήν	ὁ		n
1.1@νῆσον	νῆσον	νῆσον	νῆσος		n
1.1@ἡ	ἡ	ἡ	ὁ		n
1.1@δὲ[3]	δὲ	δέ	δέ		n
1.1@Ὀρτυγία[2]	Ὀρτυγία	ὀρτυγία	Ὀρτυγία		n
1.1@πρότερον	πρότερον	πρότερον	πρότερος		n
1.1@μὲν	μὲν	μέν	μέν		n
1.1@οὖσα	οὖσα	οὖσα	εἰμί		n
1.1@νῆσος	νῆσος	νῆσος	νῆσος		n
1.1@εἶτα	εἶτα	εἶτα	εἶτα		n
1.1@προσχωσθεῖσα	προσχωσθεῖσα	προσχωσθεῖσα			n
1.1@χερρόνησος	χερρόνησος	χερρόνησος	χερρόνησος		n
1.1@γέγονεν	γέγονεν	γέγονεν	γίγνομαι		n
1.1@ὡς	ὡς	ὡς	ὡς		n
1.1@καὶ[2]	καὶ	καί	καί		n
1.1@Ἴβυκος	Ἴβυκος	ἴβυκος	Ἴβυκος		n
1.1@ἱστορεῖ	ἱστορεῖ	ἱστορεῖ	ἱστορέω		n
1.1@fr	fr	fr			n
1.1@22	22	22			n
1.1@παρὰ	παρὰ	παρά	παρά		n
1.1@χέρσον	χέρσον	χέρσον	χέρσος		n
1.1@λίθινον	λίθινον	λίθινον	λίθινος		n
1.1@ἔκλεκτον	ἔκλεκτον	ἔκλεκτον			n
1.1@παλάμαις	παλάμαις	παλάμαις	παλάμη		n
1.1@βροτῶν	βροτῶν	βροτῶν	βροτός		n
1.1@πρόσθε	πρόσθε	πρόσθε	πρόσθεν		n
1.1@νιν	νιν	νιν			n
1.1@παῖδα	παῖδα	παῖδα	παῖς		n
1.1@νήριτον	νήριτον	νήριτον	νήριτος		n
1.1@ἰχθύες	ἰχθύες	ἰχθύες	ἰχθύς		n
1.1@ὠμοφάγοι	ὠμοφάγοι	ὠμοφάγοι	ὠμοφάγος		n
1.1@νέμοντο	νέμοντο	νέμοντο	νέμω		n
1.1@σεμνὸν	σεμνὸν	σεμνόν	σεμνός		n
1.1@δὲ[4]	δὲ	δέ	δέ		n
1.1@εἶπεν	εἶπεν	εἶπεν	λέγω		n
1.1@ἤτοι	ἤτοι	ἤτοι	ἤτοι		n
1.1@ὅτι	ὅτι	ὅτι	ὅτι2		n
1.1@οὐκ	οὐκ	οὐ	οὐ		n
1.1@ἔτυχε	ἔτυχε	ἔτυχε	τυγχάνω		n
1.1@τῆς[2]	τῆς	τῆς	ὁ		n
1.1@συνουσίας	συνουσίας	συνουσίας	συνουσία		n
1.1@ὁ	ὁ	ὁ	ὁ		n
1.1@Ἀλφειὸς	Ἀλφειὸς	ἀλφειός	Ἀλφειός		n
1.1@ἢ	ἢ	ἤ	τίη		n
1.1@διὰ	διὰ	διά	διά		n
1.1@τὸ[2]	τὸ	τό	ὁ		n
1.1@καθαρὸν	καθαρὸν	καθαρόν	καθαρός		n
1.1@ὡς[2]	ὡς	ὡς	ὡς		n
1.1@Εὐριπίδης	Εὐριπίδης	εὐριπίδης	Εὐριπίδης		n
1.1@Med	Med	med			n
1.1@69	69	69			n
1.1@θάσσουσι	θάσσουσι	θάσσουσι			n
1.1@σεμνὸν[2]	σεμνὸν	σεμνόν	σεμνός		n
1.1@ἀμφὶ	ἀμφὶ	ἀμφί	ἀμφί		n
1.1@Πειρήνης	Πειρήνης	πειρήνης	Πειρήνη		n
1.1@ὕδωρ	ὕδωρ	ὕδωρ	ὕδωρ		n
1.1@b	b	b			n
1.1@ἄλλως	ἄλλως	ἄλλως	ἄλλος		n
1.1@ἄμπνευμα	ἄμπνευμα	ἄμπνευμα	ἀνάπνευμα		n
1.1@οἷον	οἷον	οἷον	οἷος		n
1.1@ἀναπνοὴ	ἀναπνοὴ	ἀναπνοή	ἀναπνοή		n
1.1@διὰ[2]	διὰ	διά	διά		n
1.1@τὸ[3]	τὸ	τό	ὁ		n
1.1@ἀπορρῶγα	ἀπορρῶγα	ἀπορρῶγα			n
1.1@καὶ[3]	καὶ	καί	καί		n
1.1@οἷον[2]	οἷον	οἷον	οἷος		n
1.1@στόμα	στόμα	στόμα	στόμα		n
1.1@εἶναι	εἶναι	εἶναι	εἰμί		n
1.1@τοῦ[2]	τοῦ	τοῦ	ὁ		n
1.1@Ἀλφειοῦ	Ἀλφειοῦ	ἀλφειοῦ	Ἀλφειός		n
1.1@τὴν[3]	τὴν	τήν	ὁ		n
1.1@αὐτόθι	αὐτόθι	αὐτόθι	αὐτός		n
1.1@Ἀρέθουσαν[2]	Ἀρέθουσαν	ἀρέθουσαν	Ἀρέθουσα		n
1.1@ἥ	ἥ	ἥ	ὁ		n
1.1@ἐστι	ἐστι	ἐστί	εἰμί		n
1.1@κρήνη	κρήνη	κρήνη	κρήνη		n
1.1@ὥστε	ὥστε	ὥστε	ὡς		n
1.1@καὶ[4]	καὶ	καί	καί		n
1.1@τὸ[4]	τὸ	τό	ὁ		n
1.1@σημαινόμενον	σημαινόμενον	σημαινόμενον			n
1.1@εἶναι[2]	εἶναι	εἶναι	εἰμί		n
1.1@τοιοῦτον	τοιοῦτον	τοιοῦτον	τοιοῦτος		n
1.1@ὦ	ὦ	ὦ	ὦ		n
1.1@Ὀρτυγία[3]	Ὀρτυγία	ὀρτυγία	Ὀρτυγία		n
1.1@ἐν	ἐν	ἐν	ἐν		n
1.1@ᾗ	ᾗ	ᾗ	ὅς		n
1.1@ἐστι[2]	ἐστι	ἐστί	εἰμί		n
1.1@τὸ[5]	τὸ	τό	ὁ		n
1.1@τοῦ[3]	τοῦ	τοῦ	ὁ		n
1.1@Ἀλφειοῦ[2]	Ἀλφειοῦ	ἀλφειοῦ	Ἀλφειός		n
1.1@ἀνάπνευμα[2]	ἀνάπνευμα	ἀνάπνευμα	ἀνάπνευμα		n
1.1@τίς	τίς	τίς	τις		n
1.1@ἡ[2]	ἡ	ἡ	ὁ		n
1.1@Ἀρέθουσα[3]	Ἀρέθουσα	ἀρέθουσα	Ἀρέθουσα		n
1.1@ἀλλ	ἀλλ	ἀλλ			n
1.1@οὐ[2]	οὐ	οὐ	οὐ		n
1.1@τὴν[4]	τὴν	τήν	ὁ		n
1.1@Ἀρέθουσαν[3]	Ἀρέθουσαν	ἀρέθουσαν	Ἀρέθουσα		n
1.1@εἴρηκεν	εἴρηκεν	εἴρηκεν	λέγω		n
1.1@ἄμπνευμα[2]	ἄμπνευμα	ἄμπνευμα	ἀνάπνευμα		n
1.1@ἀλλὰ	ἀλλὰ	ἀλλά	ἀλλά		n
1.1@τὴν[5]	τὴν	τήν	ὁ		n
1.1@Ορτυγίαν	Ορτυγίαν	ορτυγίαν			n
1.1@ἐν[2]	ἐν	ἐν	ἐν		n
1.1@ᾗ[2]	ᾗ	ᾗ	ὅς		n
1.1@ὁ[2]	ὁ	ὁ	ὁ		n
1.1@Ἀλφειὸς[2]	Ἀλφειὸς	ἀλφειός	Ἀλφειός		n
1.1@ἀναπνεῖ	ἀναπνεῖ	ἀναπνεῖ	ἀναπνέω		n
1.1@τῷ	τῷ	τῷ	τῷ		n
1.1@περιέχειν	περιέχειν	περιέχειν	περιέχω		n
1.1@τὴν[6]	τὴν	τήν	ὁ		n
1.1@Ἀρέθουσαν[4]	Ἀρέθουσαν	ἀρέθουσαν	Ἀρέθουσα		n
1.2@a	a	a			n
