subref	form	norm	lemma	tag	curated
1.1@a	a	a			n
1.1@Μᾶτερ	Μᾶτερ	μᾶτερ	μήτηρ		n
1.1@ἐμά	ἐμά	ἐμά			n
1.1@παρόσον	παρόσον	παρόσον			n
1.1@καὶ	καὶ	καί	καί		n
1.1@ὁ	ὁ	ὁ	ὁ		n
1.1@Πίνδαρος	Πίνδαρος	πίνδαρος	Πίνδαρος		n
1.1@Θηβαῖος	Θηβαῖος	θηβαῖος	Θηβαῖος		n
1.1@τοῦτο	τοῦτο	τοῦτο	οὗτος		n
1.1@γὰρ	γὰρ	γάρ	γάρ		n
1.1@τὸ	τὸ	τό			n
1.1@πρὸς	πρὸς	πρός	πρός		n
1.1@τὸν	τὸν	τόν	ὁ		n
1.1@Ἡρόδοτον	Ἡρόδοτον	ἡρόδοτον	Ἡρόδοτος		n
1.1@δίκαιον	δίκαιον	δίκαιον	δίκαιος		n
1.1@καθίστησι	καθίστησι	καθίστησι	καθίστημι		n
1.1@τὸν[2]	τὸν	τόν	ὁ		n
1.1@λόγον	λόγον	λόγον	λόγος		n
1.1@πρὸς[2]	πρὸς	πρός	πρός		n
1.1@τὴν	τὴν	τήν	ὁ		n
1.1@Θήβην	Θήβην	θήβην	Θῆβαι		n
1.1@καὶ[2]	καὶ	καί	καί		n
1.1@τῶν	τῶν	τῶν	ὁ		n
1.1@ἐν	ἐν	ἐν	ἐν		n
1.1@χερσὶν	χερσὶν	χερσίν	χείρ		n
1.1@ἀφέμενον	ἀφέμενον	ἀφέμενον			n
1.1@παρέθηξε	παρέθηξε	παρέθηξε			n
1.1@καὶ[3]	καὶ	καί	καί		n
1.1@τῆς	τῆς	τῆς	ὁ		n
1.1@τοῦ[2]	τοῦ	τοῦ	ὁ		n
1.1@ἐπινίκου	ἐπινίκου	ἐπινίκου			n
1.1@γραφῆς	γραφῆς	γραφῆς	γραφή		n
1.1@φροντίσαι	φροντίσαι	φροντίσαι	φροντίζω		n
1.1@ἐν[2]	ἐν	ἐν	ἐν		n
1.1@ταὐτῷ	ταὐτῷ	ταὐτῷ	αὐτός		n
1.1@δὲ	δὲ	δέ	δέ		n
1.1@καὶ[4]	καὶ	καί	καί		n
1.1@πρὸς[3]	πρὸς	πρός	πρός		n
1.1@τὴν[2]	τὴν	τήν	ὁ		n
1.1@πατρίδα	πατρίδα	πατρίδα	πατρίς		n
1.1@καὶ[5]	καὶ	καί	καί		n
1.1@πρὸς[4]	πρὸς	πρός	πρός		n
1.1@τὴν[3]	τὴν	τήν	ὁ		n
1.1@ἡρωΐδα	ἡρωΐδα	ἡρωΐδα			n
1.1@ἀφ[2]	ἀφ	ἀφ	ἀπό		n
1.1@ἧς	ἧς	ἧς	ὅς		n
1.1@ἡ[2]	ἡ	ἡ	ὁ		n
1.1@πόλις	πόλις	πόλις	πόλις		n
1.1@καλεῖται	καλεῖται	καλεῖται	καλέω		n
1.1@τοὺς	τοὺς	τούς	ὁ		n
1.1@λόγους	λόγους	λόγους	λόγος		n
1.1@ποιεῖται	ποιεῖται	ποιεῖται	ποιέω		n
1.1@ἡ[3]	ἡ	ἡ	ὁ		n
1.1@γὰρ[2]	γὰρ	γάρ	γάρ		n
1.1@χρύσασπις	χρύσασπις	χρύσασπις	χρύσασπις		n
1.1@ἐπὶ	ἐπὶ	ἐπί	ἐπί		n
1.1@τῆς[2]	τῆς	τῆς	ὁ		n
1.1@ἡρωίδος	ἡρωίδος	ἡρωίδος	ἡρωίς		n
1.1@ἣν	ἣν	ἥν	ὅς		n
1.1@Ἀσωποῦ	Ἀσωποῦ	ἀσωποῦ	Ἀσωπός		n
1.1@καὶ[6]	καὶ	καί	καί		n
1.1@Μετώπης	Μετώπης	μετώπης	Μετώπη		n
1.1@τῆς[3]	τῆς	τῆς	ὁ		n
1.1@Λάδωνός	Λάδωνός	λάδωνος	Λάδων		n
1.1@φασιν	φασιν	φασίν	φημί		n
1.1@b	b	b			n
1.1@ὁ[2]	ὁ	ὁ	ὁ		n
1.1@δὲ[2]	δὲ	δέ	δέ		n
1.1@νοῦς	νοῦς	νοῦς	νόος		n
1.1@ὦ	ὦ	ὦ	ὦ		n
1.1@Θήβη[2]	Θήβη	θήβη	Θῆβαι		n
1.1@ἐμὴ	ἐμὴ	ἐμή			n
1.1@μῆτερ	μῆτερ	μῆτερ	μήτηρ		n
1.1@τὸ[4]	τὸ	τό	ὁ		n
1.1@σὸν	σὸν	σόν			n
1.1@πρᾶγμα	πρᾶγμα	πρᾶγμα	πρᾶγμα		n
1.1@κα[10]	κα	κα			n
1.1@πάσης	πάσης	πάσης	πᾶς		n
1.1@ἀσχολίας	ἀσχολίας	ἀσχολίας	ἀσχολία		n
1.1@κρεῖσσον	κρεῖσσον	κρεῖσσον	κρείσσων		n
1.1@προτίθημι	προτίθημι	προτίθημι	προτίθημι		n
1.1@καὶ[7]	καὶ	καί	καί		n
1.1@κρίνω	κρίνω	κρίνω	κρίνω		n
1.1@μηδαμῶς	μηδαμῶς	μηδαμῶς	μηδαμῶς		n
1.1@μοι	μοι	μοι	ἐγώ		n
1.1@ἡ[5]	ἡ	ἡ	ὁ		n
1.1@τραχεῖα	τραχεῖα	τραχεῖα	τραχύς		n
1.1@καὶ[8]	καὶ	καί	καί		n
1.1@πετρώδης	πετρώδης	πετρώδης	πετρώδης		n
1.1@Δῆλος	Δῆλος	δῆλος	Δῆλος		n
1.1@νεμεσήσειεν	νεμεσήσειεν	νεμεσήσειεν			n
1.1@ἐφ	ἐφ	ἐφ	ἐπί		n
1.1@ᾗ	ᾗ	ᾗ	ὅς		n
1.1@νῦν	νῦν	νῦν	νῦν		n
1.1@πᾶς	πᾶς	πᾶς	πᾶς		n
1.1@ἔγκειμαι	ἔγκειμαι	ἔγκειμαι	ἔγκειμαι		n
1.1@τί[3]	τί	τί	τι		n
1.1@βέλτιον	βέλτιον	βέλτιον	βελτίων		n
1.1@ἢ	ἢ	ἤ	τίη		n
1.1@προσφιλέστερον	προσφιλέστερον	προσφιλέστερον	προσφιλής		n
1.1@τοῖς	τοῖς	τοῖς	ὁ		n
1.1@ἀγαθοῖς	ἀγαθοῖς	ἀγαθοῖς	ἀγαθός		n
1.1@τῆς[4]	τῆς	τῆς	ὁ		n
1.1@ἑαυτῶν	ἑαυτῶν	ἑαυτῶν	ἑαυτοῦ		n
1.1@πατρίδος	πατρίδος	πατρίδος	πατρίς		n
1.1@φησί	φησί	φησί	φημί		n
1.1@τὸ[5]	τὸ	τό	ὁ		n
1.1@γὰρ[3]	γὰρ	γάρ	γάρ		n
1.1@κεδνῶν	κεδνῶν	κεδνῶν	κεδνός		n
1.1@τοκέων	τοκέων	τοκέων			n
1.1@ἀντὶ	ἀντὶ	ἀντί	ἀντί		n
1.1@τοῦ[3]	τοῦ	τοῦ	ὁ		n
1.1@τῆς[5]	τῆς	τῆς	ὁ		n
1.1@πατρίδος[2]	πατρίδος	πατρίδος	πατρίς		n
1.1@c	c	c			n
1.1@χρύσασπι[2]	χρύσασπι	χρύσασπι			n
